,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Daniel Carlson(LV),5,5,100.0,52,0,1,1,2,1,2,2,1,21.0,21.0,74.3%
1,2,Matthew Wright(JAC),4,4,100.0,39,0,2,2,0,0,2,2,1,14.0,14.0,0.2%
2,3,Matt Prater(ARI),3,3,100.0,41,0,0,2,1,0,3,3,1,13.0,13.0,52.8%
3,4,Riley Patterson(DET),3,3,100.0,36,0,1,2,0,0,4,4,1,13.0,13.0,0.2%
4,5,Brett Maher(NO),3,4,75.0,37,0,1,2,0,0,3,3,1,12.0,12.0,1.9%
5,6,Cairo Santos(CHI),3,3,100.0,46,0,0,0,3,0,0,0,1,12.0,12.0,2.1%
6,7,Ryan Succop(TB),2,3,66.7,40,0,0,1,1,0,5,5,1,12.0,12.0,57.4%
7,8,Younghoe Koo(ATL),2,2,100.0,54,0,0,0,1,1,2,2,1,11.0,11.0,40.9%
8,9,Chris Boswell(PIT),3,3,100.0,40,0,1,1,1,0,1,1,1,11.0,11.0,51.0%
9,10,Joey Slye(WAS),3,3,100.0,43,0,2,0,1,0,1,1,1,11.0,11.0,1.6%
10,11,Robbie Gould(SF),2,2,100.0,42,0,1,0,1,0,3,3,1,10.0,10.0,22.5%
11,12,Tyler Bass(BUF),2,2,100.0,41,0,1,0,1,0,3,3,1,10.0,10.0,84.8%
12,13,Harrison Butker(KC),2,2,100.0,51,0,0,1,0,1,2,2,1,10.0,10.0,76.6%
13,14,Greg Zuerlein(DAL),1,1,100.0,48,0,0,0,1,0,6,7,1,10.0,10.0,74.2%
14,15,Jason Sanders(MIA),2,2,100.0,49,0,0,1,1,0,3,3,1,10.0,10.0,22.6%
15,16,Jake Elliott(PHI),2,2,100.0,40,0,0,1,1,0,2,2,1,9.0,9.0,22.5%
16,17,Justin Tucker(BAL),2,2,100.0,46,0,1,0,1,0,1,1,1,8.0,8.0,98.0%
17,18,Jason Myers(SEA),1,1,100.0,38,0,0,1,0,0,5,5,1,8.0,8.0,22.1%
18,19,Greg Joseph(MIN),1,1,100.0,39,0,0,1,0,0,4,4,1,7.0,7.0,69.1%
19,20,Matt Gay(LAR),1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,89.8%
20,21,Dustin Hopkins(LAC),1,2,50.0,41,0,0,0,1,0,3,3,1,7.0,7.0,14.5%
21,22,Nick Folk(NE),1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,81.8%
22,23,Brandon McManus(DEN),1,1,100.0,31,0,0,1,0,0,3,3,1,6.0,6.0,44.3%
23,24,Lirim Hajrullahu(CAR),1,1,100.0,35,0,0,1,0,0,2,2,1,5.0,5.0,0.2%
24,25,Ka'imi Fairbairn(HOU),1,1,100.0,31,0,0,1,0,0,2,2,1,5.0,5.0,0.8%
25,26,Eddy Pineiro(NYJ),1,1,100.0,49,0,0,0,1,0,1,1,1,5.0,5.0,0.2%
26,27,Michael Badgley(IND),1,1,100.0,41,0,0,0,1,0,0,0,1,4.0,4.0,19.9%
27,28,Elliott Fry(FA),1,1,100.0,36,0,0,1,0,0,1,1,1,4.0,4.0,2.4%
