,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Ryan Succop(TB),4,4,100.0,48,0,1,1,2,0,2,2,1,16.0,16.0,57.4%
1,2,Dominik Eberle(FA),2,3,66.7,51,0,1,0,0,1,5,5,1,13.0,13.0,0.0%
2,3,Elliott Fry(FA),3,4,75.0,44,0,0,2,1,0,3,4,1,13.0,13.0,2.4%
3,4,Dustin Hopkins(LAC),3,3,100.0,50,0,0,1,1,1,0,0,1,12.0,12.0,14.5%
4,5,Matt Gay(LAR),3,3,100.0,32,0,1,2,0,0,3,3,1,12.0,12.0,89.8%
5,6,Greg Joseph(MIN),3,3,100.0,44,0,2,0,1,0,2,2,1,12.0,12.0,69.1%
6,7,Matthew Wright(JAC),3,3,100.0,45,0,1,0,2,0,0,0,1,11.0,11.0,0.2%
7,8,Evan McPherson(CIN),2,3,66.7,36,0,0,2,0,0,5,5,1,11.0,11.0,34.2%
8,9,Younghoe Koo(ATL),2,2,100.0,53,0,0,0,1,1,2,2,1,11.0,11.0,40.9%
9,10,Jake Elliott(PHI),2,3,66.7,37,0,1,1,0,0,4,4,1,10.0,10.0,22.5%
10,11,Brandon McManus(DEN),2,3,66.7,55,0,0,0,1,1,1,1,1,10.0,10.0,44.3%
11,12,Riley Patterson(DET),3,3,100.0,37,0,2,1,0,0,1,1,1,10.0,10.0,0.2%
12,13,Tyler Bass(BUF),2,2,100.0,34,0,1,1,0,0,3,3,1,9.0,9.0,84.8%
13,14,Randy Bullock(TEN),2,2,100.0,44,0,0,1,1,0,2,2,1,9.0,9.0,10.8%
14,15,Eddy Pineiro(NYJ),2,2,100.0,42,0,1,0,1,0,2,3,1,9.0,9.0,0.2%
15,16,Jason Sanders(MIA),2,3,66.7,48,0,0,1,1,0,2,2,1,9.0,9.0,22.6%
16,17,Michael Badgley(IND),2,3,66.7,41,0,0,1,1,0,2,2,1,9.0,9.0,19.9%
17,18,Greg Zuerlein(DAL),0,0,0,0,0,0,0,0,0,8,8,1,8.0,8.0,74.2%
18,19,Robbie Gould(SF),1,1,100.0,48,0,0,0,1,0,2,2,1,6.0,6.0,22.5%
19,20,Jason Myers(SEA),1,2,50.0,36,0,0,1,0,0,3,3,1,6.0,6.0,22.1%
20,21,Daniel Carlson(LV),1,1,100.0,41,0,0,0,1,0,2,2,1,6.0,6.0,74.3%
21,22,Mason Crosby(GB),1,1,100.0,32,0,0,1,0,0,3,3,1,6.0,6.0,40.7%
22,23,Graham Gano(NYG),1,1,100.0,54,0,0,0,0,1,1,1,1,6.0,6.0,31.4%
23,24,Lirim Hajrullahu(CAR),2,2,100.0,29,0,2,0,0,0,0,0,1,6.0,6.0,0.2%
24,25,Cairo Santos(CHI),1,1,100.0,35,0,0,1,0,0,2,2,1,5.0,5.0,2.1%
