,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Tyler Bass(BUF),4,4,100.0,33,0,3,1,0,0,4,4,1,16.0,16.0,84.8%
1,2,Ryan Succop(TB),4,5,80.0,48,0,2,0,2,0,1,1,1,15.0,15.0,57.4%
2,3,Matt Prater(ARI),3,3,100.0,55,0,2,0,0,1,4,4,1,15.0,15.0,52.8%
3,4,Justin Tucker(BAL),3,3,100.0,46,0,1,0,2,0,2,2,1,13.0,13.0,98.0%
4,5,Jake Elliott(PHI),3,3,100.0,31,0,2,1,0,0,3,3,1,12.0,12.0,22.5%
5,6,Randy Bullock(TEN),3,4,75.0,46,0,0,1,2,0,1,1,1,12.0,12.0,10.8%
6,7,Rodrigo Blankenship(IND),2,2,100.0,43,0,0,1,1,0,3,3,1,10.0,10.0,4.1%
7,8,Chase McLaughlin(CLE),2,2,100.0,53,0,0,0,1,1,0,0,1,9.0,9.0,7.1%
8,9,Matt Gay(LAR),2,3,66.7,42,0,1,0,1,0,2,2,1,9.0,9.0,89.8%
9,10,Mason Crosby(GB),2,2,100.0,29,0,2,0,0,0,3,3,1,9.0,9.0,40.7%
10,11,Matt Ammendola(NYJ),2,2,100.0,27,0,2,0,0,0,3,3,1,9.0,9.0,0.1%
11,12,Graham Gano(NYG),2,3,66.7,48,0,1,0,1,0,1,1,1,8.0,8.0,31.4%
12,13,Chris Boswell(PIT),1,1,100.0,52,0,0,0,0,1,2,2,1,7.0,7.0,51.0%
13,14,Harrison Butker(KC),0,0,0,0,0,0,0,0,0,6,6,1,6.0,6.0,76.6%
14,15,Greg Zuerlein(DAL),1,1,100.0,37,0,0,1,0,0,3,3,1,6.0,6.0,74.2%
15,16,Evan McPherson(CIN),1,2,50.0,35,0,0,1,0,0,3,3,1,6.0,6.0,34.2%
16,17,Younghoe Koo(ATL),1,1,100.0,25,0,1,0,0,0,3,3,1,6.0,6.0,40.9%
17,18,Cairo Santos(CHI),1,1,100.0,33,0,0,1,0,0,3,3,1,6.0,6.0,2.1%
18,19,Nick Folk(NE),1,2,50.0,27,0,1,0,0,0,2,2,1,5.0,5.0,81.8%
19,20,Jason Sanders(MIA),1,1,100.0,38,0,0,1,0,0,2,2,1,5.0,5.0,22.6%
20,21,Jason Myers(SEA),0,0,0,0,0,0,0,0,0,4,4,1,4.0,4.0,22.1%
21,22,Zane Gonzalez(CAR),0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,2.6%
22,23,Tristan Vizcaino(FA),0,0,0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.8%
