,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Matt Prater(ARI),3,3,100.0,53,0,0,0,1,2,2,2,1,16.0,16.0,52.8%
1,2,Justin Tucker(BAL),3,3,100.0,55,0,0,0,1,2,1,1,1,15.0,15.0,98.0%
2,3,Matt Gay(LAR),3,3,100.0,55,0,0,2,0,1,3,3,1,14.0,14.0,89.8%
3,4,Cairo Santos(CHI),3,3,100.0,44,0,1,0,2,0,3,3,1,14.0,14.0,2.1%
4,5,Harrison Butker(KC),2,2,100.0,54,0,0,1,0,1,6,6,1,14.0,14.0,76.6%
5,6,Dustin Hopkins(LAC),3,3,100.0,39,0,2,1,0,0,4,4,1,13.0,13.0,14.5%
6,7,Greg Joseph(MIN),3,4,75.0,42,0,1,1,1,0,3,4,1,13.0,13.0,69.1%
7,8,Greg Zuerlein(DAL),4,4,100.0,38,0,1,3,0,0,1,1,1,13.0,13.0,74.2%
8,9,Younghoe Koo(ATL),3,3,100.0,48,0,0,2,1,0,2,2,1,12.0,12.0,40.9%
9,10,Brett Maher(NO),3,3,100.0,37,0,1,2,0,0,3,3,1,12.0,12.0,1.9%
10,11,Evan McPherson(CIN),3,4,75.0,41,0,1,1,1,0,2,2,1,12.0,12.0,34.2%
11,12,Eddy Pineiro(NYJ),3,3,100.0,46,0,0,2,1,0,0,0,1,10.0,10.0,0.2%
12,13,Brandon McManus(DEN),1,1,100.0,52,0,0,0,0,1,5,5,1,10.0,10.0,44.3%
13,14,Randy Bullock(TEN),2,3,66.7,44,0,1,0,1,0,2,2,1,9.0,9.0,10.8%
14,15,Ryan Succop(TB),2,2,100.0,24,0,2,0,0,0,3,3,1,9.0,9.0,57.4%
15,16,Tyler Bass(BUF),2,2,100.0,25,0,2,0,0,0,3,3,1,9.0,9.0,84.8%
16,17,Mason Crosby(GB),1,1,100.0,20,0,1,0,0,0,6,6,1,9.0,9.0,40.7%
17,18,Ka'imi Fairbairn(HOU),2,2,100.0,61,0,1,0,0,1,1,1,1,9.0,9.0,0.8%
18,19,Robbie Gould(SF),2,3,66.7,33,0,1,1,0,0,2,2,1,8.0,8.0,22.5%
19,20,Jason Myers(SEA),2,2,100.0,38,0,0,2,0,0,1,3,1,7.0,7.0,22.1%
20,21,Chase McLaughlin(CLE),1,2,50.0,43,0,0,0,1,0,3,3,1,7.0,7.0,7.1%
21,22,Riley Patterson(DET),1,1,100.0,36,0,0,1,0,0,1,1,1,4.0,4.0,0.2%
22,23,Zane Gonzalez(CAR),0,0,0,0,0,0,0,0,0,3,3,1,3.0,3.0,2.6%
23,24,Daniel Carlson(LV),1,1,100.0,26,0,1,0,0,0,0,1,1,3.0,3.0,74.3%
24,25,Chris Boswell(PIT),0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,51.0%
25,26,Graham Gano(NYG),0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,31.4%
26,27,Michael Badgley(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9%
27,28,Ryan Santoso(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
28,29,Chris Blewitt(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
29,30,Austin Seibert(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
30,31,Matthew Wright(JAC),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%
31,32,Jason Sanders(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6%
32,33,Ty Long(LAC),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%
33,34,Wil Lutz(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3%
34,35,Sam Ficken(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
35,36,Jake Elliott(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5%
36,37,Joey Slye(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6%
37,38,Alex Kessman(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
38,39,Jose Borregales(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
39,40,Quinn Nordin(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
40,41,Chris Naggar(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
41,42,Brian Johnson(WAS),0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,6.6%
42,43,Cameron Nizialek(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
43,44,Rodrigo Blankenship(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1%
44,45,Jake Verity(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
45,46,JJ Molson(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
46,47,Sam Sloman(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
