,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Evan McPherson(CIN),4,4,100.0,54,0,0,0,1,3,2,3,1,21.0,21.0,34.2%
1,2,Jake Elliott(PHI),4,4,100.0,50,0,0,2,1,1,4,4,1,19.0,19.0,22.5%
2,3,Nick Folk(NE),4,4,100.0,53,0,0,2,1,1,1,2,1,16.0,16.0,81.8%
3,4,Robbie Gould(SF),3,3,100.0,48,0,1,0,2,0,3,3,1,14.0,14.0,22.5%
4,5,Chris Boswell(PIT),3,3,100.0,45,0,0,2,1,0,4,4,1,14.0,14.0,51.0%
5,6,Ryan Succop(TB),3,3,100.0,40,0,1,1,1,0,3,3,1,13.0,13.0,57.4%
6,7,Dustin Hopkins(LAC),2,2,100.0,41,0,0,1,1,0,5,5,1,12.0,12.0,14.5%
7,8,Justin Tucker(BAL),3,3,100.0,46,0,1,1,1,0,1,1,1,11.0,11.0,98.0%
8,9,Ka'imi Fairbairn(HOU),3,3,100.0,43,0,1,1,1,0,1,2,1,11.0,11.0,0.8%
9,10,Michael Badgley(IND),2,2,100.0,36,0,0,2,0,0,5,5,1,11.0,11.0,19.9%
10,11,Greg Joseph(MIN),2,2,100.0,51,0,1,0,0,1,2,3,1,10.0,10.0,69.1%
11,12,Greg Zuerlein(DAL),3,3,100.0,48,0,0,2,1,0,0,0,1,10.0,10.0,74.2%
12,13,Harrison Butker(KC),2,3,66.7,53,0,0,1,0,1,1,2,1,9.0,9.0,76.6%
13,14,Joey Slye(WAS),2,2,100.0,36,0,1,1,0,0,3,3,1,9.0,9.0,1.6%
14,15,Mason Crosby(GB),1,2,50.0,54,0,0,0,0,1,4,4,1,9.0,9.0,40.7%
15,16,Daniel Carlson(LV),2,2,100.0,47,0,1,0,1,0,1,1,1,8.0,8.0,74.3%
16,17,Matt Prater(ARI),1,3,33.3,53,0,0,0,0,1,2,3,1,7.0,7.0,52.8%
17,18,Jason Myers(SEA),2,2,100.0,27,0,2,0,0,0,1,1,1,7.0,7.0,22.1%
