player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,rost,team,week,position,opponent,home,year
Giorgio Tavecchio,4,4,100.0,52,0,1,0,1,2,2,2,1,19.0,1.0,TEN,1,K,LV,True,2017
Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,TEN,1,K,LV,True,2017
Randy Bullock,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,10.8,TEN,1,K,LV,True,2017
Greg Zuerlein,3,3,100.0,50,0,0,1,1,1,5,5,1,17.0,74.2,DAL,1,K,NYG,True,2017
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,1,K,NYG,True,2017
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,1,K,NYG,True,2017
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,1,K,NYG,True,2017
Dan Bailey,4,4,100.0,48,0,1,1,2,0,1,1,1,15.0,0.0,FA,1,K,,,2017
Caleb Sturgis,3,3,100.0,50,0,0,1,1,1,1,2,1,13.0,0.0,FA,1,K,,,2017
Matt Bryant,3,3,100.0,48,0,1,1,1,0,2,2,1,12.0,1.1,FA,1,K,,,2017
Blair Walsh,3,3,100.0,41,0,1,1,1,0,0,0,1,10.0,0.1,FA,1,K,,,2017
Stephen Gostkowski,2,2,100.0,32,0,1,1,0,0,3,3,1,9.0,0.1,FA,1,K,,,2017
Chandler Catanzaro,2,2,100.0,52,0,0,0,1,1,0,0,1,9.0,0.0,FA,1,K,,,2017
Connor Barth,1,1,100.0,54,0,0,0,0,1,2,2,1,7.0,0.0,FA,1,K,,,2017
Phil Dawson,1,2,50.0,24,0,1,0,0,0,2,2,1,5.0,0.1,FA,1,K,,,2017
Stephen Hauschka,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,0.0,FA,1,K,,,2017
Adam Vinatieri,1,2,50.0,20,0,1,0,0,0,0,1,1,3.0,0.2,FA,1,K,,,2017
Aldrick Rosas,1,1,100.0,25,0,1,0,0,0,0,0,1,3.0,1.8,FA,1,K,,,2017
Kasey Redfern,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,FA,1,K,,,2017
Wil Lutz,4,4,100.0,43,0,3,0,1,0,1,1,1,14.0,3.3,NO,1,K,MIN,False,2017
Brett Maher,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.9,NO,1,K,MIN,False,2017
Ryan Succop,3,4,75.0,52,0,2,0,0,1,1,1,1,12.0,57.4,TB,1,K,MIA,False,2017
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,1,K,MIA,False,2017
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,1,K,MIA,False,2017
Jason Myers,3,4,75.0,42,0,1,1,1,0,2,3,1,12.0,22.1,SEA,1,K,GB,False,2017
Kai Forbath,3,3,100.0,45,0,1,1,1,0,2,3,1,12.0,3.0,LAR,1,K,IND,True,2017
Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,89.8,LAR,1,K,IND,True,2017
