player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,rost,team,week,position,opponent,home
Harrison Butker,4,4,100.0,46,0,2,1,1,0,4,4,1,17.0,76.6,KC,1,K,JAC,False
Stephen Gostkowski,4,4,100.0,41,0,1,2,1,0,3,3,1,16.0,0.1,FA,1,K,,
Josh Lambo,2,2,100.0,37,0,1,1,0,0,2,2,1,8.0,3.2,FA,1,K,,
Stephen Hauschka,1,1,100.0,43,0,0,0,1,0,2,2,1,6.0,0.0,FA,1,K,,
Aldrick Rosas,1,1,100.0,28,0,1,0,0,0,2,2,1,5.0,1.8,FA,1,K,,
Adam Vinatieri,1,3,33.3,44,0,0,0,1,0,1,2,1,5.0,0.2,FA,1,K,,
Dan Bailey,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,0.0,FA,1,K,,
Kaare Vedvik,0,1,0.0,0,0,0,0,0,0,0,1,1,0.0,0.2,FA,1,K,,
Matt McCrane,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,FA,1,K,,
Sebastian Janikowski,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,20.0,FA,1,K,,
Mike Nugent,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,1.0,FA,1,K,,
Matt Bryant,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,1.1,FA,1,K,,
Caleb Sturgis,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,FA,1,K,,
Cody Parkey,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.4,FA,1,K,,
Greg Zuerlein,3,4,75.0,56,0,1,0,1,1,3,3,1,15.0,74.2,DAL,1,K,NYG,True
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,1,K,NYG,True
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,1,K,NYG,True
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,1,K,NYG,True
Wil Lutz,3,4,75.0,58,0,0,1,1,1,3,3,1,15.0,3.3,NO,1,K,HOU,True
Brett Maher,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,1.9,NO,1,K,HOU,True
Zane Gonzalez,4,4,100.0,42,0,2,1,1,0,1,1,1,14.0,2.6,CAR,1,K,LAR,True
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,1,K,LAR,True
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,1,K,LAR,True
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,1,K,LAR,True
Cairo Santos,2,2,100.0,53,0,0,1,0,1,5,5,1,13.0,2.1,CHI,1,K,GB,True
Robbie Gould,3,4,75.0,47,0,1,1,1,0,2,2,1,12.0,22.5,SF,1,K,TB,False
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,1,K,TB,False
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,1,K,TB,False
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,1,K,TB,False
Joey Slye,2,3,66.7,52,0,0,0,1,1,3,3,1,12.0,1.6,WAS,1,K,PHI,False
Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.6,WAS,1,K,PHI,False
Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,1,K,PHI,False
Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,1,K,PHI,False
Dustin Hopkins,2,2,100.0,48,0,0,0,2,0,3,3,1,11.0,14.5,LAC,1,K,IND,True
Ty Long,1,1,100.0,40,0,0,0,1,0,3,3,1,7.0,0.7,LAC,1,K,IND,True
Justin Tucker,1,1,100.0,34,0,0,1,0,0,8,8,1,11.0,98.0,BAL,1,K,MIA,False
Matt Prater,2,2,100.0,55,0,0,1,0,1,3,3,1,11.0,52.8,ARI,1,K,DET,True
Brandon McManus,3,4,75.0,39,0,2,1,0,0,1,1,1,10.0,44.3,DEN,1,K,LV,False
Randy Bullock,2,3,66.7,39,0,1,1,0,0,2,2,1,8.0,10.8,TEN,1,K,CLE,False
Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,TEN,1,K,CLE,False
Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,1.0,TEN,1,K,CLE,False
Daniel Carlson,1,1,100.0,29,0,1,0,0,0,3,3,1,6.0,74.3,LV,1,K,DEN,True
Jason Sanders,1,1,100.0,54,0,0,0,0,1,1,1,1,6.0,22.6,MIA,1,K,BAL,True
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,33.3,MIA,1,K,BAL,True
Jake Elliott,1,1,100.0,22,0,1,0,0,0,3,3,1,6.0,22.5,PHI,1,K,WAS,True
Matt Gay,1,1,100.0,31,0,0,1,0,0,2,2,1,5.0,89.8,LAR,1,K,CAR,False
Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,LAR,1,K,CAR,False
Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,LAR,1,K,CAR,False
Kai Forbath,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,3.0,LAR,1,K,CAR,False
Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,0.8,HOU,1,K,NO,False
Mason Crosby,1,1,100.0,39,0,0,1,0,0,1,1,1,4.0,40.7,GB,1,K,CHI,False
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,1,K,CHI,False
Eddy Pineiro,1,1,100.0,38,0,0,1,0,0,0,0,1,3.0,0.2,NYJ,1,K,BUF,True
Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NYJ,1,K,BUF,True
Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,1,K,BUF,True
Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,1,K,BUF,True
Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,1,K,BUF,True
Chris Boswell,1,1,100.0,19,1,0,0,0,0,0,0,1,3.0,51.0,PIT,1,K,NE,False
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,1,K,NE,False
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,1,K,NE,False
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,1,K,NE,False
Jason Myers,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,22.1,SEA,1,K,CIN,True
Austin Seibert,0,0,0.0,0,0,0,0,0,0,1,2,1,1.0,0.1,DET,1,K,ARI,False
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,1,K,ARI,False
Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,34.2,CIN,1,K,SEA,False
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,1,K,PIT,True
Nick Folk,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,81.8,NE,1,K,PIT,True
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,1,K,SF,True
Ryan Succop,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,57.4,TB,1,K,SF,True
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,1,K,SF,True
Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,40.9,ATL,1,K,MIN,False
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,1,K,MIN,False
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,1,K,MIN,False
Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,69.1,MIN,1,K,ATL,True
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,19.9,IND,1,K,LAC,False
Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4.1,IND,1,K,LAC,False
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,1,K,LAC,False
Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,CLE,1,K,TEN,True
Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.1,CLE,1,K,TEN,True
Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CLE,1,K,TEN,True
Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,JAC,1,K,KC,True
Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,84.8,BUF,1,K,NYJ,False
Graham Gano,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,31.4,NYG,1,K,DAL,False
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,1,K,DAL,False
Joey Slye,4,4,100.0,54,0,0,2,0,2,0,0,1,16.0,1.6,WAS,2,K,DAL,True
Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.6,WAS,2,K,DAL,True
Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,2,K,DAL,True
Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,2,K,DAL,True
Eddy Pineiro,3,3,100.0,53,0,0,0,1,2,1,1,1,15.0,0.2,NYJ,2,K,CLE,True
Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NYJ,2,K,CLE,True
Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,2,K,CLE,True
Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,2,K,CLE,True
Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,2,K,CLE,True
Austin Seibert,3,3,100.0,48,0,1,0,2,0,2,2,1,13.0,0.1,DET,2,K,LAC,True
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,2,K,LAC,True
Justin Tucker,3,3,100.0,51,0,1,1,0,1,2,2,1,13.0,98.0,BAL,2,K,ARI,True
Wil Lutz,3,3,100.0,52,0,0,1,1,1,0,0,1,12.0,3.3,NO,2,K,LAR,False
Brett Maher,1,1,100.0,25,0,1,0,0,0,4,4,1,7.0,1.9,NO,2,K,LAR,False
Robbie Gould,2,3,66.7,38,0,0,2,0,0,5,5,1,11.0,22.5,SF,2,K,CIN,False
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,2,K,CIN,False
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,2,K,CIN,False
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,2,K,CIN,False
Greg Zuerlein,2,2,100.0,24,0,2,0,0,0,3,3,1,9.0,74.2,DAL,2,K,WAS,False
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,2,K,WAS,False
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,2,K,WAS,False
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,2,K,WAS,False
Zane Gonzalez,3,3,100.0,22,0,3,0,0,0,0,0,1,9.0,2.6,CAR,2,K,TB,True
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,2,K,TB,True
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,2,K,TB,True
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,2,K,TB,True
Matt Gay,2,3,66.7,40,0,0,1,1,0,2,2,1,9.0,89.8,LAR,2,K,NO,True
Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,LAR,2,K,NO,True
Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,LAR,2,K,NO,True
Kai Forbath,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3.0,LAR,2,K,NO,True
Chris Boswell,2,2,100.0,41,0,0,1,1,0,2,2,1,9.0,51.0,PIT,2,K,SEA,True
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,2,K,SEA,True
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,2,K,SEA,True
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,2,K,SEA,True
Brandon McManus,2,2,100.0,43,0,0,0,2,0,0,0,1,8.0,44.3,DEN,2,K,CHI,True
Matt Bryant,1,2,50.0,50,0,0,0,0,1,3,3,1,8.0,1.1,FA,2,K,,
Stephen Gostkowski,1,2,50.0,28,0,1,0,0,0,4,6,1,7.0,0.1,FA,2,K,,
Josh Lambo,2,2,100.0,40,0,0,1,1,0,0,0,1,7.0,3.2,FA,2,K,,
Dan Bailey,1,2,50.0,31,0,0,1,0,0,1,2,1,4.0,0.0,FA,2,K,,
Stephen Hauschka,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,0.0,FA,2,K,,
Aldrick Rosas,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,1.8,FA,2,K,,
Adam Vinatieri,0,0,0.0,0,0,0,0,0,0,1,3,1,1.0,0.2,FA,2,K,,
Jake Elliott,2,2,100.0,41,0,0,1,1,0,0,0,1,7.0,22.5,PHI,2,K,ATL,False
Ka'imi Fairbairn,2,2,100.0,39,0,1,1,0,0,1,1,1,7.0,0.8,HOU,2,K,JAC,True
Cairo Santos,1,2,50.0,49,0,0,0,1,0,2,2,1,6.0,2.1,CHI,2,K,DEN,False
Randy Bullock,1,2,50.0,37,0,0,1,0,0,2,2,1,5.0,10.8,TEN,2,K,IND,True
Sam Ficken,1,1,100.0,46,0,0,0,1,0,0,0,1,4.0,0.1,TEN,2,K,IND,True
Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,TEN,2,K,IND,True
Daniel Carlson,1,1,100.0,29,0,1,0,0,0,1,1,1,4.0,74.3,LV,2,K,KC,True
Harrison Butker,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,76.6,KC,2,K,LV,False
Ty Long,1,3,33.3,39,0,0,1,0,0,1,1,1,4.0,0.7,LAC,2,K,DET,False
Dustin Hopkins,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,14.5,LAC,2,K,DET,False
Jason Myers,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,22.1,SEA,2,K,PIT,False
Mason Crosby,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,40.7,GB,2,K,MIN,True
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,2,K,MIN,True
Matt Prater,0,1,0.0,0,0,0,0,0,0,1,2,1,1.0,52.8,ARI,2,K,BAL,False
Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,CLE,2,K,NYJ,False
Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.1,CLE,2,K,NYJ,False
Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CLE,2,K,NYJ,False
Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,JAC,2,K,HOU,False
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,19.9,IND,2,K,TEN,False
Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4.1,IND,2,K,TEN,False
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,2,K,TEN,False
Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,40.9,ATL,2,K,PHI,True
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,2,K,PHI,True
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,2,K,PHI,True
Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,22.6,MIA,2,K,NE,True
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,33.3,MIA,2,K,NE,True
Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,69.1,MIN,2,K,GB,False
Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,34.2,CIN,2,K,SF,True
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,2,K,CAR,False
Ryan Succop,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,57.4,TB,2,K,CAR,False
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,2,K,CAR,False
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,2,K,MIA,False
Nick Folk,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,81.8,NE,2,K,MIA,False
