player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,rost,team,week,position,opponent,home
Cairo Santos,4,4,100.0,51,0,2,1,0,1,1,1,1,15.0,2.1,CHI,9,K,BYE,
Wil Lutz,2,3,66.7,41,0,1,0,1,0,5,5,1,12.0,3.3,NO,9,K,SF,False
Brett Maher,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.9,NO,9,K,SF,False
Nick Folk,3,3,100.0,28,0,3,0,0,0,2,2,1,11.0,81.8,NE,9,K,BYE,
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,9,K,BYE,
Brandon McManus,2,2,100.0,55,0,0,0,1,1,2,2,1,11.0,44.3,DEN,9,K,LV,False
Justin Tucker,2,2,100.0,49,0,0,0,2,0,1,1,1,9.0,98.0,BAL,9,K,PIT,True
Mason Crosby,2,3,66.7,34,0,1,1,0,0,2,2,1,8.0,40.7,GB,9,K,IND,True
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,9,K,IND,True
Graham Gano,2,3,66.7,38,0,0,2,0,0,1,1,1,7.0,31.4,NYG,9,K,PHI,True
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,9,K,PHI,True
Ryan Succop,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,57.4,TB,9,K,ATL,True
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,9,K,ATL,True
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,9,K,ATL,True
Greg Zuerlein,1,3,33.3,25,0,1,0,0,0,1,1,1,4.0,74.2,DAL,9,K,CLE,False
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,9,K,CLE,False
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,9,K,CLE,False
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,9,K,CLE,False
Robbie Gould,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,22.5,SF,9,K,NO,True
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,9,K,NO,True
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,9,K,NO,True
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,9,K,NO,True
Chris Boswell,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,51.0,PIT,9,K,BAL,False
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,9,K,BAL,False
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,9,K,BAL,False
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,9,K,BAL,False
Jason Myers,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,22.1,SEA,9,K,BUF,True
Harrison Butker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,76.6,KC,9,K,JAC,True
Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,40.9,ATL,9,K,TB,False
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,9,K,TB,False
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,9,K,TB,False
Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.6,WAS,9,K,BYE,
Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.6,WAS,9,K,BYE,
Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,9,K,BYE,
Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,9,K,BYE,
Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,74.3,LV,9,K,DEN,True
Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,22.6,MIA,9,K,NYJ,True
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,33.3,MIA,9,K,NYJ,True
Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,NYJ,9,K,MIA,False
Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NYJ,9,K,MIA,False
Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,9,K,MIA,False
Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,9,K,MIA,False
Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,9,K,MIA,False
Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,69.1,MIN,9,K,DET,True
Jake Elliott,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,22.5,PHI,9,K,NYG,False
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,19.9,IND,9,K,GB,False
Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4.1,IND,9,K,GB,False
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,9,K,GB,False
Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,LAR,9,K,CAR,True
Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,89.8,LAR,9,K,CAR,True
Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,LAR,9,K,CAR,True
Kai Forbath,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3.0,LAR,9,K,CAR,True
Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,CLE,9,K,DAL,True
Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.1,CLE,9,K,DAL,True
Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CLE,9,K,DAL,True
Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.6,CAR,9,K,LAR,False
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,9,K,LAR,False
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,9,K,LAR,False
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,9,K,LAR,False
Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,TEN,9,K,LAC,False
Randy Bullock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,10.8,TEN,9,K,LAC,False
Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,TEN,9,K,LAC,False
Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.7,LAC,9,K,TEN,True
Dustin Hopkins,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,14.5,LAC,9,K,TEN,True
Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.8,HOU,9,K,BYE,
Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DET,9,K,MIN,False
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,9,K,MIN,False
Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,34.2,CIN,9,K,BYE,
Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,JAC,9,K,KC,False
Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,84.8,BUF,9,K,SEA,False
Dustin Hopkins,4,4,100.0,50,0,1,2,0,1,2,2,1,16.0,14.5,LAC,10,K,MIA,True
Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.7,LAC,10,K,MIA,True
Dan Bailey,3,3,100.0,53,0,0,1,1,1,2,2,1,14.0,0.0,FA,10,K,,
Stephen Hauschka,4,4,100.0,41,0,2,1,1,0,1,2,1,14.0,0.0,FA,10,K,,
Phil Dawson,2,2,100.0,53,0,0,0,1,1,2,2,1,11.0,0.1,FA,10,K,,
Matt Bryant,3,4,75.0,46,0,0,1,2,0,0,1,1,11.0,1.1,FA,10,K,,
Chandler Catanzaro,3,3,100.0,39,1,0,2,0,0,2,2,1,11.0,0.0,FA,10,K,,
Caleb Sturgis,3,5,60.0,48,0,2,0,1,0,1,1,1,11.0,0.0,FA,10,K,,
Roberto Aguayo,2,2,100.0,30,0,1,1,0,0,4,4,1,9.0,0.1,FA,10,K,,
Nick Novak,1,3,33.3,51,0,0,0,0,1,3,3,1,8.0,0.1,FA,10,K,,
Mike Nugent,2,2,100.0,38,0,1,1,0,0,2,2,1,8.0,1.0,FA,10,K,,
Andrew Franks,1,1,100.0,27,0,1,0,0,0,4,4,1,7.0,0.0,FA,10,K,,
Josh Lambo,1,1,100.0,45,0,0,0,1,0,3,3,1,7.0,3.2,FA,10,K,,
Connor Barth,1,1,100.0,54,0,0,0,0,1,1,1,1,6.0,0.0,FA,10,K,,
Stephen Gostkowski,1,1,100.0,30,0,0,1,0,0,3,3,1,6.0,0.1,FA,10,K,,
Blair Walsh,0,0,0.0,0,0,0,0,0,0,2,3,1,2.0,0.1,FA,10,K,,
Cody Parkey,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,0.4,FA,10,K,,
Ryan Succop,2,2,100.0,51,0,1,0,0,1,5,5,1,13.0,57.4,TB,10,K,CHI,True
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,10,K,CHI,True
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,10,K,CHI,True
Cairo Santos,4,4,100.0,47,0,0,3,1,0,0,0,1,13.0,2.1,CHI,10,K,TB,False
Brandon McManus,3,4,75.0,50,0,1,1,0,1,2,2,1,13.0,44.3,DEN,10,K,NO,False
Jason Myers,2,2,100.0,54,0,0,0,1,1,1,1,1,10.0,22.1,SEA,10,K,NE,False
Greg Zuerlein,3,3,100.0,38,0,1,2,0,0,0,0,1,9.0,74.2,DAL,10,K,PIT,False
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,10,K,PIT,False
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,10,K,PIT,False
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,10,K,PIT,False
Justin Tucker,2,2,100.0,40,0,1,0,1,0,2,2,1,9.0,98.0,BAL,10,K,CLE,True
Mason Crosby,2,2,100.0,38,0,1,1,0,0,1,2,1,7.0,40.7,GB,10,K,TEN,False
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,10,K,TEN,False
Chris Boswell,2,3,66.7,39,0,1,1,0,0,0,0,1,6.0,51.0,PIT,10,K,DAL,True
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,10,K,DAL,True
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,10,K,DAL,True
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,10,K,DAL,True
Graham Gano,1,1,100.0,42,0,0,0,1,0,2,2,1,6.0,31.4,NYG,10,K,CIN,True
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,10,K,CIN,True
Wil Lutz,1,1,100.0,30,0,0,1,0,0,2,3,1,5.0,3.3,NO,10,K,DEN,True
Brett Maher,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.9,NO,10,K,DEN,True
Robbie Gould,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,22.5,SF,10,K,ARI,False
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,10,K,ARI,False
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,10,K,ARI,False
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,10,K,ARI,False
Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,JAC,10,K,HOU,True
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,19.9,IND,10,K,BYE,
Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4.1,IND,10,K,BYE,
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,10,K,BYE,
Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,69.1,MIN,10,K,WAS,False
Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,LAR,10,K,NYJ,False
Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,89.8,LAR,10,K,NYJ,False
Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,LAR,10,K,NYJ,False
Kai Forbath,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3.0,LAR,10,K,NYJ,False
Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,CLE,10,K,BAL,False
Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.1,CLE,10,K,BAL,False
Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CLE,10,K,BAL,False
Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DET,10,K,BYE,
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,10,K,BYE,
Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,NYJ,10,K,LAR,True
Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NYJ,10,K,LAR,True
Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,10,K,LAR,True
Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,10,K,LAR,True
Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,10,K,LAR,True
Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.8,HOU,10,K,JAC,False
Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,22.6,MIA,10,K,LAC,False
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,33.3,MIA,10,K,LAC,False
Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,TEN,10,K,GB,True
Randy Bullock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,10.8,TEN,10,K,GB,True
Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,TEN,10,K,GB,True
Jake Elliott,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,22.5,PHI,10,K,ATL,True
Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.6,CAR,10,K,KC,True
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,10,K,KC,True
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,10,K,KC,True
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,10,K,KC,True
Harrison Butker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,76.6,KC,10,K,CAR,False
Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.6,WAS,10,K,MIN,True
Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.6,WAS,10,K,MIN,True
Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,10,K,MIN,True
Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,10,K,MIN,True
Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,40.9,ATL,10,K,PHI,False
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,10,K,PHI,False
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,10,K,PHI,False
Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,74.3,LV,10,K,,
Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,34.2,CIN,10,K,NYG,False
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,10,K,SEA,True
Nick Folk,0,0,0.0,0,0,0,0,0,0,0,1,1,0.0,81.8,NE,10,K,SEA,True
Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,84.8,BUF,10,K,BYE,
Matt Prater,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,52.8,ARI,10,K,SF,True
Roberto Aguayo,4,4,100.0,41,0,1,2,1,0,1,1,1,14.0,0.1,FA,11,K,,
Dan Carpenter,3,3,100.0,54,0,2,0,0,1,1,1,1,12.0,0.2,FA,11,K,,
Sebastian Janikowski,2,2,100.0,20,1,1,0,0,0,3,3,1,9.0,20.0,FA,11,K,,
Dan Bailey,2,2,100.0,30,0,1,1,0,0,3,3,1,9.0,0.0,FA,11,K,,
Nick Novak,2,2,100.0,32,0,1,1,0,0,2,2,1,8.0,0.1,FA,11,K,,
Stephen Hauschka,2,3,66.7,35,0,1,1,0,0,2,3,1,8.0,0.0,FA,11,K,,
Adam Vinatieri,1,2,50.0,49,0,0,0,1,0,3,3,1,7.0,0.2,FA,11,K,,
Chandler Catanzaro,1,1,100.0,34,0,0,1,0,0,3,3,1,6.0,0.0,FA,11,K,,
Stephen Gostkowski,1,1,100.0,38,0,0,1,0,0,3,4,1,6.0,0.1,FA,11,K,,
Phil Dawson,1,1,100.0,33,0,0,1,0,0,2,2,1,5.0,0.1,FA,11,K,,
Connor Barth,1,2,50.0,40,0,0,0,1,0,1,2,1,5.0,0.0,FA,11,K,,
Cody Parkey,1,1,100.0,24,0,1,0,0,0,0,1,1,3.0,0.4,FA,11,K,,
Andrew Franks,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,0.0,FA,11,K,,
Caleb Sturgis,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,0.0,FA,11,K,,
Mike Nugent,0,0,0.0,0,0,0,0,0,0,0,2,1,0.0,1.0,FA,11,K,,
Graham Gano,3,3,100.0,49,0,0,1,2,0,2,2,1,13.0,31.4,NYG,11,K,CHI,True
Mark Hickok,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYG,11,K,CHI,True
Chris Boswell,3,3,100.0,33,0,1,2,0,0,1,1,1,10.0,51.0,PIT,11,K,CLE,False
Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,11,K,CLE,False
Sam Sloman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,11,K,CLE,False
Piotr Czech,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,PIT,11,K,CLE,False
Jason Myers,2,2,100.0,52,0,1,0,0,1,1,2,1,9.0,22.1,SEA,11,K,PHI,True
Matt Prater,2,2,100.0,43,0,1,0,1,0,2,3,1,9.0,52.8,ARI,11,K,MIN,False
Wil Lutz,2,3,66.7,30,0,1,1,0,0,2,2,1,8.0,3.3,NO,11,K,CAR,False
Brett Maher,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.9,NO,11,K,CAR,False
Dustin Hopkins,1,1,100.0,37,0,0,1,0,0,3,4,1,6.0,14.5,LAC,11,K,,
Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.7,LAC,11,K,,
Justin Tucker,1,1,100.0,46,0,0,0,1,0,2,2,1,6.0,98.0,BAL,11,K,DAL,False
Ryan Succop,1,1,100.0,47,0,0,0,1,0,2,2,1,6.0,57.4,TB,11,K,KC,False
Jose Borregales,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,11,K,KC,False
Garrett Rivas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,TB,11,K,KC,False
Mason Crosby,1,2,50.0,36,0,0,1,0,0,3,3,1,6.0,40.7,GB,11,K,WAS,False
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,11,K,WAS,False
Kai Forbath,1,1,100.0,27,0,1,0,0,0,3,4,1,6.0,3.0,LAR,11,K,MIA,True
Matt Gay,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,89.8,LAR,11,K,MIA,True
Ryan Santoso,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,LAR,11,K,MIA,True
Austin MacGinnis,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,LAR,11,K,MIA,True
Robbie Gould,1,1,100.0,46,0,0,0,1,0,1,3,1,5.0,22.5,SF,11,K,NE,True
Ricky Schmit,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,11,K,NE,True
MacKenzie Hoambrecker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,11,K,NE,True
Andrew Jacas,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,SF,11,K,NE,True
Greg Zuerlein,1,2,50.0,46,0,0,0,1,0,1,1,1,5.0,74.2,DAL,11,K,BAL,True
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,11,K,BAL,True
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,11,K,BAL,True
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,11,K,BAL,True
Cairo Santos,1,1,100.0,22,0,1,0,0,0,2,2,1,5.0,2.1,CHI,11,K,NYG,False
Michael Badgley,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,19.9,IND,11,K,TEN,True
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,11,K,TEN,True
Rodrigo Blankenship,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4.1,IND,11,K,TEN,True
Chris Blewitt,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,CLE,11,K,PIT,True
Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,7.1,CLE,11,K,PIT,True
Jason Reda,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CLE,11,K,PIT,True
Austin Seibert,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DET,11,K,JAC,True
Riley Patterson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,DET,11,K,JAC,True
Matthew Wright,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,JAC,11,K,DET,False
Sam Ficken,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,TEN,11,K,IND,False
Giorgio Tavecchio,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,TEN,11,K,IND,False
Randy Bullock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,10.8,TEN,11,K,IND,False
Jake Elliott,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,22.5,PHI,11,K,SEA,False
Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2.6,CAR,11,K,NO,True
Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,11,K,NO,True
Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,CAR,11,K,NO,True
Andrew Wellock,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,CAR,11,K,NO,True
Harrison Butker,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,76.6,KC,11,K,TB,True
Younghoe Koo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,40.9,ATL,11,K,BYE,
Zac Derr,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,11,K,BYE,
Garrett Lindholm,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,ATL,11,K,BYE,
Daniel Carlson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,74.3,LV,11,K,HOU,True
Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,22.6,MIA,11,K,LAR,False
Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,33.3,MIA,11,K,LAR,False
Eddy Pineiro,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,NYJ,11,K,BYE,
Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NYJ,11,K,BYE,
Steven Weatherford,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,11,K,BYE,
Parker Douglass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,11,K,BYE,
Sergio Castillo,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,NYJ,11,K,BYE,
Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.8,HOU,11,K,LV,False
Greg Joseph,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,69.1,MIN,11,K,ARI,True
Joey Slye,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.6,WAS,11,K,GB,True
Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.6,WAS,11,K,GB,True
Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,11,K,GB,True
Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,11,K,GB,True
Evan McPherson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,34.2,CIN,11,K,BUF,True
Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,NE,11,K,SF,False
Nick Folk,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,81.8,NE,11,K,SF,False
Tyler Bass,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,84.8,BUF,11,K,CIN,False
Brandon McManus,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,44.3,DEN,11,K,BYE,
Justin Tucker,4,4,100.0,57,0,0,1,0,3,1,1,1,19.0,98.0,BAL,12,K,CIN,True
Matt Prater,3,3,100.0,48,0,1,0,2,0,1,1,1,12.0,52.8,ARI,12,K,ATL,False
Stephen Gostkowski,3,4,75.0,41,0,2,0,1,0,1,1,1,11.0,0.1,FA,12,K,,
Caleb Sturgis,2,2,100.0,50,0,0,0,1,1,1,1,1,10.0,0.0,FA,12,K,,
Sebastian Janikowski,2,2,100.0,23,0,2,0,0,0,3,3,1,9.0,20.0,FA,12,K,,
Matt Bryant,1,1,100.0,45,0,0,0,1,0,5,5,1,9.0,1.1,FA,12,K,,
Chandler Catanzaro,2,2,100.0,54,0,1,0,0,1,1,1,1,9.0,0.0,FA,12,K,,
Dan Bailey,1,1,100.0,46,0,0,0,1,0,4,4,1,8.0,0.0,FA,12,K,,
Nick Novak,2,2,100.0,45,1,0,0,1,0,1,1,1,8.0,0.1,FA,12,K,,
