player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,rost,team,week,position,opponent,home,year
Mason Crosby,2,2,100.0,43,0,0,1,1,0,5,5,1,12.0,40.7,GB,1,K,MIN,False,2020
JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,GB,1,K,MIN,False,2020
Josh Lambo,2,2,100.0,50,0,0,0,1,1,3,3,1,12.0,3.2,FA,1,K,,,2020
Dan Bailey,1,1,100.0,35,0,0,1,0,0,1,1,1,4.0,0.0,FA,1,K,,,2020
Stephen Gostkowski,1,4,25.0,25,0,1,0,0,0,1,2,1,4.0,0.1,FA,1,K,,,2020
Matt Prater,3,4,75.0,44,0,1,1,1,0,2,2,1,12.0,52.8,ARI,1,K,SF,False,2020
Joey Slye,3,3,100.0,47,0,0,1,2,0,1,2,1,12.0,1.6,WAS,1,K,PHI,True,2020
Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6.6,WAS,1,K,PHI,True,2020
Clint Stitser,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,1,K,PHI,True,2020
Saverio Rocca,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,WAS,1,K,PHI,True,2020
Daniel Carlson,2,2,100.0,54,0,1,0,0,1,4,4,1,12.0,74.3,LV,1,K,CAR,False,2020
Michael Badgley,3,4,75.0,43,0,2,0,1,0,1,1,1,11.0,19.9,IND,1,K,JAC,False,2020
Rodrigo Blankenship,2,3,66.7,38,0,1,1,0,0,2,2,1,8.0,4.1,IND,1,K,JAC,False,2020
Jake Verity,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,IND,1,K,JAC,False,2020
Harrison Butker,2,2,100.0,29,1,1,0,0,0,4,4,1,10.0,76.6,KC,1,K,HOU,True,2020
Robbie Gould,2,2,100.0,52,0,1,0,0,1,2,2,1,10.0,22.5,SF,1,K,ARI,True,2020
