player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,rost,team,week,position,opponent,home,year
Greg Zuerlein,4,5,80.0,55,0,3,0,0,1,3,3,1,17.0,74.2,DAL,1,K,CAR,False,2018
Chris Naggar,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,DAL,1,K,CAR,False,2018
Carlos Martinez,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,1,K,CAR,False,2018
Connor Hughes,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,DAL,1,K,CAR,False,2018
Adam Vinatieri,3,4,75.0,51,0,1,1,0,1,2,2,1,13.0,0.2,FA,1,K,,,2018
Chandler Catanzaro,2,3,66.7,36,0,0,2,0,0,6,6,1,12.0,0.0,FA,1,K,,,2018
Cody Parkey,3,3,100.0,33,0,1,2,0,0,2,2,1,11.0,0.4,FA,1,K,,,2018
Aldrick Rosas,3,3,100.0,44,0,1,1,1,0,0,0,1,10.0,1.8,FA,1,K,,,2018
Stephen Gostkowski,2,2,100.0,39,0,0,2,0,0,3,3,1,9.0,0.1,FA,1,K,,,2018
Josh Lambo,2,2,100.0,39,0,0,2,0,0,2,2,1,8.0,3.2,FA,1,K,,,2018
Mike Nugent,2,2,100.0,48,0,1,0,1,0,1,1,1,8.0,1.0,FA,1,K,,,2018
Matt Bryant,2,2,100.0,52,0,1,0,0,1,0,1,1,8.0,1.1,FA,1,K,,,2018
Caleb Sturgis,2,3,66.7,45,0,0,1,1,0,0,0,1,7.0,0.0,FA,1,K,,,2018
Sebastian Janikowski,1,2,50.0,35,0,0,1,0,0,3,3,1,6.0,20.0,FA,1,K,,,2018
Stephen Hauschka,1,2,50.0,35,0,0,1,0,0,0,0,1,3.0,0.0,FA,1,K,,,2018
Phil Dawson,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.1,FA,1,K,,,2018
Brandon McManus,2,2,100.0,53,0,0,0,0,2,3,3,1,13.0,44.3,DEN,1,K,SEA,True,2018
