,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Melvin Gordon III(DEN),22,68,3.1,13,0,2,6,7,53,8.8,1,0,1,30.1,30.1,87.8%
1,2,Jay Ajayi(FA),28,214,7.6,53,1,1,1,1,2,2.0,0,0,1,27.6,27.6,7.0%
2,3,Matt Forte(FA),30,100,3.3,15,0,1,4,4,54,13.5,1,1,1,25.4,25.4,19.1%
3,4,LeGarrette Blount(FA),24,127,5.3,25,1,2,1,1,7,7.0,0,0,1,25.4,25.4,0.1%
4,5,Jeremy Hill(FA),9,168,18.7,74,3,1,2,2,24,12.0,0,0,1,25.2,25.2,0.0%
5,6,Spencer Ware(FA),17,77,4.5,12,0,0,2,2,54,27.0,1,0,1,19.1,19.1,0.0%
6,7,DeMarco Murray(FA),25,107,4.3,14,0,1,3,5,20,6.7,0,0,1,18.7,18.7,0.1%
7,8,Latavius Murray(BAL),18,59,3.3,10,0,2,2,5,4,2.0,0,0,1,18.3,18.3,22.2%
8,9,David Johnson(HOU),33,113,3.4,14,0,0,8,13,58,7.3,0,0,1,17.1,17.1,35.4%
9,10,C.J. Anderson(FA),16,107,6.7,19,0,1,0,0,0,0,0,0,1,16.7,16.7,1.0%
10,11,Jacquizz Rodgers(FA),26,154,5.9,45,1,0,1,1,9,9.0,0,0,1,16.3,16.3,0.0%
11,12,Le'Veon Bell(FA),21,81,3.9,12,0,0,10,13,68,6.8,0,0,1,14.9,14.9,5.4%
12,13,Devontae Booker(NYG),17,83,4.9,12,0,1,1,2,4,4.0,0,0,1,14.7,14.7,23.3%
13,14,Giovani Bernard(TB),17,80,4.7,17,0,1,1,2,7,7.0,0,0,1,14.7,14.7,5.4%
14,15,Peyton Barber(LV),12,84,7.0,44,1,1,0,0,0,0,0,0,1,14.4,14.4,1.2%
15,16,Frank Gore(FA),17,61,3.6,10,0,0,5,5,22,4.4,1,0,1,14.3,14.3,12.2%
16,17,Isaiah Crowell(FA),12,63,5.3,21,1,1,3,4,16,5.3,0,0,1,13.9,13.9,0.1%
17,18,Tevin Coleman(NYJ),8,64,8.0,30,1,1,1,1,10,10.0,0,0,1,13.4,13.4,18.5%
18,19,Mark Ingram II(NO),16,62,3.9,7,0,0,4,4,20,5.0,1,1,1,12.2,12.2,39.1%
19,20,Chris Thompson(FA),12,73,6.1,16,0,0,7,7,40,5.7,0,0,1,11.3,11.3,0.0%
20,21,Shaun Draughn(FA),1,16,16.0,16,0,0,5,7,37,7.4,1,0,1,11.3,11.3,0.0%
21,22,Rashad Jennings(FA),13,25,1.9,5,0,1,2,3,24,12.0,0,0,1,10.9,10.9,0.0%
22,23,Devonta Freeman(BAL),15,58,3.9,15,0,0,5,6,42,8.4,0,0,1,10.0,10.0,74.2%
23,24,Reggie Bush(FA),1,1,1.0,1,0,1,1,2,13,13.0,0,0,1,9.4,9.4,0.0%
24,25,James White(NE),0,0,0,0,0,0,2,5,32,16.0,1,0,1,9.2,9.2,7.9%
25,26,Todd Gurley II(FA),15,57,3.8,8,0,0,6,7,35,5.8,0,0,1,9.2,9.2,0.4%
26,27,Zach Zenner(FA),9,29,3.2,9,0,1,0,2,0,0,0,0,1,8.9,8.9,0.0%
27,28,Mike Davis(ATL),7,21,3.0,8,0,1,0,0,0,0,0,0,1,8.1,8.1,49.7%
28,29,Matt Asiata(FA),12,55,4.6,29,1,0,6,8,25,4.2,0,0,1,8.0,8.0,0.0%
29,30,Robert Kelley(FA),4,15,3.8,5,0,0,1,1,1,1.0,1,0,1,7.6,7.6,0.0%
30,31,Damien Williams(CHI),4,16,4.0,12,0,1,0,1,0,0,0,0,1,7.6,7.6,4.4%
31,32,Lamar Miller(FA),11,61,5.5,25,1,0,3,4,6,2.0,0,0,1,6.7,6.7,0.0%
32,33,Ryan Mathews(FA),14,56,4.0,20,1,0,1,1,27,27.0,0,1,1,6.3,6.3,0.0%
33,34,DuJuan Harris(FA),11,39,3.5,18,0,0,2,2,18,9.0,0,0,1,5.7,5.7,0.0%
34,35,Ka'Deem Carey(FA),10,48,4.8,24,1,0,1,1,9,9.0,0,0,1,5.7,5.7,0.0%
35,36,Christine Michael(FA),16,52,3.3,10,0,0,3,3,3,1.0,0,0,1,5.5,5.5,0.0%
36,37,Chris Ivory(FA),5,48,9.6,42,1,0,2,4,3,1.5,0,0,1,5.1,5.1,0.0%
37,38,Darren Sproles(FA),3,26,8.7,17,0,0,2,3,23,11.5,0,0,1,4.9,4.9,0.1%
38,39,Justin Forsett(FA),8,33,4.1,9,0,0,2,2,15,7.5,0,0,1,4.8,4.8,0.0%
39,40,Jerick McKinnon(KC),11,43,3.9,9,0,0,1,1,5,5.0,0,0,1,4.8,4.8,0.8%
40,41,Antone Smith(FA),1,6,6.0,6,0,0,2,3,41,20.5,0,0,1,4.7,4.7,0.0%
41,42,Tim Hightower(FA),5,39,7.8,13,0,0,1,1,5,5.0,0,0,1,4.4,4.4,0.0%
42,43,Alfred Blue(FA),11,63,5.7,17,0,0,0,3,0,0,0,1,1,4.3,4.3,0.0%
43,44,Rex Burkhead(HOU),4,23,5.8,11,0,0,1,1,10,10.0,0,0,1,3.3,3.3,31.5%
44,45,Duke Johnson Jr.(MIA),6,15,2.5,5,0,0,4,5,18,4.5,0,0,1,3.3,3.3,7.4%
45,46,T.J. Yeldon(FA),6,24,4.0,15,0,0,1,2,4,4.0,0,0,1,2.8,2.8,0.0%
46,47,Jordan Howard(PHI),7,22,3.1,11,0,0,0,1,0,0,0,0,1,2.2,2.2,18.7%
47,48,Robert Turbin(FA),2,3,1.5,3,0,0,1,1,19,19.0,0,0,1,2.2,2.2,0.0%
48,49,DeAndre Washington(FA),5,16,3.2,6,0,0,1,2,6,6.0,0,0,1,2.2,2.2,11.0%
49,50,Malcolm Johnson(FA),0,0,0,0,0,0,1,2,21,21.0,0,0,1,2.1,2.1,0.0%
50,51,Mike Gillislee(FA),5,20,4.0,20,1,0,0,0,0,0,0,0,1,2.0,2.0,0.0%
51,52,Bilal Powell(FA),4,18,4.5,9,0,0,0,0,0,0,0,0,1,1.8,1.8,0.0%
52,53,C.J. Prosise(FA),1,0,0.0,0,0,0,2,3,17,8.5,0,0,1,1.7,1.7,0.0%
53,54,Paul Perkins(FA),4,12,3.0,10,0,0,1,1,4,4.0,0,0,1,1.6,1.6,0.0%
54,55,Aaron Ripkowski(FA),3,8,2.7,4,0,0,1,1,8,8.0,0,0,1,1.6,1.6,0.0%
55,56,Andy Janovich(CLE),1,1,1.0,1,0,0,1,2,12,12.0,0,0,1,1.3,1.3,0.1%
56,57,Wendell Smallwood(FA),4,13,3.3,4,0,0,0,0,0,0,0,0,1,1.3,1.3,0.0%
57,58,Kenneth Farrow(FA),2,13,6.5,9,0,0,0,0,0,0,0,0,1,1.3,1.3,0.0%
58,59,Jamize Olawale(DAL),3,12,4.0,6,0,0,0,0,0,0,0,0,1,1.2,1.2,0.0%
59,60,LeSean McCoy(FA),8,11,1.4,4,0,0,0,0,0,0,0,0,1,1.1,1.1,2.0%
60,61,Terrance West(FA),8,10,1.3,5,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0%
61,62,Lorenzo Taliaferro(FA),1,0,0.0,0,0,0,3,3,10,3.3,0,0,1,1.0,1.0,0.0%
62,63,Arian Foster(FA),3,5,1.7,3,0,0,1,3,4,4.0,0,0,1,0.9,0.9,0.0%
63,64,Benny Cunningham Jr.(FA),3,4,1.3,2,0,0,1,1,5,5.0,0,0,1,0.9,0.9,0.0%
64,65,Tyler Ervin(FA),0,0,0,0,0,0,1,1,9,9.0,0,0,1,0.9,0.9,0.0%
65,66,Charcandrick West(FA),4,5,1.3,2,0,0,1,3,3,3.0,0,0,1,0.8,0.8,0.0%
66,67,Andre Ellington(FA),2,7,3.5,5,0,0,0,1,0,0,0,0,1,0.7,0.7,0.1%
