player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Larry Fitzgerald,3.0,15.0,43.0,14.3,21.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.3,WR,1,2010,ARI,LAR,False,328.0,570.0,57.5,3578.0,6.8,223.6,65.0,21.0,14.0,43.0,290.0,80.4,404.0,1810.0,4.5,113.1,80.0,7.0,5.0,3.0,328.0,3868.0,11.8,241.8,65.0,21.0,5.0,4.0,304.0,88.0,191.0,25.0,74.0,221.0,33.5,6.0,12.0,50.0,126.0,1008.0
Louis Murphy,6.0,10.0,91.0,15.2,27.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,2,2010,LV,LAR,True,328.0,570.0,57.5,3578.0,6.8,223.6,65.0,21.0,14.0,43.0,290.0,80.4,404.0,1810.0,4.5,113.1,80.0,7.0,5.0,3.0,328.0,3868.0,11.8,241.8,65.0,21.0,5.0,4.0,304.0,88.0,191.0,25.0,74.0,221.0,33.5,6.0,12.0,50.0,126.0,1008.0
Darrius Heyward-Bey,6.0,13.0,80.0,13.3,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,2,2010,LV,LAR,True,328.0,570.0,57.5,3578.0,6.8,223.6,65.0,21.0,14.0,43.0,290.0,80.4,404.0,1810.0,4.5,113.1,80.0,7.0,5.0,3.0,328.0,3868.0,11.8,241.8,65.0,21.0,5.0,4.0,304.0,88.0,191.0,25.0,74.0,221.0,33.5,6.0,12.0,50.0,126.0,1008.0
Santana Moss,6.0,8.0,124.0,20.7,56.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,WR,3,2010,WAS,LAR,False,328.0,570.0,57.5,3578.0,6.8,223.6,65.0,21.0,14.0,43.0,290.0,80.4,404.0,1810.0,4.5,113.1,80.0,7.0,5.0,3.0,328.0,3868.0,11.8,241.8,65.0,21.0,5.0,4.0,304.0,88.0,191.0,25.0,74.0,221.0,33.5,6.0,12.0,50.0,126.0,1008.0
Golden Tate,3.0,5.0,30.0,10.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.1,WR,4,2010,SEA,LAR,False,328.0,570.0,57.5,3578.0,6.8,223.6,65.0,21.0,14.0,43.0,290.0,80.4,404.0,1810.0,4.5,113.1,80.0,7.0,5.0,3.0,328.0,3868.0,11.8,241.8,65.0,21.0,5.0,4.0,304.0,88.0,191.0,25.0,74.0,221.0,33.5,6.0,12.0,50.0,126.0,1008.0
Brandon Stokley,4.0,8.0,62.0,15.5,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,4,2010,SEA,LAR,False,328.0,570.0,57.5,3578.0,6.8,223.6,65.0,21.0,14.0,43.0,290.0,80.4,404.0,1810.0,4.5,113.1,80.0,7.0,5.0,3.0,328.0,3868.0,11.8,241.8,65.0,21.0,5.0,4.0,304.0,88.0,191.0,25.0,74.0,221.0,33.5,6.0,12.0,50.0,126.0,1008.0
Deon Butler,2.0,5.0,20.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,4,2010,SEA,LAR,False,328.0,570.0,57.5,3578.0,6.8,223.6,65.0,21.0,14.0,43.0,290.0,80.4,404.0,1810.0,4.5,113.1,80.0,7.0,5.0,3.0,328.0,3868.0,11.8,241.8,65.0,21.0,5.0,4.0,304.0,88.0,191.0,25.0,74.0,221.0,33.5,6.0,12.0,50.0,126.0,1008.0
Calvin Johnson,4.0,9.0,54.0,13.5,29.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,5,2010,DET,LAR,True,328.0,570.0,57.5,3578.0,6.8,223.6,65.0,21.0,14.0,43.0,290.0,80.4,404.0,1810.0,4.5,113.1,80.0,7.0,5.0,3.0,328.0,3868.0,11.8,241.8,65.0,21.0,5.0,4.0,304.0,88.0,191.0,25.0,74.0,221.0,33.5,6.0,12.0,50.0,126.0,1008.0
Nate Burleson,4.0,6.0,56.0,14.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,5,2010,DET,LAR,True,328.0,570.0,57.5,3578.0,6.8,223.6,65.0,21.0,14.0,43.0,290.0,80.4,404.0,1810.0,4.5,113.1,80.0,7.0,5.0,3.0,328.0,3868.0,11.8,241.8,65.0,21.0,5.0,4.0,304.0,88.0,191.0,25.0,74.0,221.0,33.5,6.0,12.0,50.0,126.0,1008.0
Malcom Floyd,2.0,5.0,15.0,7.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,6,2010,LAC,LAR,False,328.0,570.0,57.5,3578.0,6.8,223.6,65.0,21.0,14.0,43.0,290.0,80.4,404.0,1810.0,4.5,113.1,80.0,7.0,5.0,3.0,328.0,3868.0,11.8,241.8,65.0,21.0,5.0,4.0,304.0,88.0,191.0,25.0,74.0,221.0,33.5,6.0,12.0,50.0,126.0,1008.0
Mike Williams,5.0,11.0,82.0,16.4,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,7,2010,TB,LAR,True,328.0,570.0,57.5,3578.0,6.8,223.6,65.0,21.0,14.0,43.0,290.0,80.4,404.0,1810.0,4.5,113.1,80.0,7.0,5.0,3.0,328.0,3868.0,11.8,241.8,65.0,21.0,5.0,4.0,304.0,88.0,191.0,25.0,74.0,221.0,33.5,6.0,12.0,50.0,126.0,1008.0
Mike Williams,5.0,11.0,82.0,16.4,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,7,2010,TB,LAR,True,328.0,570.0,57.5,3578.0,6.8,223.6,65.0,21.0,14.0,43.0,290.0,80.4,404.0,1810.0,4.5,113.1,80.0,7.0,5.0,3.0,328.0,3868.0,11.8,241.8,65.0,21.0,5.0,4.0,304.0,88.0,191.0,25.0,74.0,221.0,33.5,6.0,12.0,50.0,126.0,1008.0
Arrelious Benn,1.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,WR,7,2010,TB,LAR,True,328.0,570.0,57.5,3578.0,6.8,223.6,65.0,21.0,14.0,43.0,290.0,80.4,404.0,1810.0,4.5,113.1,80.0,7.0,5.0,3.0,328.0,3868.0,11.8,241.8,65.0,21.0,5.0,4.0,304.0,88.0,191.0,25.0,74.0,221.0,33.5,6.0,12.0,50.0,126.0,1008.0
