player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Marcedes Lewis,2.0,2.0,31.0,15.5,21.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,15.1,TE,1,2010,JAC,DEN,True,297.0,502.0,59.2,3780.0,7.8,236.3,73.0,26.0,10.0,23.0,156.0,93.0,531.0,2473.0,4.7,154.6,71.0,26.0,13.0,5.0,297.0,3936.0,13.3,246.0,73.0,26.0,1.0,0.0,334.0,126.0,184.0,24.0,80.0,209.0,38.3,10.0,16.0,62.5,98.0,921.0
Zach Miller,2.0,2.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,1,2010,JAC,DEN,True,297.0,502.0,59.2,3780.0,7.8,236.3,73.0,26.0,10.0,23.0,156.0,93.0,531.0,2473.0,4.7,154.6,71.0,26.0,13.0,5.0,297.0,3936.0,13.3,246.0,73.0,26.0,1.0,0.0,334.0,126.0,184.0,24.0,80.0,209.0,38.3,10.0,16.0,62.5,98.0,921.0
Zach Miller,2.0,2.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,1,2010,JAC,DEN,True,297.0,502.0,59.2,3780.0,7.8,236.3,73.0,26.0,10.0,23.0,156.0,93.0,531.0,2473.0,4.7,154.6,71.0,26.0,13.0,5.0,297.0,3936.0,13.3,246.0,73.0,26.0,1.0,0.0,334.0,126.0,184.0,24.0,80.0,209.0,38.3,10.0,16.0,62.5,98.0,921.0
Zach Miller,4.0,8.0,43.0,10.8,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,1,2010,JAC,DEN,True,297.0,502.0,59.2,3780.0,7.8,236.3,73.0,26.0,10.0,23.0,156.0,93.0,531.0,2473.0,4.7,154.6,71.0,26.0,13.0,5.0,297.0,3936.0,13.3,246.0,73.0,26.0,1.0,0.0,334.0,126.0,184.0,24.0,80.0,209.0,38.3,10.0,16.0,62.5,98.0,921.0
Zach Miller,4.0,8.0,43.0,10.8,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,1,2010,JAC,DEN,True,297.0,502.0,59.2,3780.0,7.8,236.3,73.0,26.0,10.0,23.0,156.0,93.0,531.0,2473.0,4.7,154.6,71.0,26.0,13.0,5.0,297.0,3936.0,13.3,246.0,73.0,26.0,1.0,0.0,334.0,126.0,184.0,24.0,80.0,209.0,38.3,10.0,16.0,62.5,98.0,921.0
John Carlson,5.0,10.0,48.0,9.6,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,2,2010,SEA,DEN,False,297.0,502.0,59.2,3780.0,7.8,236.3,73.0,26.0,10.0,23.0,156.0,93.0,531.0,2473.0,4.7,154.6,71.0,26.0,13.0,5.0,297.0,3936.0,13.3,246.0,73.0,26.0,1.0,0.0,334.0,126.0,184.0,24.0,80.0,209.0,38.3,10.0,16.0,62.5,98.0,921.0
Brody Eldridge,1.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,3,2010,IND,DEN,False,297.0,502.0,59.2,3780.0,7.8,236.3,73.0,26.0,10.0,23.0,156.0,93.0,531.0,2473.0,4.7,154.6,71.0,26.0,13.0,5.0,297.0,3936.0,13.3,246.0,73.0,26.0,1.0,0.0,334.0,126.0,184.0,24.0,80.0,209.0,38.3,10.0,16.0,62.5,98.0,921.0
Dallas Clark,5.0,7.0,44.0,8.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,3,2010,IND,DEN,False,297.0,502.0,59.2,3780.0,7.8,236.3,73.0,26.0,10.0,23.0,156.0,93.0,531.0,2473.0,4.7,154.6,71.0,26.0,13.0,5.0,297.0,3936.0,13.3,246.0,73.0,26.0,1.0,0.0,334.0,126.0,184.0,24.0,80.0,209.0,38.3,10.0,16.0,62.5,98.0,921.0
Jared Cook,1.0,2.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,TE,4,2010,TEN,DEN,True,297.0,502.0,59.2,3780.0,7.8,236.3,73.0,26.0,10.0,23.0,156.0,93.0,531.0,2473.0,4.7,154.6,71.0,26.0,13.0,5.0,297.0,3936.0,13.3,246.0,73.0,26.0,1.0,0.0,334.0,126.0,184.0,24.0,80.0,209.0,38.3,10.0,16.0,62.5,98.0,921.0
Craig Stevens,1.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,4,2010,TEN,DEN,True,297.0,502.0,59.2,3780.0,7.8,236.3,73.0,26.0,10.0,23.0,156.0,93.0,531.0,2473.0,4.7,154.6,71.0,26.0,13.0,5.0,297.0,3936.0,13.3,246.0,73.0,26.0,1.0,0.0,334.0,126.0,184.0,24.0,80.0,209.0,38.3,10.0,16.0,62.5,98.0,921.0
