Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Buffalo Bills,16,509,"2,432",4.8,152.0,60,19,9,2
Carolina Panthers,16,526,"2,282",4.3,142.6,47,19,8,5
Seattle Seahawks,16,501,"2,268",4.5,141.8,69,10,7,4
Minnesota Vikings,16,474,"2,211",4.7,138.2,80,18,9,4
Tampa Bay Buccaneers,16,455,"2,162",4.8,135.1,84,12,9,6
Kansas City Chiefs,16,436,"2,044",4.7,127.8,52,19,5,2
St. Louis Rams,16,429,"1,956",4.6,122.3,71,16,12,5
Arizona Cardinals,16,452,"1,917",4.2,119.8,63,16,8,4
Dallas Cowboys,16,408,"1,890",4.6,118.1,50,8,7,4
New York Jets,16,448,"1,868",4.2,116.8,58,11,6,2
Chicago Bears,16,469,"1,851",3.9,115.7,27,13,5,2
Green Bay Packers,16,436,"1,850",4.2,115.6,65,8,8,4
Cincinnati Bengals,16,467,"1,805",3.9,112.8,38,18,8,5
Philadelphia Eagles,16,442,"1,743",3.9,108.9,63,15,10,8
Houston Texans,16,472,"1,731",3.7,108.2,41,7,5,2
Pittsburgh Steelers,16,388,"1,724",4.4,107.8,55,16,5,1
Denver Broncos,16,411,"1,718",4.2,107.4,72,13,5,3
Atlanta Falcons,16,420,"1,611",3.8,100.7,46,13,9,6
New York Giants,16,403,"1,609",4.0,100.6,39,5,4,2
Washington Redskins,16,429,"1,566",3.7,97.9,48,9,11,4
San Francisco 49ers,16,390,"1,544",4.0,96.5,47,7,8,1
Cleveland Browns,16,380,"1,529",4.0,95.6,54,5,5,4
Miami Dolphins,16,344,"1,496",4.3,93.5,85,11,4,2
New Orleans Saints,16,397,"1,491",3.8,93.2,70,16,3,1
Tennessee Titans,16,371,"1,485",4.0,92.8,87,10,9,4
Baltimore Ravens,16,383,"1,478",3.9,92.4,44,8,6,2
Jacksonville Jaguars,16,354,"1,473",4.2,92.1,45,5,9,4
Oakland Raiders,16,370,"1,457",3.9,91.1,54,7,6,2
Indianapolis Colts,16,396,"1,438",3.6,89.9,37,6,6,5
New England Patriots,16,383,"1,404",3.7,87.8,38,14,2,0
San Diego Chargers,16,393,"1,358",3.5,84.9,53,4,7,4
Detroit Lions,16,354,"1,335",3.8,83.4,36,7,7,3
