Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Denver Broncos,16,344,"3,544",10.3,221.5,80,19,10,2
Seattle Seahawks,16,333,"3,619",10.9,226.2,69,14,3,2
Houston Texans,16,326,"3,677",11.3,229.8,55,24,2,2
Chicago Bears,16,322,"3,830",11.9,239.4,71,31,3,2
Dallas Cowboys,16,330,"3,865",11.7,241.6,80,19,2,1
Green Bay Packers,16,321,"3,898",12.1,243.6,68,20,3,1
Tennessee Titans,16,319,"3,949",12.4,246.8,69,34,0,0
Arizona Cardinals,16,343,"3,957",11.5,247.3,88,24,4,2
Baltimore Ravens,16,350,"3,957",11.3,247.3,80,30,3,0
Kansas City Chiefs,16,349,"3,988",11.4,249.3,55,25,0,0
Atlanta Falcons,16,370,"3,999",10.8,249.9,74,19,4,2
San Diego Chargers,16,328,"4,008",12.2,250.5,72,22,1,1
New York Jets,16,343,"4,041",11.8,252.6,72,25,0,0
Minnesota Vikings,16,359,"4,042",11.3,252.6,72,24,2,1
Carolina Panthers,16,390,"4,054",10.4,253.4,70,21,7,5
Detroit Lions,16,360,"4,065",11.3,254.1,61,27,5,1
Tampa Bay Buccaneers,16,378,"4,072",10.8,254.5,60,31,7,5
Buffalo Bills,16,347,"4,097",11.8,256.1,77,30,1,1
Cleveland Browns,16,322,"4,169",12.9,260.6,75,34,5,5
New England Patriots,16,361,"4,209",11.7,263.1,87,24,6,1
Miami Dolphins,16,350,"4,225",12.1,264.1,84,31,1,0
Cincinnati Bengals,16,415,"4,264",10.3,266.5,64,18,3,2
St. Louis Rams,16,399,"4,301",10.8,268.8,87,21,9,3
Oakland Raiders,16,404,"4,351",10.8,271.9,59,25,8,5
Indianapolis Colts,16,354,"4,365",12.3,272.8,80,29,3,0
San Francisco 49ers,16,375,"4,375",11.7,273.4,66,21,3,1
Washington Redskins,16,354,"4,392",12.4,274.5,62,30,10,7
Philadelphia Eagles,16,394,"4,516",11.5,282.3,59,36,7,5
Jacksonville Jaguars,16,390,"4,528",11.6,283.0,71,29,2,2
Pittsburgh Steelers,16,402,"4,661",11.6,291.3,80,29,6,2
New Orleans Saints,16,372,"4,755",12.8,297.2,90,45,2,2
New York Giants,16,423,"4,920",11.6,307.5,76,31,8,5
