Team,GP,TOTAL,RUSH,PASS,PEN,MADE,ATT,PCT,MADE,ATT,PCT,TOTAL,YDS
New Orleans Saints,16,381,98,247,36,104,218,47.7,10,16,62.5,130,"1,112"
Arizona Cardinals,16,373,92,237,44,93,198,47.0,4,9,44.4,94,758
Atlanta Falcons,16,359,95,230,34,107,227,47.1,10,19,52.6,100,969
Carolina Panthers,16,357,136,197,24,86,203,42.4,6,10,60.0,103,887
New England Patriots,16,347,87,229,31,88,215,40.9,9,15,60.0,96,859
San Diego Chargers,16,344,79,230,35,97,231,42.0,5,15,33.3,117,942
Philadelphia Eagles,16,339,110,193,36,91,230,39.6,8,16,50.0,104,819
Detroit Lions,16,337,71,236,30,75,203,37.0,7,14,50.0,104,930
Tampa Bay Buccaneers,16,336,99,201,36,84,202,41.6,7,13,53.9,143,"1,195"
Seattle Seahawks,16,335,128,190,17,99,213,46.5,8,9,88.9,117,"1,007"
Houston Texans,16,335,90,210,35,96,249,38.6,6,19,31.6,107,910
New York Giants,16,331,77,208,46,82,217,37.8,9,16,56.3,102,779
Pittsburgh Steelers,16,331,91,207,33,75,193,38.9,4,12,33.3,94,868
New York Jets,16,329,99,210,20,93,229,40.6,6,14,42.9,96,787
Cincinnati Bengals,16,324,99,191,34,81,201,40.3,7,12,58.3,111,917
Baltimore Ravens,16,323,89,211,23,85,226,37.6,12,24,50.0,122,"1,153"
Green Bay Packers,16,317,100,173,44,70,208,33.7,11,21,52.4,105,906
Washington Redskins,16,317,81,208,28,94,216,43.5,7,12,58.3,105,827
Denver Broncos,16,314,85,201,28,79,224,35.3,7,14,50.0,115,"1,063"
Jacksonville Jaguars,16,313,69,215,29,72,205,35.1,8,15,53.3,105,880
Chicago Bears,16,312,108,177,27,93,219,42.5,6,10,60.0,99,909
Indianapolis Colts,16,311,77,195,39,94,235,40.0,7,13,53.9,108,931
Cleveland Browns,16,307,81,192,34,95,227,41.9,10,24,41.7,120,"1,083"
Dallas Cowboys,16,307,94,175,38,66,191,34.6,8,16,50.0,112,879
Kansas City Chiefs,16,303,116,155,32,76,199,38.2,6,9,66.7,104,878
Oakland Raiders,16,300,74,193,33,86,220,39.1,5,13,38.5,139,"1,102"
Tennessee Titans,16,298,66,195,37,64,201,31.8,7,15,46.7,93,779
Buffalo Bills,16,297,122,155,20,86,227,37.9,7,16,43.8,143,"1,249"
Minnesota Vikings,16,297,113,153,31,76,199,38.2,5,11,45.5,88,797
Miami Dolphins,16,291,72,194,25,63,205,30.7,8,22,36.4,134,"1,090"
San Francisco 49ers,16,261,83,154,24,65,213,30.5,9,19,47.4,113,823
St. Louis Rams,16,241,92,126,23,52,201,25.9,4,13,30.8,122,"1,007"
