rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Larry Fitzgerald,5.0,6.0,79.0,15.8,26.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,19.9,19.9,0.3,ARI,WR,5,2009
3.0,Julian Edelman,3.0,3.0,15.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,13.1,NE,WR,5,2009
4.0,DeSean Jackson,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1,0.1,4.4,PHI,WR,5,2009
273.0,Jason Avant,1.0,2.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PHI,WR,5,2009
274.0,John Standeford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,WR,5,2009
275.0,Jerricho Cotchery,1.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NYJ,WR,5,2009
276.0,Jeremy Maclin,6.0,8.0,142.0,23.7,51.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PHI,WR,5,2009
277.0,Jarett Dillard,2.0,3.0,29.0,14.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,JAC,WR,5,2009
278.0,Jacoby Jones,1.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,HOU,WR,5,2009
279.0,Hakeem Nicks,4.0,6.0,49.0,12.3,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NYG,WR,5,2009
280.0,Eric Weems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ATL,WR,5,2009
281.0,Josh Cribbs,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,CLE,WR,5,2009
