rank,player,fg,fg_att,fg_pct,long,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,Matt Bryant,34.0,37.0,91.9,59.0,0.0,12.0,7.0,9.0,6.0,56.0,57.0,16.0,179.0,11.2,1.1,FA,K,2016
2.0,Justin Tucker,38.0,39.0,97.4,57.0,0.0,4.0,10.0,14.0,10.0,27.0,27.0,16.0,175.0,10.9,98.0,BAL,K,2016
3.0,Dustin Hopkins,34.0,42.0,81.0,53.0,0.0,12.0,12.0,7.0,3.0,36.0,39.0,16.0,151.0,9.4,14.5,LAC,K,2016
4.0,Caleb Sturgis,35.0,41.0,85.4,55.0,0.0,12.0,12.0,7.0,4.0,30.0,31.0,16.0,150.0,9.4,0.0,FA,K,2016
5.0,Adam Vinatieri,27.0,31.0,87.1,54.0,0.0,3.0,7.0,10.0,7.0,44.0,44.0,16.0,149.0,9.3,0.2,FA,K,2016
6.0,Matt Prater,31.0,36.0,86.1,58.0,0.0,10.0,4.0,10.0,7.0,31.0,33.0,16.0,148.0,9.3,52.8,ARI,K,2016
7.0,Wil Lutz,28.0,34.0,82.4,57.0,1.0,7.0,9.0,8.0,3.0,49.0,50.0,16.0,147.0,9.2,3.3,NO,K,2016
8.0,Graham Gano,30.0,38.0,78.9,54.0,0.0,4.0,9.0,14.0,3.0,31.0,34.0,16.0,141.0,8.8,31.4,NYG,K,2016
9.0,Nick Novak,35.0,41.0,85.4,53.0,1.0,12.0,11.0,8.0,3.0,22.0,25.0,16.0,141.0,8.8,0.1,FA,K,2016
10.0,Stephen Gostkowski,27.0,32.0,84.4,53.0,0.0,9.0,7.0,9.0,2.0,46.0,49.0,16.0,140.0,8.8,0.1,FA,K,2016
11.0,Sebastian Janikowski,29.0,35.0,82.9,56.0,1.0,9.0,6.0,10.0,3.0,37.0,39.0,16.0,140.0,8.8,20.0,FA,K,2016
