rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
179,Devin Street,1,6,20,20.0,20,1,0,0,0,0,0,5,2.0,0.4,0.0,FA,WR,2016
180,Devin Smith,0,0,0,0.0,0,1,0,0,0,0,0,4,2.0,0.5,0.0,FA,WR,2016
181,Brenton Bersin,2,6,17,8.5,10,0,0,0,0,0,0,10,1.7,0.2,0.0,FA,WR,2016
182,Mike Thomas,3,9,37,12.3,16,0,0,0,0,0,1,15,1.7,0.1,0.1,CIN,WR,2016
183,Percy Harvin,2,4,6,3.0,5,0,0,1,11,0,0,2,1.7,0.9,0.1,FA,WR,2016
184,Damiere Byrd,1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,0.1,CHI,WR,2016
185,Marc Mariani,0,0,0,0.0,0,0,0,1,15,0,0,16,1.5,0.1,0.0,FA,WR,2016
186,Laquon Treadwell,1,3,15,15.0,15,0,0,0,0,0,0,9,1.5,0.2,2.5,JAC,WR,2016
187,Rashad Greene,5,8,32,6.4,9,0,0,0,0,0,1,8,1.2,0.2,0.0,FA,WR,2016
188,Jeremy Butler,2,2,11,5.5,6,0,0,0,0,0,0,4,1.1,0.3,0.0,FA,WR,2016
189,Tony Washington,1,1,9,9.0,9,0,0,0,0,0,0,2,0.9,0.5,0.0,FA,WR,2016
190,Jared Abbrederis,1,2,8,8.0,8,0,0,0,0,0,0,5,0.8,0.2,0.0,FA,WR,2016
191,Rashad Ross,1,1,8,8.0,8,0,0,0,0,0,0,5,0.8,0.2,0.0,FA,WR,2016
192,Paul McRoberts,1,1,6,6.0,6,0,0,0,0,0,0,2,0.6,0.3,0.0,FA,WR,2016
193,Jordan Payton,1,3,3,3.0,3,0,0,0,0,0,0,4,0.3,0.1,0.0,FA,WR,2016
194,Juwan Johnson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.9,NO,WR,2016
195,Quartney Davis,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,WR,2016
196,Seth Williams,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DEN,WR,2016
