Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,David Johnson(HOU),293,"1,239",4.2,58,6,16,80,120,879,11.0,4,3,16,327.8,20.5,35.4%
2,Ezekiel Elliott(DAL),322,"1,631",5.1,60,14,15,32,40,363,11.3,1,1,15,293.4,19.6,99.7%
3,LeSean McCoy(FA),234,"1,267",5.4,75,11,13,50,57,356,7.1,1,0,15,248.3,16.6,2.0%
4,Le'Veon Bell(FA),261,"1,268",4.9,44,4,7,75,94,616,8.2,2,1,12,242.4,20.2,5.4%
5,DeMarco Murray(FA),293,"1,287",4.4,75,4,9,53,67,377,7.1,3,1,16,240.8,15.1,0.1%
6,Devonta Freeman(BAL),227,"1,079",4.8,75,7,11,54,65,462,8.6,2,1,16,230.1,14.4,74.2%
7,LeGarrette Blount(FA),299,"1,161",3.9,44,7,18,7,8,38,5.4,0,1,16,225.9,14.1,0.1%
8,Melvin Gordon III(DEN),254,997,3.9,48,7,10,41,57,419,10.2,2,2,13,209.6,16.1,87.8%
9,Jordan Howard(PHI),252,"1,313",5.2,69,10,6,29,50,298,10.3,1,1,15,201.1,13.4,18.7%
10,Mark Ingram II(NO),205,"1,043",5.1,75,4,6,46,58,319,6.9,4,2,16,196.2,12.3,39.1%
11,Jay Ajayi(FA),260,"1,272",4.9,62,10,8,27,35,151,5.6,0,1,15,188.3,12.6,7.0%
12,Frank Gore(FA),263,"1,025",3.9,22,1,4,38,47,277,7.3,4,1,16,176.3,11.0,12.2%
13,Latavius Murray(BAL),195,788,4.0,42,5,12,33,43,264,8.0,0,1,14,175.2,12.5,22.2%
14,Carlos Hyde(JAC),217,988,4.6,47,7,6,27,33,163,6.0,3,3,13,165.1,12.7,6.9%
15,Isaiah Crowell(FA),198,952,4.8,85,8,7,40,53,319,8.0,0,2,16,164.3,10.3,0.1%
16,Spencer Ware(FA),214,921,4.3,46,3,3,33,42,447,13.5,2,3,14,160.9,11.5,0.0%
17,Lamar Miller(FA),268,"1,073",4.0,45,7,5,31,39,188,6.1,1,1,14,160.1,11.4,0.0%
18,Tevin Coleman(NYJ),118,520,4.4,55,5,8,31,40,421,13.6,3,0,13,160.1,12.3,18.5%
19,Jeremy Hill(FA),222,839,3.8,74,5,9,21,27,174,8.3,0,0,15,155.3,10.4,0.0%
20,Todd Gurley II(FA),278,885,3.2,24,2,6,43,58,327,7.6,0,1,16,155.2,9.7,0.4%
21,Matt Forte(FA),218,813,3.7,32,5,7,30,43,263,8.8,1,1,14,153.6,11.0,19.1%
22,Bilal Powell(FA),131,722,5.5,35,4,3,58,74,388,6.7,2,1,16,139.0,8.7,0.0%
23,Jonathan Stewart(FA),218,824,3.8,47,6,9,8,21,60,7.5,0,2,13,138.4,10.6,0.0%
24,Terrance West(FA),193,774,4.0,41,5,5,34,45,236,6.9,1,0,16,137.0,8.6,0.0%
25,Ryan Mathews(FA),155,661,4.3,30,6,8,13,14,115,8.8,1,2,13,131.6,10.1,0.0%
26,Robert Kelley(FA),168,704,4.2,66,4,6,12,18,82,6.8,1,0,15,120.6,8.0,0.0%
27,Mike Gillislee(FA),101,577,5.7,44,7,8,9,11,50,5.6,1,0,15,116.6,7.8,0.0%
28,Christine Michael(FA),148,583,3.9,42,3,7,22,29,107,4.9,1,1,15,115.0,7.7,0.0%
29,Devontae Booker(FA),174,612,3.5,18,0,4,31,45,265,8.5,1,3,16,111.7,7.0,23.3%
30,Darren Sproles(FA),94,438,4.7,25,1,2,52,71,427,8.2,2,0,15,110.5,7.4,0.1%
31,Theo Riddick(FA),92,357,3.9,42,2,1,53,67,371,7.0,5,0,10,108.8,10.9,0.0%
32,Jerick McKinnon(KC),159,539,3.4,36,2,2,43,53,255,5.9,2,0,15,105.4,7.0,0.8%
33,Tim Hightower(FA),133,548,4.1,30,4,4,22,26,200,9.1,1,0,16,104.8,6.6,0.0%
34,Rashad Jennings(FA),181,593,3.3,25,3,3,35,42,201,5.7,1,0,13,103.4,8.0,0.0%
35,James White(NE),39,166,4.3,16,0,0,60,86,551,9.2,5,0,16,101.7,6.4,7.9%
36,Matt Asiata(FA),121,402,3.3,29,2,6,32,38,263,8.2,0,1,16,100.5,6.3,0.0%
37,Chris Thompson(FA),68,356,5.2,25,2,3,49,62,349,7.1,2,1,16,98.5,6.2,0.0%
38,Derrick Henry(TEN),110,490,4.5,22,1,5,13,15,137,10.5,0,0,15,92.7,6.2,78.0%
39,Duke Johnson Jr.(MIA),73,358,4.9,22,2,1,53,74,514,9.7,0,1,16,92.0,5.8,7.4%
40,T.J. Yeldon(FA),130,465,3.6,16,0,1,50,68,312,6.2,1,1,15,87.7,5.8,0.0%
41,Jalen Richard(FA),83,491,5.9,75,5,1,29,39,194,6.7,2,0,16,86.6,5.4,0.7%
42,C.J. Anderson(FA),110,437,4.0,28,1,4,16,24,128,8.0,1,0,7,86.5,12.4,1.0%
43,Giovani Bernard(TB),91,337,3.7,17,0,2,39,51,336,8.6,1,1,10,83.3,8.3,5.4%
44,Robert Turbin(FA),47,164,3.5,18,0,7,26,35,179,6.9,1,0,15,82.3,5.5,0.0%
45,DeAngelo Williams(FA),98,343,3.5,17,0,4,18,27,118,6.6,2,0,9,82.1,9.1,0.1%
46,Shaun Draughn(FA),74,196,2.6,18,0,4,29,39,263,9.1,2,1,16,79.9,5.0,0.0%
47,Jacquizz Rodgers(FA),129,560,4.3,45,3,2,13,16,98,7.5,0,0,10,77.8,7.8,0.0%
48,Zach Zenner(FA),88,334,3.8,20,1,4,18,23,196,10.9,0,1,14,75.0,5.4,0.0%
49,Chris Ivory(FA),117,439,3.8,42,2,3,20,28,186,9.3,0,3,11,74.5,6.8,0.0%
50,Kenneth Dixon(FA),88,382,4.3,20,1,2,30,41,162,5.4,1,0,12,72.4,6.0,0.1%
51,Doug Martin(FA),144,421,2.9,17,0,3,14,16,134,9.6,0,1,8,71.5,8.9,0.0%
52,Damien Williams(CHI),35,115,3.3,23,1,3,23,32,249,10.8,3,1,15,70.4,4.7,4.4%
53,DeAndre Washington(FA),87,467,5.4,30,7,2,17,23,115,6.8,0,1,14,68.2,4.9,11.0%
54,Matt Jones(FA),99,460,4.6,57,3,3,8,8,73,9.1,0,2,7,67.3,9.6,0.0%
55,Charcandrick West(FA),88,293,3.3,28,2,1,28,34,188,6.7,2,0,15,66.1,4.4,0.0%
56,Thomas Rawls(FA),109,349,3.2,45,1,3,13,17,96,7.4,0,0,9,62.5,6.9,0.1%
57,Paul Perkins(FA),112,456,4.1,22,2,0,15,24,162,10.8,0,0,14,61.8,4.4,0.0%
58,Rex Burkhead(HOU),74,344,4.6,17,0,2,17,20,145,8.5,0,1,16,58.9,3.7,31.5%
59,Jeremy Langford(FA),62,200,3.2,23,1,4,19,27,142,7.5,0,2,12,54.2,4.5,0.0%
60,Travaris Cadet(FA),4,19,4.8,16,0,0,40,54,281,7.0,4,0,15,54.0,3.6,0.0%
61,Alfred Blue(FA),100,420,4.2,25,2,1,12,16,40,3.3,0,1,14,50.0,3.6,0.0%
62,Fozzy Whittaker(FA),57,265,4.6,25,1,0,25,33,226,9.0,0,1,16,47.1,2.9,0.0%
63,Jamize Olawale(DAL),17,47,2.8,17,0,2,12,14,227,18.9,1,0,16,45.4,2.8,0.0%
64,C.J. Prosise(FA),30,172,5.7,72,1,1,17,19,208,12.2,0,0,6,44.0,7.3,0.0%
65,Charles Sims(FA),51,149,2.9,23,1,1,24,32,190,7.9,1,1,7,43.9,6.3,0.0%
66,Justin Forsett(FA),87,291,3.3,64,1,1,20,27,85,4.3,0,1,9,41.6,4.6,0.0%
67,Wendell Smallwood(FA),77,312,4.1,19,0,1,6,13,55,9.2,0,1,13,40.7,3.1,0.0%
68,John Kuhn(FA),18,37,2.1,4,0,4,16,20,70,4.4,1,0,16,40.7,2.5,0.0%
69,James Starks(FA),63,145,2.3,11,0,0,19,25,134,7.1,2,0,9,39.9,4.4,0.0%
70,Eddie Lacy(FA),71,360,5.1,31,4,0,4,7,28,7.0,0,0,5,38.8,7.8,0.3%
71,Dwayne Washington(NO),90,265,2.9,28,1,1,10,15,62,6.2,0,0,12,38.7,3.2,0.1%
72,Dion Lewis(FA),64,283,4.4,15,0,0,17,24,94,5.5,0,0,7,37.7,5.4,2.0%
73,Aaron Ripkowski(FA),34,150,4.4,15,0,2,9,10,46,5.1,1,0,16,37.6,2.4,0.0%
74,Alfred Morris(NYG),69,243,3.5,17,0,2,3,6,11,3.7,0,0,14,37.4,2.7,0.0%
75,Kyle Juszczyk(SF),5,22,4.4,10,0,1,37,49,266,7.2,0,0,16,36.8,2.3,1.0%
76,Kenyan Drake(LV),33,179,5.4,45,1,2,9,10,46,5.1,0,0,16,34.5,2.2,29.4%
77,Corey Grant(FA),32,164,5.1,57,1,1,4,7,35,8.8,1,0,11,31.9,2.9,0.0%
78,Peyton Barber(LV),55,223,4.1,44,1,1,5,6,28,5.6,0,0,15,31.1,2.1,1.2%
79,Kenjon Barner(TB),27,129,4.8,19,0,2,5,11,42,8.4,0,0,13,29.1,2.2,0.0%
80,Kerwynn Williams(FA),18,157,8.7,49,3,2,1,2,6,6.0,0,0,10,28.3,2.8,0.0%
81,Cameron Artis-Payne(FA),36,144,4.0,14,0,2,1,1,11,11.0,0,0,3,27.5,9.2,0.0%
82,DuJuan Harris(FA),38,138,3.6,19,0,0,8,9,115,14.4,1,2,10,27.3,2.7,0.0%
83,Shane Vereen(FA),33,158,4.8,25,1,1,11,19,94,8.5,0,2,5,27.2,5.4,0.0%
84,Kapri Bibbs(FA),29,129,4.4,24,1,0,2,4,75,37.5,1,0,12,26.4,2.2,0.1%
85,Alex Collins(SEA),31,125,4.0,26,1,1,11,11,84,7.6,0,1,11,24.9,2.3,18.8%
86,Mike Tolbert(FA),35,114,3.3,14,0,0,10,15,72,7.2,1,0,16,24.6,1.5,0.0%
87,Orleans Darkwa(FA),30,111,3.7,17,0,2,2,4,12,6.0,0,0,10,24.3,2.4,0.0%
88,Kenneth Farrow(FA),60,192,3.2,11,0,0,13,16,70,5.4,0,1,13,24.2,1.9,0.0%
89,Ronnie Hillman(FA),41,131,3.2,17,0,0,7,15,93,13.3,0,0,8,22.4,2.8,0.0%
90,Ameer Abdullah(CAR),18,101,5.6,24,1,0,5,5,57,11.4,1,0,2,21.8,10.9,10.4%
91,Lance Dunbar(FA),9,31,3.4,10,0,1,16,24,122,7.6,0,0,13,21.3,1.6,0.0%
