rank,player,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_td,passing_int,sacked,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
38.0,Josh McCown,90.0,165.0,54.5,1100.0,6.7,6.0,6.0,18.0,7.0,21.0,0.0,4.0,5.0,52.1,10.4,0.0,QB,2016,team
39.0,Jay Cutler,81.0,137.0,59.1,1059.0,7.7,4.0,5.0,17.0,5.0,24.0,0.0,2.0,5.0,46.8,9.4,0.2,QB,2016,team
40.0,Jimmy Garoppolo,43.0,63.0,68.3,502.0,8.0,4.0,0.0,3.0,10.0,6.0,0.0,1.0,6.0,35.1,5.9,23.3,QB,2016,team
41.0,Landry Jones,53.0,86.0,61.6,558.0,6.5,4.0,2.0,4.0,6.0,-4.0,0.0,0.0,8.0,33.9,4.2,0.0,QB,2016,team
42.0,Bryce Petty,75.0,133.0,56.4,809.0,6.1,3.0,7.0,13.0,5.0,19.0,0.0,1.0,6.0,32.3,5.4,0.0,QB,2016,team
43.0,Paxton Lynch,49.0,83.0,59.0,497.0,6.0,2.0,1.0,9.0,11.0,25.0,0.0,0.0,3.0,28.4,9.5,0.1,QB,2016,team
44.0,Jacoby Brissett,34.0,55.0,61.8,400.0,7.3,0.0,0.0,6.0,16.0,83.0,1.0,1.0,3.0,28.3,9.4,0.6,QB,2016,team
45.0,Nick Foles,36.0,55.0,65.5,410.0,7.5,3.0,0.0,4.0,4.0,-4.0,0.0,0.0,3.0,28.0,9.3,0.7,QB,2016,team
46.0,Tom Savage,46.0,73.0,63.0,461.0,6.3,0.0,0.0,5.0,6.0,12.0,0.0,1.0,3.0,17.6,5.9,0.0,QB,2016,team
47.0,Kevin Hogan,14.0,26.0,53.8,104.0,4.0,0.0,2.0,2.0,8.0,105.0,1.0,0.0,4.0,16.7,4.2,0.0,QB,2016,team
48.0,Derek Anderson,36.0,53.0,67.9,453.0,8.5,2.0,5.0,0.0,1.0,4.0,0.0,1.0,6.0,16.5,2.8,0.0,QB,2016,team
49.0,Matt Cassel,30.0,51.0,58.8,284.0,5.6,2.0,2.0,5.0,4.0,3.0,0.0,0.0,4.0,15.7,3.9,0.0,QB,2016,team
50.0,Shaun Hill,19.0,35.0,54.3,242.0,6.9,0.0,0.0,1.0,5.0,5.0,0.0,0.0,3.0,10.1,3.4,0.0,QB,2016,team
51.0,Drew Stanton,19.0,48.0,39.6,192.0,4.0,2.0,3.0,1.0,3.0,-3.0,0.0,0.0,5.0,9.4,1.9,0.0,QB,2016,team
52.0,Charlie Whitehurst,14.0,24.0,58.3,182.0,7.6,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,9.4,9.4,0.4,QB,2016,team
53.0,Mike Glennon,10.0,11.0,90.9,75.0,6.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.5,0.8,QB,2016,team
54.0,Scott Tolzien,23.0,37.0,62.2,216.0,5.8,1.0,2.0,3.0,6.0,3.0,0.0,0.0,3.0,8.9,3.0,0.0,QB,2016,team
55.0,Geno Smith,8.0,14.0,57.1,126.0,9.0,1.0,1.0,3.0,2.0,9.0,0.0,0.0,2.0,7.9,4.0,0.6,QB,2016,team
56.0,Trevone Boykin,13.0,18.0,72.2,145.0,8.1,1.0,1.0,1.0,8.0,1.0,0.0,0.0,5.0,7.9,1.6,0.0,QB,2016,team
58.0,Connor Cook,14.0,21.0,66.7,150.0,7.1,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,QB,2016,team
59.0,Tony Romo,3.0,4.0,75.0,29.0,7.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.2,5.2,0.1,QB,2016,team
60.0,Cardale Jones,6.0,11.0,54.5,96.0,8.7,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.7,1.7,0.0,QB,2016,team
61.0,Matt McGloin,8.0,15.0,53.3,50.0,3.3,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,3.0,1.7,0.6,0.2,QB,2016,team
62.0,David Fales,2.0,5.0,40.0,22.0,4.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9,0.9,0.0,QB,2016,team
63.0,Chase Daniel,1.0,1.0,100.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.1,QB,2016,team
64.0,Matt Schaub,1.0,3.0,33.3,16.0,5.3,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,4.0,0.4,0.1,0.0,QB,2016,team
153.0,Kellen Clemens,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,12.0,-0.1,-0.0,0.0,QB,2016,team
154.0,Chad Henne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,1.0,-0.2,-0.2,0.1,QB,2016,team
155.0,Mark Sanchez,10.0,18.0,55.6,93.0,5.2,0.0,2.0,3.0,4.0,-2.0,0.0,0.0,2.0,-0.5,-0.3,0.1,QB,2016,team
156.0,Sean Mannion,3.0,6.0,50.0,19.0,3.2,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.3,-1.3,0.8,QB,2016,team
157.0,Ryan Mallett,3.0,6.0,50.0,26.0,4.3,0.0,1.0,0.0,5.0,-6.0,0.0,0.0,4.0,-1.5,-0.4,0.0,QB,2016,team
158.0,Brett Hundley,2.0,10.0,20.0,17.0,1.7,0.0,1.0,0.0,3.0,-2.0,0.0,0.0,4.0,-1.5,-0.4,0.0,QB,2016,team
