Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Travis Kelce(KC),85,117,"1,125",13.2,80,14,4,1,-5,0,0,16,138.0,8.6,100.0%
2,Greg Olsen(FA),80,129,"1,073",13.4,78,14,3,0,0,0,0,16,127.3,8.0,7.0%
3,Kyle Rudolph(FA),83,132,840,10.1,44,11,7,0,0,0,0,16,126.0,7.9,0.3%
4,Jimmy Graham(CHI),65,95,923,14.2,42,10,6,1,0,0,2,16,124.3,7.8,0.8%
5,Delanie Walker(FA),65,102,800,12.3,47,13,7,2,11,0,0,15,123.1,8.2,0.1%
6,Cameron Brate(TB),57,81,660,11.6,38,5,8,0,0,0,0,15,114.0,7.6,2.8%
7,Martellus Bennett(FA),55,73,701,12.7,58,10,7,2,10,0,0,16,113.1,7.1,23.0%
8,Zach Ertz(ARI),78,106,816,10.5,30,9,4,0,0,0,0,14,105.6,7.5,85.8%
9,Jordan Reed(FA),66,89,686,10.4,33,9,6,0,0,0,1,12,102.6,8.6,19.0%
10,Antonio Gates(FA),53,93,548,10.3,27,5,7,0,0,0,1,14,94.8,6.8,0.2%
11,Hunter Henry(NE),36,53,478,13.3,59,7,8,0,0,0,1,15,94.2,6.3,65.9%
12,Coby Fleener(FA),50,81,631,12.6,50,12,3,1,2,1,0,16,87.3,5.5,0.0%
13,Jack Doyle(FA),59,75,584,9.9,24,5,5,0,0,0,1,16,86.4,5.4,2.2%
14,Jason Witten(FA),69,95,673,9.8,35,7,3,0,0,0,1,16,83.3,5.2,0.1%
15,Eric Ebron(FA),61,85,711,11.7,61,9,1,1,1,1,0,13,83.2,6.4,3.0%
16,Dennis Pitta(FA),86,121,729,8.5,30,4,2,0,0,0,1,16,82.9,5.2,0.0%
17,C.J. Fiedorowicz(FA),54,89,559,10.4,26,5,4,0,0,0,0,15,79.9,5.3,0.0%
18,Charles Clay(FA),57,87,552,9.7,40,4,4,0,0,0,0,15,79.2,5.3,0.0%
19,Dwayne Allen(FA),35,52,406,11.6,23,4,6,0,0,0,0,14,78.6,5.6,0.0%
20,Gary Barnidge(FA),55,82,612,11.1,43,7,2,0,0,0,0,16,75.2,4.7,0.1%
21,Zach Miller(FA),47,64,486,10.3,34,5,4,0,0,0,0,10,72.6,7.3,0.0%
22,Rob Gronkowski(TB),25,38,540,21.6,53,12,3,0,0,0,0,8,72.0,9.0,97.7%
23,Vernon Davis(FA),44,59,583,13.3,44,11,2,0,0,0,0,16,70.3,4.4,1.6%
24,Tyler Eifert(FA),29,47,394,13.6,71,6,5,0,0,0,0,8,69.4,8.7,0.0%
25,Vance McDonald(FA),24,45,391,16.3,75,6,4,0,0,0,0,11,63.1,5.7,0.0%
26,Lance Kendricks(FA),50,87,499,10.0,44,7,2,0,0,0,1,16,59.9,3.7,0.0%
27,Ryan Griffin(NYJ),50,74,442,8.8,45,4,2,0,0,0,1,16,54.2,3.4,0.6%
28,Clive Walford(FA),33,52,359,10.9,31,3,3,0,0,0,0,15,53.9,3.6,0.0%
29,Julius Thomas(FA),30,51,281,9.4,24,3,4,0,0,0,0,9,52.1,5.8,0.0%
30,Jesse James(CHI),39,60,338,8.7,24,2,3,0,0,0,0,16,51.8,3.2,0.0%
31,Jermaine Gresham(FA),37,61,391,10.6,34,4,2,0,0,0,0,16,51.0,3.2,0.0%
32,Garrett Celek(FA),29,50,350,12.1,31,4,3,0,0,0,1,16,51.0,3.2,0.0%
33,Dion Sims(FA),26,35,256,9.8,28,4,4,0,0,0,0,14,49.6,3.5,0.0%
34,Will Tye(FA),48,70,395,8.2,27,3,1,0,0,0,0,16,45.5,2.8,0.0%
35,Austin Hooper(CLE),19,27,271,14.3,44,4,3,0,0,0,0,14,45.1,3.2,28.8%
36,Jared Cook(LAC),30,51,377,12.6,47,6,1,0,0,0,1,10,41.7,4.2,50.2%
37,Richard Rodgers(PHI),30,47,271,9.0,22,2,2,0,0,0,0,16,39.1,2.4,0.0%
38,Jacob Tamme(FA),22,31,210,9.5,19,0,3,0,0,0,0,8,39.0,4.9,0.0%
39,Trey Burton(FA),37,60,327,8.8,32,1,1,0,0,0,0,15,38.7,2.6,0.0%
40,Levine Toilolo(NYG),13,19,264,20.3,46,4,2,0,0,0,0,16,38.4,2.4,0.0%
41,Ladarius Green(FA),18,34,304,16.9,37,7,1,0,0,0,0,6,36.4,6.1,0.0%
42,Erik Swoope(FA),15,22,297,19.8,45,6,1,0,0,0,0,16,35.7,2.2,0.0%
43,Virgil Green(FA),22,37,237,10.8,31,2,1,0,0,0,0,12,29.7,2.5,0.0%
44,C.J. Uzomah(CIN),25,38,234,9.4,54,2,1,0,0,0,0,10,29.4,2.9,20.8%
45,Mychal Rivera(FA),18,25,192,10.7,27,3,1,0,0,0,0,13,25.2,1.9,0.2%
46,Luke Willson(FA),15,21,129,8.6,19,0,2,0,0,0,0,11,24.9,2.3,0.0%
47,Seth DeValve(FA),10,12,127,12.7,25,3,2,0,0,0,0,12,24.7,2.1,0.0%
48,Xavier Grimble(BAL),11,21,118,10.7,20,2,2,0,0,0,0,13,23.8,1.8,0.0%
49,Marcedes Lewis(GB),20,30,169,8.5,37,1,1,0,0,0,0,10,22.9,2.3,0.2%
50,Ben Koyack(FA),19,24,161,8.5,17,0,1,0,0,0,0,14,22.1,1.6,0.0%
51,Darren Fells(FA),14,18,154,11.0,37,2,1,0,0,0,0,14,21.4,1.5,0.0%
52,Austin Seferian-Jenkins(FA),13,20,154,11.8,30,1,1,0,0,0,0,9,21.4,2.4,0.0%
53,Josh Hill(FA),15,22,149,9.9,35,3,1,0,0,0,0,9,20.9,2.3,0.0%
