,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Chicago Bears(CHI),4,2,2,3,0,1,0,1,21.0,21.0,35.9%
1,2,New Orleans Saints(NO),7,1,1,1,0,0,0,1,15.0,15.0,79.3%
2,3,Tennessee Titans(TEN),4,1,1,1,0,0,0,1,15.0,15.0,48.4%
3,4,Pittsburgh Steelers(PIT),9,2,0,0,0,0,0,1,14.0,14.0,44.6%
4,5,Baltimore Ravens(BAL),1,2,1,1,1,0,0,1,14.0,14.0,51.9%
5,6,Los Angeles Chargers(LAC),1,0,1,0,0,0,1,1,13.0,13.0,44.3%
6,7,Los Angeles Rams(LAR),5,1,1,1,0,0,0,1,13.0,13.0,74.5%
7,8,New England Patriots(NE),2,3,0,0,0,0,0,1,12.0,12.0,93.2%
8,9,San Francisco 49ers(SF),3,1,0,2,0,0,0,1,9.0,9.0,79.5%
9,10,Buffalo Bills(BUF),5,0,1,1,0,0,0,1,8.0,8.0,95.9%
10,11,Atlanta Falcons(ATL),1,3,0,0,0,1,0,1,8.0,8.0,5.8%
11,12,Indianapolis Colts(IND),2,2,0,2,0,0,0,1,6.0,6.0,66.4%
12,13,Green Bay Packers(GB),2,0,0,0,0,0,0,1,6.0,6.0,60.6%
13,14,Philadelphia Eagles(PHI),3,1,0,0,0,0,0,1,6.0,6.0,52.5%
14,15,Seattle Seahawks(SEA),0,3,0,0,0,0,0,1,5.0,5.0,39.4%
15,16,New York Giants(NYG),2,2,0,0,0,0,0,1,5.0,5.0,4.5%
16,17,Cleveland Browns(CLE),2,1,0,1,0,0,0,1,4.0,4.0,40.8%
17,18,Houston Texans(HOU),1,1,0,0,0,0,0,1,3.0,3.0,6.4%
18,19,Kansas City Chiefs(KC),4,0,0,0,0,0,0,1,3.0,3.0,45.7%
19,20,Tampa Bay Buccaneers(TB),1,0,1,1,0,0,0,1,3.0,3.0,98.0%
20,21,Carolina Panthers(CAR),2,0,0,0,0,0,0,1,3.0,3.0,27.8%
21,22,Arizona Cardinals(ARI),1,0,1,2,0,0,0,1,3.0,3.0,60.9%
22,23,Washington Commanders(WAS),1,0,0,0,0,0,0,1,2.0,2.0,27.5%
23,24,Las Vegas Raiders(LV),1,0,0,1,0,0,0,1,2.0,2.0,7.6%
24,25,New York Jets(NYJ),1,1,0,0,0,0,0,1,2.0,2.0,3.3%
25,26,Dallas Cowboys(DAL),1,0,0,0,0,0,0,1,1.0,1.0,82.9%
26,27,Miami Dolphins(MIA),1,0,0,0,0,0,0,1,0.0,0.0,60.2%
27,28,Denver Broncos(DEN),0,0,0,0,0,0,0,1,-1.0,-1.0,48.5%
28,29,Cincinnati Bengals(CIN),0,0,0,0,0,0,0,1,-1.0,-1.0,14.7%
29,30,Detroit Lions(DET),1,0,0,0,0,0,0,1,-3.0,-3.0,1.1%
30,31,Minnesota Vikings(MIN),0,0,0,0,0,0,0,1,-4.0,-4.0,28.0%
31,32,Jacksonville Jaguars(JAC),0,0,0,0,0,0,0,1,-4.0,-4.0,6.9%
