rank,player,passing_cmp,passing_att,passing_pct,passing_yds,passing_ya,passing_td,passing_int,passing_sacks,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Tom Brady,22,36,61.1,340,9.4,3,0,1,1,4,1,0,1,32.0,32.0,99.1,FA,QB,4,2012
2,Cam Newton,15,24,62.5,215,9.0,2,0,3,9,86,1,0,1,31.2,31.2,20.3,CAR,QB,4,2012
3,Drew Brees,35,54,64.8,446,8.3,3,0,2,0,0,0,0,1,29.8,29.8,35.7,FA,QB,4,2012
4,Aaron Rodgers,31,41,75.6,319,7.8,4,1,0,5,13,0,0,1,28.1,28.1,97.4,GB,QB,4,2012
5,Matt Ryan,25,40,62.5,369,9.2,3,1,7,0,0,0,0,1,24.8,24.8,36.3,ATL,QB,4,2012
6,Ryan Fitzpatrick,22,39,56.4,350,9.0,4,4,3,3,14,0,0,1,23.4,23.4,6.1,WAS,QB,4,2012
7,Joe Flacco,28,46,60.9,356,7.7,1,1,4,2,4,1,0,1,22.6,22.6,0.3,NYJ,QB,4,2012
8,Robert Griffin III,26,35,74.3,323,9.2,0,0,1,8,36,1,0,1,22.5,22.5,0.6,FA,QB,4,2012
9,Andy Dalton,20,31,64.5,244,7.9,2,1,0,6,5,1,0,1,22.3,22.3,1.6,CHI,QB,4,2012
10,Matthew Stafford,30,51,58.8,319,6.3,0,0,5,4,14,1,0,1,20.2,20.2,97.2,LAR,QB,4,2012
11,Ryan Tannehill,26,41,63.4,431,10.5,1,2,4,1,0,0,1,1,17.2,17.2,62.7,TEN,QB,4,2012
12,Matt Schaub,20,28,71.4,202,7.2,2,0,0,2,-2,0,0,1,15.9,15.9,0.0,FA,QB,4,2012
13,Blaine Gabbert,23,34,67.6,186,5.5,1,1,6,3,19,0,0,1,11.3,11.3,0.1,TB,QB,4,2012
14,Alex Smith,12,21,57.1,143,6.8,0,0,2,3,12,0,0,1,6.9,6.9,5.0,FA,QB,4,2012
15,Russell Wilson,17,25,68.0,160,6.4,0,3,2,7,14,0,0,1,1.8,1.8,90.4,SEA,QB,4,2012
16,Jalen Morton,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,QB,4,2012
17,Chris Streveler,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MIA,QB,4,2012
18,Trevor Lawrence,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,23.9,JAC,QB,4,2012
