Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
62,Jordan Love(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3%
63,Ryan Willis(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
64,Zach Wilson(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6%
65,Davis Mills(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7%
66,Mike White(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
67,Blaine Gabbert(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
68,Jake Locker(FA),21,45,46.7,309,6.9,1,3,6,4,38,0,2,1,0.0,0.0,0.0%
69,Christian Ponder(FA),12,25,48.0,119,4.8,1,2,0,6,28,0,0,1,0.0,0.0,0.0%
70,Colin Kaepernick(FA),21,32,65.6,208,6.5,0,0,3,9,84,0,1,1,0.0,0.0,0.3%
71,Tyrod Taylor(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9%
72,John David Booty(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
73,Erik Ainge(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
74,Hunter Cantwell(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
75,Greg McElroy(FA),5,7,71.4,29,4.1,1,0,0,4,5,0,0,1,0.0,0.0,0.0%
76,Case Keenum(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
77,Ben Chappell(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
78,Adam Froman(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
79,Ryan Lindley(FA),10,31,32.3,72,2.3,0,1,2,0,0,0,0,1,0.0,0.0,0.0%
80,Andrew Luck(FA),24,54,44.4,391,7.2,4,3,2,3,33,0,0,1,0.0,0.0,2.2%
