rank,player,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_td,passing_int,sacked,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Alex Smith,18.0,24.0,75.0,303.0,12.6,3.0,0.0,0.0,3.0,49.0,0.0,0.0,1.0,29.0,29.0,5.0,SF,QB,5,2012
2.0,Drew Brees,29.0,45.0,64.4,370.0,8.2,4.0,1.0,3.0,2.0,-2.0,0.0,0.0,1.0,28.6,28.6,35.7,NO,QB,5,2012
3.0,Aaron Rodgers,20.0,32.0,62.5,235.0,7.3,3.0,1.0,5.0,5.0,57.0,0.0,0.0,1.0,25.1,25.1,97.4,GB,QB,5,2012
4.0,Tom Brady,23.0,31.0,74.2,223.0,7.2,1.0,0.0,4.0,4.0,-2.0,1.0,0.0,1.0,18.7,18.7,99.1,NE,QB,5,2012
5.0,Matt Ryan,34.0,52.0,65.4,345.0,6.6,2.0,1.0,1.0,5.0,7.0,0.0,1.0,1.0,18.5,18.5,36.3,ATL,QB,5,2012
6.0,Ben Roethlisberger,22.0,38.0,57.9,220.0,5.8,1.0,0.0,0.0,3.0,14.0,0.0,0.0,1.0,14.2,14.2,23.8,PIT,QB,5,2012
7.0,Andy Dalton,26.0,43.0,60.5,234.0,5.4,1.0,2.0,3.0,4.0,21.0,0.0,0.0,1.0,11.5,11.5,1.6,CIN,QB,5,2012
8.0,Matt Schaub,14.0,28.0,50.0,209.0,7.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.4,10.4,0.0,HOU,QB,5,2012
9.0,Russell Wilson,19.0,25.0,76.0,221.0,8.8,1.0,2.0,2.0,5.0,12.0,0.0,0.0,1.0,10.0,10.0,90.4,SEA,QB,5,2012
10.0,Ryan Tannehill,17.0,26.0,65.4,223.0,8.6,0.0,0.0,2.0,4.0,-4.0,0.0,0.0,1.0,8.5,8.5,62.7,MIA,QB,5,2012
11.0,Cam Newton,12.0,29.0,41.4,141.0,4.9,0.0,0.0,4.0,7.0,42.0,0.0,1.0,1.0,7.8,7.8,20.3,CAR,QB,5,2012
12.0,Joe Flacco,13.0,27.0,48.1,187.0,6.9,0.0,1.0,4.0,3.0,14.0,0.0,0.0,1.0,6.9,6.9,0.3,BAL,QB,5,2012
13.0,Kirk Cousins,5.0,9.0,55.6,111.0,12.3,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.4,4.4,70.7,WAS,QB,5,2012
15.0,Ryan Fitzpatrick,16.0,26.0,61.5,126.0,4.8,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,3.1,3.1,6.1,BUF,QB,5,2012
69.0,Rusty Smith,3.0,5.0,60.0,34.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TEN,QB,5,2012
70.0,Christian Ponder,25.0,35.0,71.4,258.0,7.4,2.0,2.0,1.0,3.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,MIN,QB,5,2012
71.0,Colin Kaepernick,1.0,1.0,100.0,7.0,7.0,0.0,0.0,0.0,4.0,39.0,1.0,1.0,1.0,0.0,0.0,0.3,SF,QB,5,2012
76.0,Tyrod Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.9,BAL,QB,5,2012
79.0,Andrew Luck,31.0,55.0,56.4,362.0,6.6,2.0,1.0,4.0,6.0,24.0,1.0,0.0,1.0,0.0,0.0,2.2,IND,QB,5,2012
80.0,Brandon Weeden,22.0,35.0,62.9,291.0,8.3,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,CLE,QB,5,2012
81.0,Nick Foles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,PHI,QB,5,2012
82.0,Colt McCoy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,CLE,QB,5,2012
83.0,Chase Daniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,NO,QB,5,2012
84.0,Eli Manning,25.0,37.0,67.6,259.0,7.0,3.0,1.0,0.0,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,2.3,NYG,QB,5,2012
85.0,Jason Campbell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CHI,QB,5,2012
86.0,Brady Quinn,2.0,2.0,100.0,32.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,KC,QB,5,2012
89.0,Brian Hoyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,QB,5,2012
90.0,Chad Henne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,JAC,QB,5,2012
91.0,Jay Cutler,23.0,39.0,59.0,292.0,7.5,2.0,1.0,1.0,2.0,22.0,0.0,0.0,1.0,0.0,0.0,0.2,CHI,QB,5,2012
92.0,Michael Vick,20.0,30.0,66.7,175.0,5.8,2.0,0.0,3.0,5.0,16.0,0.0,2.0,1.0,0.0,0.0,0.1,PHI,QB,5,2012
93.0,Peyton Manning,31.0,44.0,70.5,337.0,7.7,3.0,0.0,2.0,2.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,DEN,QB,5,2012
94.0,Philip Rivers,27.0,42.0,64.3,354.0,8.4,2.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.6,SD,QB,5,2012
95.0,Tyler Thigpen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,BUF,QB,5,2012
96.0,Sam Bradford,7.0,21.0,33.3,141.0,6.7,2.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STL,QB,5,2012
97.0,Matthew Stafford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.2,DET,QB,5,2012
100.0,Kevin Kolb,28.0,50.0,56.0,289.0,5.8,0.0,0.0,9.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,ARI,QB,5,2012
101.0,Matt Hasselbeck,26.0,43.0,60.5,200.0,4.7,1.0,1.0,2.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,TEN,QB,5,2012
102.0,Mark Sanchez,14.0,31.0,45.2,230.0,7.4,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,NYJ,QB,5,2012
