player,position,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,team,opponent,home
MyCole Pruitt,TE,1.0,27.0,43.0,0.0,7.0,4.0,7.0,1.0,3.7,12,2021,1.0,2.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,NE,False
Geoff Swaim,TE,1.0,46.0,73.0,0.0,2.0,2.0,2.0,0.8,1.7,12,2021,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,NE,False
Anthony Firkser,TE,1.0,26.0,41.0,0.0,4.0,4.0,4.0,0.7,2.7,12,2021,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,NE,False
Chris Manhertz,TE,1.0,27.0,37.0,0.0,7.0,4.0,7.0,1.1,4.1,12,2021,1.0,2.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,JAC,ATL,True
James O'Shaughnessy,TE,1.0,59.0,81.0,0.0,8.0,5.0,8.0,4.9,8.3,12,2021,3.0,5.0,29.0,9.7,21.0,0.0,0.0,0.0,0.0,0.0,0.0,JAC,ATL,True
Dan Arnold,TE,1.0,5.0,7.0,0.0,20.0,20.0,20.0,0.9,18.0,12,2021,1.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,JAC,ATL,True
C.J. Uzomah,TE,1.0,45.0,66.0,0.0,7.0,7.0,7.0,0.9,2.0,12,2021,3.0,3.0,9.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,PIT,True
Darren Waller,TE,1.0,21.0,24.0,0.0,24.0,10.0,24.0,3.3,15.7,12,2021,2.0,5.0,33.0,16.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,DAL,False
Daniel Helm,TE,1.0,14.0,16.0,0.0,7.0,0.0,7.0,0.0,0.0,12,2021,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,DAL,False
Foster Moreau,TE,1.0,77.0,89.0,0.0,6.0,1.0,6.0,0.3,0.4,12,2021,1.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,DAL,False
Eric Tomlinson,TE,1.0,27.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,CLE,True
Mark Andrews,TE,1.0,55.0,68.0,0.0,18.0,7.0,18.0,12.5,22.7,12,2021,4.0,10.0,65.0,16.3,39.0,0.0,1.0,0.0,0.0,0.0,0.0,BAL,CLE,True
Hunter Henry,TE,1.0,41.0,69.0,0.0,12.0,5.0,12.0,1.6,3.9,12,2021,2.0,5.0,16.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,NE,TEN,True
Jonnu Smith,TE,1.0,34.0,58.0,3.0,12.0,12.0,15.0,5.8,17.1,12,2021,3.0,4.0,49.0,16.3,20.0,0.0,0.0,1.0,9.0,0.0,0.0,NE,TEN,True
Austin Hooper,TE,1.0,54.0,90.0,0.0,6.0,0.0,6.0,0.0,0.0,12,2021,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,BAL,False
David Njoku,TE,1.0,43.0,72.0,0.0,12.0,7.0,12.0,9.5,22.1,12,2021,3.0,5.0,35.0,11.7,20.0,0.0,1.0,0.0,0.0,0.0,0.0,CLE,BAL,False
Harrison Bryant,TE,1.0,16.0,27.0,0.0,19.0,19.0,19.0,5.0,31.3,12,2021,3.0,3.0,50.0,16.7,41.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,BAL,False
Tyler Higbee,TE,1.0,62.0,100.0,0.0,8.0,2.0,8.0,0.3,0.5,12,2021,1.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,LAR,GB,False
Nick Vannett,TE,1.0,21.0,37.0,0.0,5.0,5.0,5.0,7.1,33.8,12,2021,1.0,1.0,11.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,NO,BUF,True
Evan Engram,TE,1.0,54.0,90.0,0.0,11.0,6.0,11.0,3.7,6.9,12,2021,3.0,6.0,37.0,12.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,PHI,True
Chris Myarick,TE,1.0,24.0,40.0,0.0,8.0,8.0,8.0,7.1,29.6,12,2021,2.0,2.0,11.0,5.5,10.0,0.0,1.0,0.0,0.0,0.0,0.0,NYG,PHI,True
Gerald Everett,TE,1.0,37.0,79.0,0.0,24.0,14.0,24.0,9.7,26.2,12,2021,5.0,9.0,37.0,7.4,12.0,0.0,1.0,0.0,0.0,0.0,0.0,SEA,WAS,False
Will Dissly,TE,1.0,16.0,34.0,0.0,13.0,13.0,13.0,1.9,11.9,12,2021,2.0,2.0,19.0,9.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,WAS,False
