player,position,team,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,opponent,home
Mark Ingram II,RB,HOU,1.0,36.0,46.0,72.0,3.0,72.0,75.0,14.5,40.3,1,2021,,,,,,,,,,,,,JAC,True
Rex Burkhead,RB,HOU,1.0,10.0,13.0,0.0,20.0,10.0,20.0,0.6,6.0,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,6.0,0.0,0.0,JAC,True
David Johnson,RB,HOU,1.0,22.0,28.0,14.0,18.0,27.0,32.0,8.8,40.0,1,2021,3.0,10.0,3.3,5.0,0.0,0.0,3.0,4.0,18.0,6.0,1.0,0.0,JAC,True
Phillip Lindsay,RB,HOU,1.0,20.0,26.0,40.0,5.0,40.0,45.0,8.5,42.5,1,2021,,,,,,,,,,,,,JAC,True
Brandon Bolden,RB,NE,1.0,2.0,3.0,50.0,0.0,50.0,50.0,0.5,25.0,1,2021,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,True
James White,RB,NE,1.0,28.0,37.0,14.0,25.0,36.0,39.0,6.1,21.8,1,2021,4.0,12.0,3.0,10.0,0.0,0.0,6.0,7.0,49.0,8.2,0.0,0.0,MIA,True
Damien Harris,RB,NE,1.0,40.0,53.0,58.0,8.0,63.0,65.0,9.7,24.3,1,2021,23.0,100.0,4.3,35.0,0.0,0.0,2.0,3.0,17.0,8.5,0.0,1.0,MIA,True
Rhamondre Stevenson,RB,NE,1.0,5.0,7.0,20.0,20.0,40.0,40.0,-0.9,-18.0,1,2021,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0,1.0,MIA,True
Cordarrelle Patterson,RB,ATL,1.0,24.0,33.0,29.0,8.0,38.0,38.0,6.7,27.9,1,2021,7.0,54.0,7.7,14.0,0.0,0.0,2.0,2.0,13.0,6.5,0.0,0.0,PHI,True
Keith Smith,RB,ATL,1.0,21.0,29.0,10.0,14.0,24.0,24.0,3.1,14.8,1,2021,2.0,13.0,6.5,8.0,0.0,0.0,3.0,3.0,18.0,6.0,0.0,0.0,PHI,True
Mike Davis,RB,ATL,1.0,54.0,75.0,28.0,11.0,33.0,39.0,7.2,13.3,1,2021,15.0,49.0,3.3,12.0,0.0,0.0,3.0,6.0,23.0,7.7,0.0,0.0,PHI,True
Giovani Bernard,RB,TB,1.0,17.0,26.0,0.0,18.0,12.0,18.0,1.2,7.1,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,12.0,6.0,0.0,0.0,DAL,True
Leonard Fournette,RB,TB,1.0,42.0,65.0,21.0,17.0,33.0,38.0,5.9,14.0,1,2021,9.0,32.0,3.6,7.0,0.0,0.0,5.0,7.0,27.0,5.4,0.0,0.0,DAL,True
Ronald Jones II,RB,TB,1.0,6.0,9.0,67.0,0.0,67.0,67.0,-0.6,-10.0,1,2021,4.0,14.0,3.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DAL,True
Kyle Juszczyk,RB,SF,1.0,20.0,36.0,0.0,5.0,5.0,5.0,0.7,3.5,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.0,DET,False
Raheem Mostert,RB,SF,1.0,4.0,7.0,50.0,0.0,50.0,50.0,2.0,50.0,1,2021,2.0,20.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,False
JaMycal Hasty,RB,SF,1.0,16.0,29.0,6.0,6.0,13.0,13.0,7.8,48.8,1,2021,1.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,15.0,15.0,0.0,0.0,DET,False
Elijah Mitchell,RB,SF,1.0,35.0,64.0,54.0,0.0,54.0,54.0,16.4,46.9,1,2021,19.0,104.0,5.5,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,False
Trenton Cannon,RB,SF,1.0,,,,,,,0.5,,1,2021,2.0,5.0,2.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,False
Latavius Murray,RB,BAL,1.0,21.0,31.0,48.0,0.0,48.0,48.0,8.8,41.9,1,2021,10.0,28.0,2.8,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,False
Patrick Ricard,RB,BAL,1.0,41.0,60.0,0.0,7.0,5.0,7.0,1.5,3.7,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,15.0,7.5,0.0,0.0,LV,False
Trenton Cannon,RB,BAL,1.0,9.0,13.0,22.0,0.0,22.0,22.0,0.5,5.6,1,2021,,,,,,,,,,,,,LV,False
Ty'Son Williams,RB,BAL,1.0,35.0,51.0,26.0,11.0,34.0,37.0,15.4,44.0,1,2021,9.0,65.0,7.2,35.0,0.0,1.0,3.0,4.0,29.0,9.7,0.0,0.0,LV,False
Carlos Hyde,RB,JAC,1.0,25.0,34.0,36.0,8.0,44.0,44.0,5.8,23.2,1,2021,9.0,44.0,4.9,13.0,0.0,0.0,2.0,2.0,14.0,7.0,0.0,0.0,HOU,False
James Robinson,RB,JAC,1.0,47.0,64.0,11.0,13.0,17.0,23.0,5.4,11.5,1,2021,5.0,25.0,5.0,7.0,0.0,0.0,3.0,6.0,29.0,9.7,0.0,0.0,HOU,False
Mekhi Sargent,RB,JAC,1.0,,,,,,,0.2,,1,2021,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,False
Dare Ogunbowale,RB,JAC,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,False
Damien Williams,RB,CHI,1.0,30.0,43.0,20.0,17.0,33.0,37.0,4.0,13.3,1,2021,6.0,12.0,2.0,6.0,0.0,0.0,4.0,5.0,28.0,7.0,0.0,0.0,LAR,False
David Montgomery,RB,CHI,1.0,41.0,59.0,39.0,2.0,41.0,41.0,17.8,43.4,1,2021,16.0,108.0,6.8,41.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,LAR,False
Khalil Herbert,RB,CHI,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAR,False
Tarik Cohen,RB,CHI,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAR,False
Melvin Gordon III,RB,DEN,1.0,33.0,50.0,33.0,9.0,42.0,42.0,17.8,53.9,1,2021,11.0,101.0,9.2,70.0,0.0,1.0,3.0,3.0,17.0,5.7,0.0,0.0,NYG,False
Javonte Williams,RB,DEN,1.0,33.0,50.0,42.0,3.0,45.0,45.0,4.1,12.4,1,2021,14.0,45.0,3.2,12.0,0.0,0.0,1.0,1.0,-4.0,-4.0,0.0,0.0,NYG,False
Ameer Abdullah,RB,MIN,1.0,9.0,11.0,11.0,22.0,33.0,33.0,1.9,21.1,1,2021,,,,,,,,,,,,,CIN,False
C.J. Ham,RB,MIN,1.0,25.0,30.0,0.0,8.0,8.0,8.0,0.9,3.6,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,4.5,0.0,0.0,CIN,False
Dalvin Cook,RB,MIN,1.0,59.0,71.0,34.0,12.0,44.0,46.0,14.4,24.4,1,2021,20.0,61.0,3.1,17.0,0.0,1.0,6.0,7.0,43.0,7.2,0.0,1.0,CIN,False
Alexander Mattison,RB,MIN,1.0,9.0,11.0,11.0,11.0,22.0,22.0,0.6,6.7,1,2021,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,CIN,False
Wayne Gallman Jr.,RB,MIN,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,False
Tevin Coleman,RB,NYJ,1.0,17.0,26.0,53.0,0.0,53.0,53.0,2.4,14.1,1,2021,9.0,24.0,2.7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,False
Ty Johnson,RB,NYJ,1.0,35.0,54.0,11.0,9.0,14.0,20.0,2.6,7.4,1,2021,4.0,15.0,3.8,12.0,0.0,0.0,1.0,3.0,11.0,11.0,0.0,0.0,CAR,False
Michael Carter,RB,NYJ,1.0,16.0,25.0,25.0,13.0,31.0,38.0,2.0,12.5,1,2021,4.0,6.0,1.5,2.0,0.0,0.0,1.0,2.0,14.0,14.0,0.0,0.0,CAR,False
Malcolm Brown,RB,MIA,1.0,16.0,30.0,31.0,0.0,31.0,31.0,1.6,10.0,1,2021,5.0,16.0,3.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NE,False
Myles Gaskin,RB,MIA,1.0,29.0,54.0,31.0,17.0,48.0,48.0,7.6,26.2,1,2021,9.0,49.0,5.4,15.0,0.0,0.0,5.0,5.0,27.0,5.4,0.0,0.0,NE,False
Salvon Ahmed,RB,MIA,1.0,11.0,20.0,27.0,27.0,45.0,55.0,2.8,25.5,1,2021,3.0,4.0,1.3,8.0,0.0,0.0,2.0,3.0,24.0,12.0,0.0,0.0,NE,False
Phillip Lindsay,RB,MIA,1.0,,,,,,,8.5,,1,2021,8.0,25.0,3.1,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,NE,False
Ty Montgomery,RB,NO,1.0,16.0,26.0,0.0,6.0,6.0,6.0,0.5,3.1,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,GB,True
Alvin Kamara,RB,NO,1.0,45.0,73.0,44.0,9.0,51.0,53.0,15.1,33.6,1,2021,20.0,83.0,4.2,14.0,0.0,0.0,3.0,4.0,8.0,2.7,1.0,0.0,GB,True
Tony Jones Jr.,RB,NO,1.0,22.0,35.0,50.0,5.0,55.0,55.0,5.3,24.1,1,2021,11.0,50.0,4.5,9.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,GB,True
Mark Ingram II,RB,NO,1.0,,,,,,,14.5,,1,2021,26.0,85.0,3.3,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,GB,True
Michael Burton,RB,KC,1.0,5.0,8.0,20.0,0.0,20.0,20.0,0.2,4.0,1,2021,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,True
Darrel Williams,RB,KC,1.0,14.0,22.0,7.0,0.0,7.0,7.0,0.4,2.9,1,2021,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,True
Clyde Edwards-Helaire,RB,KC,1.0,47.0,72.0,30.0,6.0,36.0,36.0,7.2,15.3,1,2021,14.0,43.0,3.1,9.0,0.0,0.0,3.0,3.0,29.0,9.7,0.0,0.0,CLE,True
Ezekiel Elliott,RB,DAL,1.0,70.0,79.0,16.0,3.0,19.0,19.0,3.9,5.6,1,2021,11.0,33.0,3.0,13.0,0.0,0.0,2.0,2.0,6.0,3.0,0.0,0.0,TB,False
Corey Clement,RB,DAL,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,False
Tony Pollard,RB,DAL,1.0,20.0,22.0,15.0,20.0,35.0,35.0,4.3,21.5,1,2021,3.0,14.0,4.7,11.0,0.0,0.0,4.0,4.0,29.0,7.3,0.0,0.0,TB,False
Sewo Olonilua,RB,DAL,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,False
Derrick Henry,RB,TEN,1.0,40.0,63.0,43.0,10.0,50.0,53.0,7.7,19.3,1,2021,17.0,58.0,3.4,19.0,0.0,0.0,3.0,4.0,19.0,6.3,0.0,0.0,ARI,True
Jeremy McNichols,RB,TEN,1.0,23.0,36.0,9.0,17.0,22.0,26.0,3.3,14.3,1,2021,,,,,,,,,,,,,ARI,True
Khari Blasingame,RB,TEN,1.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,True
Mekhi Sargent,RB,TEN,1.0,1.0,2.0,100.0,0.0,100.0,100.0,0.2,20.0,1,2021,,,,,,,,,,,,,ARI,True
Devontae Booker,RB,NYG,1.0,24.0,39.0,17.0,4.0,21.0,21.0,1.3,5.4,1,2021,4.0,7.0,1.8,6.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,DEN,True
Elijhaa Penny,RB,NYG,1.0,3.0,5.0,0.0,33.0,0.0,33.0,0.0,0.0,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DEN,True
Saquon Barkley,RB,NYG,1.0,29.0,48.0,34.0,10.0,38.0,45.0,2.7,9.3,1,2021,10.0,26.0,2.6,5.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,DEN,True
Gary Brightwell,RB,NYG,1.0,8.0,13.0,0.0,13.0,13.0,13.0,0.6,7.5,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,DEN,True
Kenyan Drake,RB,LV,1.0,41.0,48.0,15.0,12.0,27.0,27.0,7.0,17.1,1,2021,6.0,11.0,1.8,6.0,0.0,0.0,5.0,5.0,59.0,11.8,0.0,0.0,BAL,True
Josh Jacobs,RB,LV,1.0,45.0,52.0,22.0,4.0,24.0,27.0,16.0,35.6,1,2021,10.0,34.0,3.4,15.0,0.0,2.0,1.0,2.0,6.0,6.0,0.0,0.0,BAL,True
Alec Ingold,RB,LV,1.0,23.0,27.0,0.0,17.0,17.0,17.0,2.2,9.6,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,22.0,5.5,0.0,0.0,BAL,True
Andy Janovich,RB,CLE,1.0,11.0,19.0,0.0,9.0,0.0,9.0,0.0,0.0,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,KC,False
Kareem Hunt,RB,CLE,1.0,28.0,47.0,21.0,11.0,32.0,32.0,14.1,50.4,1,2021,6.0,33.0,5.5,15.0,0.0,1.0,3.0,3.0,28.0,9.3,0.0,0.0,KC,False
Nick Chubb,RB,CLE,1.0,31.0,53.0,48.0,6.0,55.0,55.0,20.1,64.8,1,2021,15.0,83.0,5.5,18.0,0.0,2.0,2.0,2.0,18.0,9.0,0.0,1.0,KC,False
Demetric Felton,RB,CLE,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,False
Derek Watt,RB,PIT,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,False
Najee Harris,RB,PIT,1.0,58.0,100.0,28.0,5.0,29.0,33.0,4.9,8.4,1,2021,16.0,45.0,2.8,18.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,BUF,False
Benny Snell Jr.,RB,PIT,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,False
J.D. McKissic,RB,WAS,1.0,20.0,36.0,5.0,5.0,5.0,10.0,0.8,4.0,1,2021,1.0,8.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LAC,True
Antonio Gibson,RB,WAS,1.0,36.0,65.0,56.0,14.0,64.0,69.0,8.8,24.4,1,2021,20.0,90.0,4.5,27.0,0.0,0.0,3.0,5.0,18.0,6.0,0.0,1.0,LAC,True
Jaret Patterson,RB,WAS,1.0,4.0,7.0,50.0,25.0,50.0,75.0,0.9,22.5,1,2021,2.0,9.0,4.5,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LAC,True
Christian McCaffrey,RB,CAR,1.0,57.0,89.0,37.0,16.0,53.0,53.0,18.7,32.8,1,2021,21.0,98.0,4.7,18.0,0.0,0.0,9.0,9.0,89.0,9.9,0.0,0.0,NYJ,True
Chuba Hubbard,RB,CAR,1.0,7.0,11.0,0.0,29.0,29.0,29.0,0.4,5.7,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,NYJ,True
Ameer Abdullah,RB,CAR,1.0,,,,,,,1.9,,1,2021,1.0,4.0,4.0,4.0,0.0,0.0,2.0,2.0,15.0,7.5,0.0,0.0,NYJ,True
Spencer Brown,RB,CAR,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,True
Joe Mixon,RB,CIN,1.0,54.0,78.0,54.0,7.0,61.0,61.0,21.0,38.9,1,2021,29.0,127.0,4.4,19.0,0.0,1.0,4.0,4.0,23.0,5.8,0.0,0.0,MIN,True
Samaje Perine,RB,CIN,1.0,15.0,22.0,33.0,7.0,40.0,40.0,2.9,19.3,1,2021,5.0,22.0,4.4,13.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.0,MIN,True
Jamaal Williams,RB,DET,1.0,32.0,35.0,28.0,28.0,53.0,56.0,17.0,53.1,1,2021,9.0,54.0,6.0,20.0,0.0,1.0,8.0,9.0,56.0,7.0,0.0,0.0,SF,True
D'Andre Swift,RB,DET,1.0,63.0,68.0,17.0,17.0,30.0,35.0,16.4,26.0,1,2021,11.0,39.0,3.5,16.0,0.0,0.0,8.0,11.0,65.0,8.1,1.0,0.0,SF,True
Jason Cabinda,RB,DET,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,SF,True
Godwin Igwebuike,RB,DET,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,True
James Conner,RB,ARI,1.0,34.0,49.0,47.0,0.0,47.0,47.0,5.3,15.6,1,2021,16.0,53.0,3.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,False
Chase Edmonds,RB,ARI,1.0,40.0,58.0,30.0,10.0,40.0,40.0,10.6,26.5,1,2021,12.0,63.0,5.3,16.0,0.0,0.0,4.0,4.0,43.0,10.8,0.0,0.0,TEN,False
Jonathan Ward,RB,ARI,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,False
Austin Ekeler,RB,LAC,1.0,47.0,58.0,32.0,0.0,32.0,32.0,11.7,24.9,1,2021,15.0,57.0,3.8,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,False
Justin Jackson,RB,LAC,1.0,11.0,14.0,9.0,9.0,18.0,18.0,0.7,6.4,1,2021,1.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,WAS,False
Larry Rountree III,RB,LAC,1.0,22.0,27.0,36.0,0.0,36.0,36.0,2.7,12.3,1,2021,8.0,27.0,3.4,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,False
Gabe Nabers,RB,LAC,1.0,9.0,11.0,11.0,0.0,11.0,11.0,0.2,2.2,1,2021,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,False
Aaron Jones,RB,GB,1.0,28.0,49.0,18.0,7.0,25.0,25.0,2.2,7.9,1,2021,5.0,9.0,1.8,3.0,0.0,0.0,2.0,2.0,13.0,6.5,0.0,0.0,NO,False
Kylin Hill,RB,GB,1.0,14.0,25.0,36.0,0.0,36.0,36.0,1.4,10.0,1,2021,5.0,14.0,2.8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,False
AJ Dillon,RB,GB,1.0,16.0,28.0,25.0,13.0,31.0,38.0,2.6,16.3,1,2021,4.0,19.0,4.8,6.0,0.0,0.0,1.0,2.0,7.0,7.0,0.0,0.0,NO,False
Chris Carson,RB,SEA,1.0,42.0,78.0,38.0,7.0,45.0,45.0,9.7,23.1,1,2021,16.0,91.0,5.7,33.0,0.0,0.0,3.0,3.0,26.0,8.7,0.0,1.0,IND,False
Rashaad Penny,RB,SEA,1.0,7.0,13.0,29.0,0.0,29.0,29.0,0.8,11.4,1,2021,2.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,False
Travis Homer,RB,SEA,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,False
DeeJay Dallas,RB,SEA,1.0,3.0,6.0,33.0,33.0,67.0,67.0,1.0,33.3,1,2021,1.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,IND,False
Nick Bellore,RB,SEA,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,False
Matt Breida,RB,BUF,1.0,10.0,12.0,40.0,0.0,40.0,40.0,0.4,4.0,1,2021,4.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,True
Devin Singletary,RB,BUF,1.0,64.0,75.0,17.0,8.0,22.0,25.0,8.0,12.5,1,2021,11.0,72.0,6.5,25.0,0.0,0.0,3.0,5.0,8.0,2.7,0.0,0.0,PIT,True
Nyheim Hines,RB,IND,1.0,34.0,45.0,26.0,24.0,44.0,50.0,8.2,24.1,1,2021,9.0,34.0,3.8,8.0,0.0,0.0,6.0,8.0,48.0,8.0,0.0,0.0,SEA,True
Jonathan Taylor,RB,IND,1.0,42.0,55.0,40.0,17.0,55.0,57.0,11.6,27.6,1,2021,17.0,56.0,3.3,12.0,0.0,0.0,6.0,7.0,60.0,10.0,0.0,0.0,SEA,True
Sony Michel,RB,LAR,1.0,3.0,6.0,33.0,0.0,33.0,33.0,0.2,6.7,1,2021,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,True
Darrell Henderson Jr.,RB,LAR,1.0,49.0,94.0,33.0,2.0,35.0,35.0,14.7,30.0,1,2021,16.0,70.0,4.4,15.0,0.0,1.0,1.0,1.0,17.0,17.0,0.0,0.0,CHI,True
Jake Funk,RB,LAR,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,True
Miles Sanders,RB,PHI,1.0,47.0,66.0,32.0,11.0,40.0,43.0,13.3,28.3,1,2021,15.0,74.0,4.9,23.0,0.0,0.0,4.0,5.0,39.0,9.8,0.0,0.0,ATL,False
Kenneth Gainwell,RB,PHI,1.0,25.0,35.0,36.0,12.0,44.0,48.0,10.3,41.2,1,2021,9.0,37.0,4.1,8.0,0.0,1.0,2.0,3.0,6.0,3.0,0.0,0.0,ATL,False
Boston Scott,RB,PHI,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,False
Mark Ingram II,RB,HOU,1.0,19.0,31.0,74.0,11.0,79.0,84.0,4.0,21.1,2,2021,,,,,,,,,,,,,CLE,False
David Johnson,RB,HOU,1.0,26.0,43.0,23.0,8.0,31.0,31.0,4.7,18.1,2,2021,6.0,25.0,4.2,8.0,0.0,0.0,2.0,2.0,22.0,11.0,0.0,0.0,CLE,False
Phillip Lindsay,RB,HOU,1.0,14.0,23.0,36.0,7.0,43.0,43.0,8.4,60.0,2,2021,,,,,,,,,,,,,CLE,False
Scottie Phillips,RB,HOU,1.0,,,,,,,0.0,,2,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,False
Cordarrelle Patterson,RB,ATL,1.0,24.0,33.0,29.0,29.0,50.0,58.0,18.9,78.8,2,2021,7.0,11.0,1.6,10.0,0.0,1.0,5.0,7.0,58.0,11.6,1.0,0.0,TB,False
Keith Smith,RB,ATL,1.0,18.0,25.0,11.0,6.0,11.0,17.0,0.3,1.7,2,2021,2.0,3.0,1.5,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TB,False
Mike Davis,RB,ATL,1.0,46.0,64.0,20.0,15.0,35.0,35.0,6.3,13.7,2,2021,9.0,38.0,4.2,8.0,0.0,0.0,7.0,7.0,25.0,3.6,0.0,0.0,TB,False
Giovani Bernard,RB,TB,1.0,6.0,10.0,0.0,33.0,33.0,33.0,1.6,26.7,2,2021,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16.0,8.0,0.0,0.0,ATL,True
Leonard Fournette,RB,TB,1.0,31.0,49.0,35.0,13.0,48.0,48.0,7.6,24.5,2,2021,11.0,52.0,4.7,10.0,0.0,0.0,4.0,4.0,24.0,6.0,0.0,0.0,ATL,True
Ronald Jones II,RB,TB,1.0,26.0,41.0,23.0,12.0,27.0,35.0,3.6,13.8,2,2021,6.0,27.0,4.5,10.0,0.0,0.0,1.0,3.0,9.0,9.0,0.0,0.0,ATL,True
Kyle Juszczyk,RB,SF,1.0,41.0,59.0,2.0,7.0,7.0,10.0,1.7,4.1,2,2021,1.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,15.0,7.5,0.0,0.0,PHI,False
Trenton Cannon,RB,SF,1.0,1.0,1.0,100.0,0.0,100.0,100.0,-0.1,-10.0,2,2021,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,False
Trey Sermon,RB,SF,1.0,1.0,1.0,100.0,0.0,100.0,100.0,0.8,80.0,2,2021,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,False
JaMycal Hasty,RB,SF,1.0,25.0,36.0,20.0,20.0,36.0,40.0,5.9,23.6,2,2021,5.0,38.0,7.6,21.0,0.0,0.0,4.0,5.0,21.0,5.3,0.0,0.0,PHI,False
Elijah Mitchell,RB,SF,1.0,43.0,61.0,40.0,5.0,44.0,44.0,5.3,12.3,2,2021,17.0,42.0,2.5,10.0,0.0,0.0,2.0,2.0,11.0,5.5,0.0,0.0,PHI,False
Latavius Murray,RB,BAL,1.0,27.0,36.0,33.0,0.0,33.0,33.0,9.6,35.6,2,2021,9.0,36.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,True
Devonta Freeman,RB,BAL,1.0,10.0,13.0,20.0,0.0,20.0,20.0,2.9,29.0,2,2021,2.0,29.0,14.5,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,True
Patrick Ricard,RB,BAL,1.0,48.0,63.0,2.0,0.0,2.0,2.0,0.2,0.4,2,2021,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,True
Ty'Son Williams,RB,BAL,1.0,37.0,49.0,35.0,5.0,41.0,41.0,9.3,25.1,2,2021,13.0,77.0,5.9,20.0,0.0,0.0,2.0,2.0,16.0,8.0,0.0,0.0,KC,True
