Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,1,64,64,98,5,0,55,55,20.2,31.6
Adrian Peterson,RB,WAS,1,19,19,30,53,5,58,58,1.9,10.0
Ben Roethlisberger,QB,PIT,1,41,41,68,0,0,71,71,19.3,47.1
Benjamin Watson,TE,NO,1,28,28,44,0,11,11,11,2.4,8.6
Danny Amendola,WR,MIA,1,25,25,52,0,4,4,4,1.0,4.0
Darren Sproles,RB,PHI,1,23,23,44,4,13,17,17,9.6,41.7
Drew Brees,QB,NO,1,64,64,100,5,0,53,53,13.9,21.7
Eli Manning,QB,NYG,1,46,46,69,0,0,48,48,19.9,43.3
Frank Gore,RB,MIA,1,23,23,48,52,4,57,57,11.6,50.4
Jared Cook,TE,OAK,1,57,57,85,0,18,12,18,11.6,20.4
Josh Johnson,QB,WAS,1,30,30,48,23,0,77,77,24.3,81.0
Josh McCown,QB,NYJ,1,3,3,6,0,0,33,33,0.0,0.0
Julian Edelman,WR,NE,1,74,74,91,0,16,12,16,14.6,19.7
Larry Fitzgerald,WR,ARI,1,67,67,96,0,13,7,13,5.5,8.2
LeSean McCoy,RB,BUF,1,9,9,12,22,11,22,33,0.1,1.1
Marcedes Lewis,TE,GB,1,16,16,25,0,0,0,0,0.0,0.0
Matt Ryan,QB,ATL,1,71,71,100,1,0,61,61,20.5,28.9
Matthew Stafford,QB,DET,1,60,60,100,2,0,40,40,4.7,7.8
Michael Crabtree,WR,BAL,1,51,51,72,0,8,6,8,3.1,6.1
Philip Rivers,QB,LAC,1,57,57,97,4,0,54,54,13.5,23.7
Tom Brady,QB,NE,1,81,81,100,1,0,54,54,26.6,32.8
Vernon Davis,TE,WAS,1,50,50,79,0,8,8,8,5.1,10.2
Golden Tate,WR,PHI,1,20,20,38,0,15,5,15,0.7,3.5
Jimmy Graham,TE,GB,1,47,47,72,0,11,4,11,1.3,2.8
Joe Webb III,QB,HOU,1,32,32,44,0,9,6,9,1.3,4.1
Rob Gronkowski,TE,NE,1,77,77,95,0,10,10,10,16.7,21.7
Antonio Brown,WR,PIT,1,59,59,98,0,12,8,12,3.5,5.9
Julio Jones,WR,ATL,1,63,63,89,0,17,13,17,22.6,35.9
Cam Newton,QB,CAR,1,73,73,97,7,0,64,64,10.9,14.9
Mark Ingram II,RB,NO,1,29,29,45,45,10,48,55,11.3,39.0
Randall Cobb,WR,GB,1,44,44,68,0,14,11,14,10.3,23.4
Kyle Rudolph,TE,MIN,1,57,57,97,0,9,4,9,0.7,1.2
Lance Kendricks,TE,GB,1,17,17,26,0,0,0,0,0.0,0.0
Luke Stocker,TE,TEN,1,39,39,65,0,3,3,3,0.7,1.8
Anthony Sherman,RB,KC,1,6,6,7,17,17,17,33,0.2,3.3
Dion Lewis,RB,TEN,1,38,38,63,26,13,39,39,5.2,13.7
Lee Smith,TE,OAK,1,14,14,21,0,7,7,7,6.3,45.0
Dwayne Harris,WR,OAK,1,6,6,9,0,0,0,0,0.0,0.0
Virgil Green,TE,LAC,1,40,40,68,0,0,0,0,0.0,0.0
Robert Griffin III,QB,BAL,1,4,4,6,0,0,50,50,0.0,0.0
Ryan Tannehill,QB,MIA,1,46,46,96,2,0,43,43,23.9,52.0
Kirk Cousins,QB,MIN,1,58,58,98,5,0,62,62,10.8,18.6
Russell Wilson,QB,SEA,1,66,66,100,11,0,41,41,9.0,13.6
Lamar Miller,RB,HOU,1,51,51,71,27,12,37,39,11.2,22.0
Alshon Jeffery,WR,PHI,1,51,51,98,0,18,12,18,11.0,21.6
Mohamed Sanu Sr.,WR,ATL,1,57,57,80,0,14,11,14,5.4,9.5
T.Y. Hilton,WR,IND,1,54,54,81,0,22,17,22,19.9,36.9
Travis Benjamin,WR,LAC,1,20,20,34,0,5,5,5,1.1,5.5
Rhett Ellison,TE,NYG,1,33,33,49,0,0,0,0,0.0,0.0
Alfred Morris,RB,SF,1,4,4,6,50,25,75,75,0.7,17.5
Brandon Bolden,RB,MIA,1,4,4,8,50,25,75,75,18.0,450.0
Derek Carrier,TE,OAK,1,13,13,19,0,15,15,15,8.9,68.5
Case Keenum,QB,DEN,1,74,74,100,5,0,62,62,13.8,18.6
Josh Gordon,WR,NE,1,70,70,86,0,11,7,11,9.6,13.7
Cole Beasley,WR,DAL,1,65,65,66,0,6,3,6,1.8,2.8
Chris Hogan,WR,NE,1,33,33,41,0,3,0,3,0.0,0.0
Garrett Celek,TE,SF,1,27,27,38,0,4,0,4,0.0,0.0
Jermaine Kearse,WR,NYJ,1,28,28,52,0,7,4,7,1.0,3.6
Josh Bellamy,WR,CHI,1,19,19,27,0,5,0,5,0.0,0.0
Travis Kelce,TE,KC,1,85,85,99,0,11,8,11,13.7,16.1
Marquise Goodwin,WR,SF,1,24,24,33,0,8,8,8,2.0,8.3
Russell Shepard,WR,NYG,1,26,26,39,0,15,4,15,7.1,27.3
DeAndre Hopkins,WR,HOU,1,72,72,100,0,14,6,14,9.6,13.3
Robert Woods,WR,LAR,1,63,63,100,0,21,11,21,6.1,9.7
Kenny Stills,WR,MIA,1,40,40,83,0,23,20,23,19.5,48.8
Cordarrelle Patterson,RB,NE,1,18,18,22,0,17,11,17,11.1,61.7
Keenan Allen,WR,LAC,1,54,54,92,2,17,11,19,13.8,25.6
Giovani Bernard,RB,CIN,1,26,26,38,12,8,19,19,2.0,7.7
Theo Riddick,RB,DET,1,25,25,42,24,16,40,40,5.8,23.2
Chris Thompson,RB,WAS,1,25,25,40,12,20,24,32,3.8,15.2
Rex Burkhead,RB,NE,1,17,17,21,24,12,29,35,0.5,2.9
Zach Ertz,TE,PHI,1,44,44,85,0,18,11,18,3.8,8.6
Jordan Reed,TE,WAS,1,7,7,11,0,14,0,14,0.0,0.0
Levine Toilolo,TE,DET,1,48,48,80,0,4,4,4,2.6,5.4
Vance McDonald,TE,PIT,1,38,38,63,0,11,11,11,3.7,9.7
Kyle Juszczyk,RB,SF,1,42,42,58,0,7,5,7,2.1,5.0
Luke Willson,TE,DET,1,21,21,35,0,0,0,0,0.0,0.0
Latavius Murray,RB,MIN,1,8,8,14,38,0,38,38,0.4,5.0
Ryan Griffin,TE,HOU,1,59,59,82,0,8,8,8,8.0,13.6
Demetrius Harris,TE,KC,1,28,28,33,0,11,11,11,2.8,10.0
Zach Line,RB,NO,1,17,17,27,6,6,12,12,6.5,38.2
James Develin,RB,NE,1,36,36,44,3,0,3,3,6.2,17.2
Patrick DiMarco,RB,BUF,1,12,12,16,0,8,0,8,0.0,0.0
Derek Carr,QB,OAK,1,67,67,100,1,0,52,52,18.8,28.1
Logan Thomas,TE,BUF,1,36,36,47,0,6,3,6,0.5,1.4
Carlos Hyde,RB,JAC,1,3,3,4,0,33,33,33,-0.3,-10.0
Mike Evans,WR,TB,1,61,61,86,0,10,7,10,8.6,14.1
Brandin Cooks,WR,LAR,1,62,62,98,0,11,5,11,2.2,3.5
Davante Adams,WR,GB,1,56,56,86,0,20,13,20,14.1,25.2
Jordan Matthews,WR,PHI,1,10,10,19,0,10,10,10,0.6,6.0
Donte Moncrief,WR,JAC,1,53,53,75,0,19,9,19,4.7,8.9
