Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,1,69,69,100,3,0,67,67,19.9,28.8
Adrian Peterson,RB,WAS,1,32,32,52,59,0,59,59,24.0,75.0
Alex Smith,QB,WAS,1,61,61,100,11,0,44,44,16.8,27.5
Ben Roethlisberger,QB,PIT,1,66,66,100,6,0,64,64,24.0,36.4
Benjamin Watson,TE,NO,1,45,45,56,0,13,11,13,7.1,15.8
Danny Amendola,WR,MIA,1,31,31,70,0,10,10,10,4.2,13.5
DeSean Jackson,WR,TB,1,42,42,58,0,12,7,12,3.7,8.8
Drew Brees,QB,NO,1,79,79,98,4,0,66,66,40.5,51.3
Eli Manning,QB,NYG,1,62,62,98,2,0,48,48,19.8,31.9
Frank Gore,RB,MIA,1,16,16,36,38,0,38,38,1.2,7.5
Jared Cook,TE,OAK,1,62,62,82,0,10,8,10,3.1,5.0
Joe Flacco,QB,BAL,1,72,72,100,6,0,61,61,15.3,21.3
Larry Fitzgerald,WR,ARI,1,48,48,94,0,4,4,4,0.9,1.9
Marcedes Lewis,TE,GB,1,7,7,10,0,0,0,0,0.0,0.0
Marshawn Lynch,RB,OAK,1,42,42,55,45,10,52,55,14.6,34.8
Matt Ryan,QB,ATL,1,68,68,100,6,0,57,57,40.2,59.1
Matthew Stafford,QB,DET,1,73,73,100,1,0,51,51,17.5,24.0
Michael Crabtree,WR,BAL,1,52,52,72,0,19,13,19,6.1,11.7
Philip Rivers,QB,LAC,1,52,52,100,0,0,58,58,17.0,32.7
Ryan Fitzpatrick,QB,TB,1,73,73,100,7,0,75,75,25.1,34.4
Ted Ginn Jr.,WR,NO,1,51,51,63,2,12,8,14,9.2,18.0
Tom Brady,QB,NE,1,48,48,100,2,0,56,56,7.5,15.6
Vernon Davis,TE,WAS,1,37,37,61,0,5,5,5,7.0,18.9
Golden Tate,WR,DET,1,54,54,74,0,15,11,15,6.9,12.8
Andre Roberts,WR,NYJ,1,1,1,2,0,0,0,0,0.0,0.0
Emmanuel Sanders,WR,DEN,1,60,60,88,2,13,10,15,13.3,22.2
Jimmy Graham,TE,GB,1,64,64,93,0,11,8,11,4.5,7.0
Rob Gronkowski,TE,NE,1,48,48,100,0,10,8,10,5.1,10.6
Antonio Brown,WR,PIT,1,62,62,94,0,15,10,15,11.0,17.7
Logan Paulsen,TE,ATL,1,21,21,31,0,5,5,5,1.1,5.2
A.J. Green,WR,CIN,1,33,33,51,0,24,15,24,5.8,17.6
Blaine Gabbert,QB,TEN,1,9,9,15,0,0,33,33,0.3,3.3
Julio Jones,WR,ATL,1,54,54,79,0,11,9,11,9.6,17.8
Cam Newton,QB,CAR,1,67,67,100,15,0,51,51,29.6,44.2
Randall Cobb,WR,GB,1,65,65,94,0,17,6,17,0.3,0.5
Kyle Rudolph,TE,MIN,1,64,64,97,0,9,8,9,10.8,16.9
Andy Dalton,QB,CIN,1,65,65,100,0,0,71,71,14.1,21.7
Lance Kendricks,TE,GB,1,10,10,14,0,10,0,10,0.0,0.0
Luke Stocker,TE,TEN,1,32,32,52,0,6,3,6,1.1,3.4
Anthony Sherman,RB,KC,1,8,8,11,0,13,13,13,1.6,20.0
Dion Lewis,RB,TEN,1,30,30,48,30,10,40,40,4.0,13.3
Lee Smith,TE,OAK,1,19,19,25,0,0,0,0,0.0,0.0
Dwayne Harris,WR,OAK,1,2,2,3,0,100,100,100,1.1,55.0
Tyrod Taylor,QB,CLE,1,31,31,40,13,0,58,58,3.0,9.7
Virgil Green,TE,LAC,1,33,33,63,0,3,3,3,0.6,1.8
