Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,1,46,46,77,2,0,67,67,24.9,54.1
Adrian Peterson,RB,WAS,1,42,42,53,62,7,67,69,20.6,49.0
Alex Smith,QB,WAS,1,79,79,99,10,0,48,48,19.6,24.8
Ben Roethlisberger,QB,PIT,1,84,84,100,4,0,52,52,9.0,10.7
Benjamin Watson,TE,NO,1,51,51,80,0,8,8,8,4.4,8.6
Danny Amendola,WR,MIA,1,45,45,73,0,13,9,13,2.6,5.8
Darren Sproles,RB,PHI,1,29,29,40,17,24,31,41,3.2,11.0
DeSean Jackson,WR,TB,1,20,20,29,0,25,25,25,26.6,133.0
Drew Brees,QB,NO,1,64,64,100,0,0,70,70,31.6,49.4
Eli Manning,QB,NYG,1,71,71,100,1,0,54,54,7.2,10.1
Frank Gore,RB,MIA,1,18,18,29,50,0,50,50,6.1,33.9
Greg Olsen,TE,CAR,1,16,16,23,0,13,13,13,3.3,20.6
Jared Cook,TE,OAK,1,64,64,91,0,19,14,19,18.0,28.1
Joe Flacco,QB,BAL,1,55,55,69,4,0,65,65,21.7,39.5
Larry Fitzgerald,WR,ARI,1,52,52,98,0,19,13,19,7.6,14.6
LeSean McCoy,RB,BUF,1,34,34,52,21,9,24,29,2.1,6.2
Marcedes Lewis,TE,GB,1,7,7,12,0,0,0,0,0.0,0.0
Marshawn Lynch,RB,OAK,1,24,24,34,46,8,54,54,10.9,45.4
Matt Ryan,QB,ATL,1,70,70,99,3,0,64,64,8.8,12.6
Matthew Stafford,QB,DET,1,62,62,89,2,0,76,76,8.0,12.9
Michael Crabtree,WR,BAL,1,53,53,66,0,11,6,11,9.8,18.5
Philip Rivers,QB,LAC,1,82,82,100,0,0,62,62,29.0,35.4
Ryan Fitzpatrick,QB,TB,1,66,66,97,18,0,61,61,42.3,64.1
Ted Ginn Jr.,WR,NO,1,50,50,78,2,12,12,14,15.3,30.6
Tom Brady,QB,NE,1,75,75,100,1,0,53,53,21.3,28.4
Vernon Davis,TE,WAS,1,48,48,60,0,2,2,2,0.9,1.9
Golden Tate,WR,DET,1,57,57,81,0,26,12,26,13.9,24.4
Andre Roberts,WR,NYJ,1,10,10,17,10,0,10,10,0.2,2.0
Emmanuel Sanders,WR,DEN,1,64,64,86,0,17,16,17,19.5,30.5
Jimmy Graham,TE,GB,1,59,59,98,0,7,3,7,0.8,1.4
Rob Gronkowski,TE,NE,1,75,75,100,0,11,9,11,16.3,21.7
Antonio Brown,WR,PIT,1,83,83,99,0,19,11,19,15.3,18.4
Logan Paulsen,TE,ATL,1,19,19,27,0,0,0,0,0.0,0.0
