Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,1,57,57,100,11,0,60,60,18.1,31.8
Adrian Peterson,RB,WAS,1,34,34,59,56,6,62,62,6.9,20.3
Alex Smith,QB,WAS,1,58,58,100,3,0,50,50,12.7,21.9
Ben Roethlisberger,QB,PIT,1,50,50,86,6,0,56,56,35.8,71.6
Benjamin Watson,TE,NO,1,29,29,39,0,7,3,7,0.1,0.3
Brian Hoyer,QB,NE,1,8,8,12,13,0,25,25,0.5,6.3
Danny Amendola,WR,MIA,1,66,66,97,0,15,11,15,7.2,10.9
DeSean Jackson,WR,TB,1,44,44,64,0,18,11,18,6.7,15.2
Drew Brees,QB,NO,1,63,63,84,3,0,43,43,28.9,45.9
Eli Manning,QB,NYG,1,59,59,100,0,0,53,53,19.5,33.1
Frank Gore,RB,MIA,1,29,29,43,45,10,52,55,10.2,35.2
Greg Olsen,TE,CAR,1,45,45,79,0,13,9,13,4.0,8.9
Jared Cook,TE,OAK,1,37,37,59,0,24,11,24,5.2,14.1
Josh McCown,QB,NYJ,1,56,56,100,2,0,63,63,1.8,3.2
Julian Edelman,WR,NE,1,54,54,82,0,22,19,24,10.6,19.6
Larry Fitzgerald,WR,ARI,1,70,70,95,0,14,9,14,5.0,7.1
LeSean McCoy,RB,BUF,1,49,49,67,53,2,55,55,23.8,48.6
Marcedes Lewis,TE,GB,1,10,10,18,0,10,10,10,3.0,30.0
Matt Ryan,QB,ATL,1,75,75,100,4,0,73,73,20.5,27.3
Matthew Stafford,QB,DET,1,78,78,99,3,0,56,56,15.9,20.4
Philip Rivers,QB,LAC,1,56,56,100,2,0,48,48,15.0,26.8
Ryan Fitzpatrick,QB,TB,1,69,69,100,12,0,71,71,13.7,19.9
Tom Brady,QB,NE,1,58,58,88,2,2,74,74,10.8,18.6
Vernon Davis,TE,WAS,1,27,27,47,0,4,0,4,0.0,0.0
Golden Tate,WR,PHI,1,18,18,29,0,22,11,22,1.9,10.6
Andre Roberts,WR,NYJ,1,1,1,2,0,0,0,0,0.0,0.0
