player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Richie James Jr.,WR,SF,1.0,30.0,30.0,39.0,0.0,7.0,0.0,7.0,-2.0,-6.7,13,2018
Equanimeous St. Brown,WR,GB,1.0,15.0,15.0,20.0,0.0,7.0,0.0,7.0,0.0,0.0,13,2018
Rashaad Penny,RB,SEA,1.0,12.0,12.0,20.0,58.0,0.0,58.0,58.0,12.5,104.2,13,2018
Sony Michel,RB,NE,1.0,30.0,30.0,41.0,57.0,3.0,60.0,60.0,7.0,23.3,13,2018
Dalton Schultz,TE,DAL,1.0,40.0,40.0,56.0,0.0,5.0,3.0,5.0,0.7,1.8,13,2018
Ian Thomas,TE,CAR,1.0,53.0,53.0,76.0,0.0,9.0,9.0,9.0,4.6,8.7,13,2018
Jordan Thomas,TE,HOU,1.0,40.0,40.0,52.0,0.0,8.0,8.0,8.0,9.2,23.0,13,2018
Jordan Akins,TE,HOU,1.0,21.0,21.0,27.0,0.0,5.0,5.0,5.0,1.3,6.2,13,2018
Robert Foster,WR,BUF,1.0,36.0,36.0,50.0,0.0,11.0,3.0,11.0,2.7,7.5,13,2018
DaeSean Hamilton,WR,DEN,1.0,47.0,47.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Chase Edmonds,RB,ARI,1.0,13.0,13.0,21.0,38.0,15.0,54.0,54.0,18.6,143.1,13,2018
Jordan Wilkins,RB,IND,1.0,5.0,5.0,7.0,0.0,20.0,20.0,20.0,0.0,0.0,13,2018
Phillip Lindsay,RB,DEN,1.0,25.0,25.0,42.0,76.0,4.0,80.0,80.0,27.9,111.6,13,2018
Durham Smythe,TE,MIA,1.0,17.0,17.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Darrel Williams,RB,KC,1.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Marquez Valdes-Scantling,WR,GB,1.0,64.0,64.0,84.0,3.0,11.0,6.0,14.0,4.8,7.5,13,2018
Chris Herndon IV,TE,NYJ,1.0,50.0,50.0,74.0,0.0,12.0,4.0,12.0,3.1,6.2,13,2018
Trenton Cannon,RB,NYJ,1.0,9.0,9.0,13.0,44.0,11.0,56.0,56.0,2.5,27.8,13,2018
Damion Ratley,WR,CLE,1.0,7.0,7.0,12.0,0.0,14.0,14.0,14.0,0.2,2.9,13,2018
Tyler Conklin,TE,MIN,1.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Justin Watson,WR,TB,1.0,7.0,7.0,11.0,0.0,14.0,0.0,14.0,0.0,0.0,13,2018
Russell Gage,WR,ATL,1.0,2.0,2.0,4.0,0.0,50.0,50.0,50.0,0.7,35.0,13,2018
Buddy Howell,RB,HOU,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Jordan Franks,TE,CIN,1.0,7.0,7.0,10.0,0.0,14.0,0.0,14.0,0.0,0.0,13,2018
Gus Edwards,RB,BAL,1.0,40.0,40.0,49.0,53.0,0.0,53.0,53.0,8.2,20.5,13,2018
Keith Kirkwood,WR,NO,1.0,27.0,27.0,52.0,0.0,11.0,4.0,11.0,9.0,33.3,13,2018
Ross Dwelley,TE,SF,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Trent Sherfield,WR,ARI,1.0,31.0,31.0,50.0,0.0,10.0,3.0,10.0,2.1,6.8,13,2018
Cameron Batson,WR,TEN,1.0,23.0,23.0,34.0,0.0,9.0,4.0,9.0,0.7,3.0,13,2018
Jeff Wilson Jr.,RB,SF,1.0,54.0,54.0,71.0,28.0,17.0,43.0,44.0,11.4,21.1,13,2018
Dontrell Hilliard,RB,CLE,1.0,12.0,12.0,21.0,0.0,33.0,33.0,33.0,4.0,33.3,13,2018
KhaDarel Hodge,WR,LAR,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Malik Turner,WR,SEA,1.0,14.0,14.0,24.0,0.0,7.0,7.0,7.0,0.1,0.7,13,2018
