Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,1,9,9,16,0,0,56,56,1.0,11.1
Adrian Peterson,RB,WAS,1,10,10,22,40,0,40,40,0.0,0.0
Ben Roethlisberger,QB,PIT,1,68,68,100,4,0,71,71,13.8,20.3
Benjamin Watson,TE,NO,1,27,27,52,0,11,7,11,2.9,10.7
Brian Hoyer,QB,NE,1,4,4,6,75,0,75,75,-0.3,-7.5
Chad Henne,QB,KC,1,13,13,24,8,0,31,31,1.5,11.5
Danny Amendola,WR,MIA,1,50,50,82,0,10,8,10,2.6,5.2
Darren Sproles,RB,PHI,1,27,27,38,26,11,33,37,3.6,13.3
Eli Manning,QB,NYG,1,71,71,99,1,0,59,59,18.2,25.6
Jared Cook,TE,OAK,1,43,43,65,0,12,7,12,2.8,6.5
Josh Johnson,QB,WAS,1,45,45,100,7,0,67,67,2.0,4.4
Julian Edelman,WR,NE,1,58,58,85,3,10,12,14,15.3,26.4
Larry Fitzgerald,WR,ARI,1,65,65,100,0,14,6,14,9.6,14.8
LeSean McCoy,RB,BUF,1,31,31,50,32,10,39,42,10.4,33.5
Marcedes Lewis,TE,GB,1,4,4,7,0,0,0,0,0.0,0.0
Matt Ryan,QB,ATL,1,77,77,97,5,1,64,64,28.3,36.8
Matthew Slater,WR,NE,1,3,3,4,0,0,0,0,0.0,0.0
Matthew Stafford,QB,DET,1,73,73,100,3,0,47,47,18.4,25.2
Michael Crabtree,WR,BAL,1,57,57,74,0,4,4,4,2.0,3.5
Philip Rivers,QB,LAC,1,49,49,82,2,0,51,51,7.0,14.3
Tom Brady,QB,NE,1,64,64,94,0,0,52,52,26.0,40.6
Golden Tate,WR,PHI,1,40,40,56,0,15,10,15,3.3,8.3
Andre Roberts,WR,NYJ,1,40,40,71,0,10,8,10,2.8,7.0
Jimmy Graham,TE,GB,1,39,39,70,0,13,8,13,2.1,5.4
Rob Gronkowski,TE,NE,1,55,55,81,0,4,4,4,2.4,4.4
Logan Paulsen,TE,ATL,1,29,29,37,0,3,3,3,1.9,6.6
Blaine Gabbert,QB,TEN,1,49,49,100,0,0,59,59,6.6,13.5
Julio Jones,WR,ATL,1,51,51,65,0,25,18,25,19.8,38.8
Mark Ingram II,RB,NO,1,19,19,37,26,11,37,37,4.3,22.6
Randall Cobb,WR,GB,1,46,46,82,0,11,2,11,2.7,5.9
Kyle Rudolph,TE,MIN,1,49,49,84,0,10,8,10,1.9,3.9
Lance Kendricks,TE,GB,1,4,4,7,0,25,0,25,0.0,0.0
Luke Stocker,TE,TEN,1,20,20,41,0,10,5,10,8.2,41.0
Anthony Sherman,RB,KC,1,7,7,13,0,29,29,29,1.9,27.1
Dion Lewis,RB,TEN,1,24,24,49,0,17,13,17,2.3,9.6
Lee Smith,TE,OAK,1,18,18,27,0,0,0,0,0.0,0.0
Dwayne Harris,WR,OAK,1,10,10,15,0,0,0,0,0.0,0.0
Virgil Green,TE,LAC,1,47,47,78,0,2,0,2,0.0,0.0
Ryan Tannehill,QB,MIA,1,61,61,100,3,2,56,56,7.1,11.6
Nick Foles,QB,PHI,1,61,61,86,3,0,57,57,15.2,24.9
Kirk Cousins,QB,MIN,1,57,57,98,2,0,60,60,10.0,17.5
Russell Wilson,QB,SEA,1,63,63,100,3,0,37,37,7.9,12.5
Lamar Miller,RB,HOU,1,64,64,83,27,3,30,30,11.6,18.1
Alshon Jeffery,WR,PHI,1,57,57,80,0,9,9,9,11.9,20.9
Mohamed Sanu Sr.,WR,ATL,1,61,61,77,2,16,15,20,13.4,22.0
