rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Denver Broncos,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,15.0,48.5,DEN,DST,14,2019
2.0,Los Angeles Rams,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,74.5,LAR,DST,14,2019
3.0,Atlanta Falcons,5.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,14.0,14.0,5.8,ATL,DST,14,2019
4.0,Minnesota Vikings,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,28.0,MIN,DST,14,2019
5.0,Pittsburgh Steelers,5.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,12.0,44.6,PIT,DST,14,2019
6.0,Indianapolis Colts,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,11.0,11.0,66.4,IND,DST,14,2019
7.0,Cleveland Browns,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,11.0,11.0,40.8,CLE,DST,14,2019
8.0,Tennessee Titans,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,10.0,10.0,48.4,TEN,DST,14,2019
9.0,Baltimore Ravens,6.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,9.0,9.0,51.9,BAL,DST,14,2019
10.0,Seattle Seahawks,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,9.0,39.4,SEA,DST,14,2019
11.0,Arizona Cardinals,3.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,7.0,7.0,60.9,ARI,DST,14,2019
12.0,Washington Commanders,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,27.5,WAS,DST,14,2019
13.0,Green Bay Packers,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,7.0,60.6,GB,DST,14,2019
14.0,Los Angeles Chargers,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,44.3,LAC,DST,14,2019
15.0,Kansas City Chiefs,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,45.7,KC,DST,14,2019
16.0,Dallas Cowboys,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,82.9,DAL,DST,14,2019
17.0,New England Patriots,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,5.0,93.2,NE,DST,14,2019
18.0,New York Giants,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,4.5,NYG,DST,14,2019
19.0,Cincinnati Bengals,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,14.7,CIN,DST,14,2019
20.0,New York Jets,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,3.3,NYJ,DST,14,2019
21.0,Miami Dolphins,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,60.2,MIA,DST,14,2019
22.0,Buffalo Bills,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,95.9,BUF,DST,14,2019
23.0,Philadelphia Eagles,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,52.5,PHI,DST,14,2019
24.0,Tampa Bay Buccaneers,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,98.0,TB,DST,14,2019
25.0,Chicago Bears,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,35.9,CHI,DST,14,2019
26.0,Houston Texans,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.4,HOU,DST,14,2019
27.0,Detroit Lions,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.1,DET,DST,14,2019
28.0,New Orleans Saints,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,79.3,NO,DST,14,2019
29.0,San Francisco 49ers,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,-2.0,-2.0,79.5,SF,DST,14,2019
30.0,Las Vegas Raiders,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,7.6,LV,DST,14,2019
31.0,Carolina Panthers,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-3.0,27.8,CAR,DST,14,2019
32.0,Jacksonville Jaguars,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-3.0,6.9,JAC,DST,14,2019
