rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Atlanta Falcons,5,4,0,0,0,0,1,1,20.0,20.0,5.8,ATL,DST,11,2019
2,New Orleans Saints,2,4,0,0,1,0,0,1,17.0,17.0,79.3,NO,DST,11,2019
3,Cleveland Browns,4,4,0,1,0,0,0,1,16.0,16.0,40.8,CLE,DST,11,2019
4,Baltimore Ravens,7,1,1,1,0,0,0,1,15.0,15.0,51.9,BAL,DST,11,2019
5,San Francisco 49ers,4,0,2,2,1,0,0,1,14.0,14.0,79.5,SF,DST,11,2019
6,Las Vegas Raiders,5,1,1,1,0,0,0,1,13.0,13.0,7.6,LV,DST,11,2019
7,New England Patriots,5,0,1,1,0,0,0,1,11.0,11.0,93.2,NE,DST,11,2019
8,Kansas City Chiefs,2,4,0,1,0,0,0,1,11.0,11.0,45.7,KC,DST,11,2019
9,Buffalo Bills,7,0,1,0,0,0,0,1,10.0,10.0,95.9,BUF,DST,11,2019
10,Los Angeles Rams,3,1,0,0,0,0,0,1,9.0,9.0,74.5,LAR,DST,11,2019
11,Denver Broncos,5,0,2,1,0,0,0,1,9.0,9.0,48.5,DEN,DST,11,2019
12,New York Jets,6,1,0,0,0,0,0,1,9.0,9.0,3.3,NYJ,DST,11,2019
13,Cincinnati Bengals,3,1,1,1,0,0,0,1,8.0,8.0,14.7,CIN,DST,11,2019
14,Indianapolis Colts,2,1,0,0,0,0,0,1,8.0,8.0,66.4,IND,DST,11,2019
15,Jacksonville Jaguars,3,1,1,1,0,0,0,1,6.0,6.0,6.9,JAC,DST,11,2019
16,Arizona Cardinals,2,2,0,0,0,0,0,1,5.0,5.0,60.9,ARI,DST,11,2019
17,Washington Commanders,2,1,1,1,0,0,0,1,5.0,5.0,27.5,WAS,DST,11,2019
18,Chicago Bears,0,1,1,3,0,0,0,1,5.0,5.0,35.9,CHI,DST,11,2019
19,Minnesota Vikings,2,1,0,0,0,0,0,1,4.0,4.0,28.0,MIN,DST,11,2019
20,Dallas Cowboys,3,0,0,0,0,0,0,1,3.0,3.0,82.9,DAL,DST,11,2019
21,Los Angeles Chargers,1,1,0,1,0,0,0,1,3.0,3.0,44.3,LAC,DST,11,2019
22,Philadelphia Eagles,1,0,0,0,0,0,0,1,2.0,2.0,52.5,PHI,DST,11,2019
23,Carolina Panthers,3,0,0,1,0,0,0,1,2.0,2.0,27.8,CAR,DST,11,2019
24,Pittsburgh Steelers,1,0,0,0,0,0,0,1,1.0,1.0,44.6,PIT,DST,11,2019
25,Green Bay Packers,0,0,0,0,0,0,0,0,0.0,0.0,60.6,GB,DST,11,2019
26,New York Giants,0,0,0,0,0,0,0,0,0.0,0.0,4.5,NYG,DST,11,2019
27,Seattle Seahawks,0,0,0,0,0,0,0,0,0.0,0.0,39.4,SEA,DST,11,2019
28,Tampa Bay Buccaneers,1,0,0,1,0,0,0,1,0.0,0.0,98.0,TB,DST,11,2019
29,Tennessee Titans,0,0,0,0,0,0,0,0,0.0,0.0,48.4,TEN,DST,11,2019
30,Detroit Lions,1,0,1,1,0,0,0,1,-1.0,-1.0,1.1,DET,DST,11,2019
31,Houston Texans,0,0,0,0,0,0,0,1,-4.0,-4.0,6.4,HOU,DST,11,2019
32,Miami Dolphins,0,0,0,2,0,0,1,1,-4.0,-4.0,60.2,MIA,DST,11,2019
