rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,New England Patriots,1,4,2,1,0,1,0,1,25.0,25.0,93.2,NE,DST,7,2019
2,Kansas City Chiefs,9,0,1,3,1,0,0,1,24.0,24.0,45.7,KC,DST,7,2019
3,Los Angeles Rams,5,1,2,3,1,0,0,1,21.0,21.0,74.5,LAR,DST,7,2019
4,Baltimore Ravens,1,1,1,0,2,0,0,1,18.0,18.0,51.9,BAL,DST,7,2019
5,Jacksonville Jaguars,2,3,1,1,1,0,0,1,17.0,17.0,6.9,JAC,DST,7,2019
6,Arizona Cardinals,8,1,2,3,0,0,0,1,15.0,15.0,60.9,ARI,DST,7,2019
7,San Francisco 49ers,3,0,1,1,0,0,0,1,15.0,15.0,79.5,SF,DST,7,2019
8,Dallas Cowboys,3,1,3,3,0,0,0,1,15.0,15.0,82.9,DAL,DST,7,2019
9,Indianapolis Colts,3,2,0,0,0,1,0,1,9.0,9.0,66.4,IND,DST,7,2019
10,New York Giants,2,0,0,0,0,0,0,1,8.0,8.0,4.5,NYG,DST,7,2019
11,New Orleans Saints,2,0,2,2,0,1,0,1,8.0,8.0,79.3,NO,DST,7,2019
12,Washington Commanders,2,1,0,0,0,0,0,1,8.0,8.0,27.5,WAS,DST,7,2019
13,Buffalo Bills,1,1,1,2,0,0,1,1,5.0,5.0,95.9,BUF,DST,7,2019
14,Tennessee Titans,1,0,1,2,0,0,0,1,4.0,4.0,48.4,TEN,DST,7,2019
15,Los Angeles Chargers,2,1,0,1,0,0,0,1,4.0,4.0,44.3,LAC,DST,7,2019
16,Minnesota Vikings,2,1,0,0,0,0,0,1,3.0,3.0,28.0,MIN,DST,7,2019
17,Houston Texans,1,0,1,0,0,0,0,1,2.0,2.0,6.4,HOU,DST,7,2019
18,Green Bay Packers,0,1,0,1,0,0,0,1,2.0,2.0,60.6,GB,DST,7,2019
19,Seattle Seahawks,1,0,0,1,0,0,0,1,2.0,2.0,39.4,SEA,DST,7,2019
20,Cincinnati Bengals,2,0,0,0,0,0,0,1,2.0,2.0,14.7,CIN,DST,7,2019
21,Philadelphia Eagles,3,1,0,1,0,0,0,1,1.0,1.0,52.5,PHI,DST,7,2019
22,Miami Dolphins,2,0,0,0,0,0,0,1,1.0,1.0,60.2,MIA,DST,7,2019
23,Denver Broncos,1,0,0,0,0,0,0,1,1.0,1.0,48.5,DEN,DST,7,2019
24,New York Jets,0,1,0,0,0,0,0,1,1.0,1.0,3.3,NYJ,DST,7,2019
25,Pittsburgh Steelers,0,0,0,0,0,0,0,0,0.0,0.0,44.6,PIT,DST,7,2019
26,Cleveland Browns,0,0,0,0,0,0,0,0,0.0,0.0,40.8,CLE,DST,7,2019
27,Carolina Panthers,0,0,0,0,0,0,0,0,0.0,0.0,27.8,CAR,DST,7,2019
28,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0.0,0.0,98.0,TB,DST,7,2019
29,Atlanta Falcons,0,0,0,0,0,0,0,1,-1.0,-1.0,5.8,ATL,DST,7,2019
30,Chicago Bears,1,0,0,0,0,0,1,1,-3.0,-3.0,35.9,CHI,DST,7,2019
31,Las Vegas Raiders,1,0,0,0,0,0,0,1,-3.0,-3.0,7.6,LV,DST,7,2019
32,Detroit Lions,0,0,0,2,0,0,0,1,-4.0,-4.0,1.1,DET,DST,7,2019
