rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,New England Patriots,5,4,0,2,0,0,1,1,29.0,29.0,93.2,NE,DST,4,2019
2,New York Giants,3,4,0,0,1,0,0,1,24.0,24.0,4.5,NYG,DST,4,2019
3,Pittsburgh Steelers,8,1,1,2,0,0,0,1,19.0,19.0,44.6,PIT,DST,4,2019
4,Chicago Bears,6,0,2,3,0,0,0,1,17.0,17.0,35.9,CHI,DST,4,2019
5,Seattle Seahawks,4,1,0,0,1,0,0,1,16.0,16.0,39.4,SEA,DST,4,2019
6,Tampa Bay Buccaneers,2,3,1,1,1,0,0,1,15.0,15.0,98.0,TB,DST,4,2019
7,Carolina Panthers,6,1,1,1,0,0,0,1,14.0,14.0,27.8,CAR,DST,4,2019
8,Kansas City Chiefs,4,0,2,2,1,0,0,1,13.0,13.0,45.7,KC,DST,4,2019
9,Tennessee Titans,5,0,1,1,0,0,0,1,11.0,11.0,48.4,TEN,DST,4,2019
10,New Orleans Saints,1,1,2,2,0,0,0,1,11.0,11.0,79.3,NO,DST,4,2019
11,Dallas Cowboys,5,1,0,0,0,0,0,1,11.0,11.0,82.9,DAL,DST,4,2019
12,Los Angeles Chargers,5,1,0,2,0,0,0,1,11.0,11.0,44.3,LAC,DST,4,2019
13,Cleveland Browns,4,2,1,1,0,0,0,1,10.0,10.0,40.8,CLE,DST,4,2019
14,Las Vegas Raiders,0,1,1,1,1,0,0,1,10.0,10.0,7.6,LV,DST,4,2019
15,Houston Texans,3,0,3,3,0,0,0,1,10.0,10.0,6.4,HOU,DST,4,2019
16,Washington Commanders,0,2,2,2,0,0,0,1,9.0,9.0,27.5,WAS,DST,4,2019
17,Buffalo Bills,0,1,0,1,0,0,0,1,9.0,9.0,95.9,BUF,DST,4,2019
18,Los Angeles Rams,2,1,0,0,1,0,0,1,6.0,6.0,74.5,LAR,DST,4,2019
19,Philadelphia Eagles,1,1,1,1,0,0,0,1,5.0,5.0,52.5,PHI,DST,4,2019
20,Denver Broncos,5,0,0,1,0,0,0,1,5.0,5.0,48.5,DEN,DST,4,2019
21,Detroit Lions,0,0,3,2,0,0,0,1,5.0,5.0,1.1,DET,DST,4,2019
22,Arizona Cardinals,4,0,0,3,0,0,0,1,4.0,4.0,60.9,ARI,DST,4,2019
23,Indianapolis Colts,1,0,1,0,0,0,0,1,3.0,3.0,66.4,IND,DST,4,2019
24,Minnesota Vikings,1,0,0,0,0,0,0,1,2.0,2.0,28.0,MIN,DST,4,2019
25,Jacksonville Jaguars,0,1,0,0,0,0,0,1,2.0,2.0,6.9,JAC,DST,4,2019
26,Cincinnati Bengals,0,0,1,1,0,0,0,1,2.0,2.0,14.7,CIN,DST,4,2019
27,New York Jets,0,0,0,0,0,0,0,0,0.0,0.0,3.3,NYJ,DST,4,2019
28,Atlanta Falcons,0,0,0,3,0,0,0,1,0.0,0.0,5.8,ATL,DST,4,2019
29,San Francisco 49ers,0,0,0,0,0,0,0,0,0.0,0.0,79.5,SF,DST,4,2019
30,Miami Dolphins,1,0,0,0,0,0,0,1,0.0,0.0,60.2,MIA,DST,4,2019
31,Green Bay Packers,0,0,0,0,0,0,0,1,-1.0,-1.0,60.6,GB,DST,4,2019
32,Baltimore Ravens,1,1,0,0,0,0,0,1,-1.0,-1.0,51.9,BAL,DST,4,2019
