rank,player,passing_cmp,passing_att,passing_pct,passing_yds,passing_ya,passing_td,passing_int,passing_sacks,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Aaron Rodgers,18,27,66.7,315,11.7,6,0,0,0,0,0,0,1,36.6,36.6,97.4,GB,QB,10,2014
2,Josh McCown,27,43,62.8,301,7.0,2,2,4,5,39,0,0,1,19.9,19.9,0.0,FA,QB,10,2014
3,Russell Wilson,10,17,58.8,172,10.1,0,2,2,14,107,1,0,1,19.6,19.6,90.4,SEA,QB,10,2014
4,Drew Brees,28,47,59.6,292,6.2,3,2,2,2,7,0,1,1,18.4,18.4,35.7,FA,QB,10,2014
5,Matthew Stafford,25,40,62.5,280,7.0,2,1,3,2,-1,0,0,1,17.1,17.1,97.2,LAR,QB,10,2014
6,Matt Ryan,20,31,64.5,219,7.1,1,0,1,3,9,0,0,1,15.7,15.7,36.3,ATL,QB,10,2014
7,Alex Smith,17,29,58.6,177,6.1,0,0,6,4,25,1,0,1,15.6,15.6,5.0,FA,QB,10,2014
8,Ben Roethlisberger,30,43,69.8,343,8.0,1,2,2,1,0,0,0,1,13.7,13.7,23.8,FA,QB,10,2014
9,Cam Newton,25,40,62.5,306,7.7,2,3,9,2,6,0,1,1,12.8,12.8,20.3,CAR,QB,10,2014
10,Blake Bortles,22,37,59.5,290,7.8,0,1,4,3,3,0,0,1,11.9,11.9,0.1,NO,QB,10,2014
11,Joe Flacco,16,27,59.3,169,6.3,1,0,1,3,-2,0,0,1,10.6,10.6,0.3,NYJ,QB,10,2014
12,Ryan Tannehill,27,38,71.1,207,5.4,1,1,3,2,0,0,0,1,10.3,10.3,62.7,TEN,QB,10,2014
13,Brian Hoyer,15,23,65.2,198,8.6,0,0,0,4,1,0,0,1,8.0,8.0,0.0,NE,QB,10,2014
14,Drew Stanton,3,5,60.0,85,17.0,1,0,0,2,3,0,0,1,7.7,7.7,0.0,FA,QB,10,2014
15,Joe Webb III,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,1.6,1.6,0.0,FA,QB,10,2014
16,Reid Sinnett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PHI,QB,10,2014
17,Jalen Morton,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,QB,10,2014
18,Justin Fields,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,21.0,CHI,QB,10,2014
19,Chris Streveler,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MIA,QB,10,2014
20,Trevor Lawrence,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,23.9,JAC,QB,10,2014
21,Kyle Trask,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TB,QB,10,2014
22,Sam Ehlinger,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,IND,QB,10,2014
23,Ben DiNucci,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,QB,10,2014
24,Trey Lance,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,26.3,SF,QB,10,2014
25,Feleipe Franks,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,QB,10,2014
26,Ian Book,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,NO,QB,10,2014
27,Brian Lewerke,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYG,QB,10,2014
28,Mac Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,28.5,NE,QB,10,2014
