rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,LeSean McCoy,27,38,1.4,11,0,2,3,6,33,11.0,0,0,1,19.1,19.1,2.0,PHI,RB,14,2011
2,Frank Gore,10,72,7.2,37,0,1,0,1,0,0.0,0,0,1,13.2,13.2,12.2,SF,RB,14,2011
152,Bruce Miller,0,0,0.0,0,0,0,2,2,5,2.5,0,0,1,0.0,0.0,0.0,SF,RB,14,2011
155,Da'Rel Scott,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,NYG,RB,14,2011
156,Shaun Chapas,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,DAL,RB,14,2011
157,Evan Royster,6,44,7.3,15,0,0,2,2,6,3.0,0,0,1,0.0,0.0,0.0,WAS,RB,14,2011
158,Dion Lewis,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,2.0,PHI,RB,14,2011
159,Anthony Sherman,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,ARI,RB,14,2011
160,Bilal Powell,6,10,1.7,4,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,NYJ,RB,14,2011
161,Taiwan Jones,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,OAK,RB,14,2011
162,Owen Marecic,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,CLE,RB,14,2011
163,Roy Helu,27,126,4.7,26,0,0,2,3,6,3.0,0,0,1,0.0,0.0,0.0,WAS,RB,14,2011
164,Stevan Ridley,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,NE,RB,14,2011
165,Henry Hynoski,0,0,0.0,0,0,0,2,3,12,6.0,0,0,1,0.0,0.0,0.0,NYG,RB,14,2011
166,Jed Collins,0,0,0.0,0,0,0,2,2,4,2.0,0,0,1,0.0,0.0,0.0,NO,RB,14,2011
167,Alfonso Smith,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,ARI,RB,14,2011
169,DuJuan Harris,1,24,24.0,24,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,JAC,RB,14,2011
173,Isaac Redman,6,35,5.8,11,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,PIT,RB,14,2011
174,John Conner,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,NYJ,RB,14,2011
176,Keiland Williams,12,43,3.6,8,0,0,2,2,17,8.5,0,0,1,0.0,0.0,0.0,DET,RB,14,2011
177,Jeremiah Johnson,2,18,9.0,14,0,0,2,2,11,5.5,0,0,1,0.0,0.0,0.0,DEN,RB,14,2011
178,Lance Ball,1,13,13.0,13,0,0,4,6,37,9.3,0,0,1,0.0,0.0,0.0,DEN,RB,14,2011
179,Chris Ivory,13,53,4.1,25,0,0,0,1,0,0.0,0,0,1,0.0,0.0,0.0,NO,RB,14,2011
180,Spencer Larsen,1,5,5.0,5,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,DEN,RB,14,2011
181,Cedric Peerman,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,CIN,RB,14,2011
