player,passing_att,passing_cmp,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,fumbles_lost,fantasy_points,team,week,position
Trevor SiemianNO,0.0,0.0,17.1,0.0,0.1,0.0,1.0,0.0,0.0,0.9,NO,4,QB
David BloughDET,1.5,0.9,10.5,0.1,0.0,0.2,0.9,0.0,0.0,0.9,DET,4,QB
Cooper RushDAL,1.2,0.8,11.2,0.1,0.0,0.1,0.1,0.0,0.0,0.7,DAL,4,QB
Jordan LoveGB,0.7,0.4,12.0,0.1,0.1,0.2,0.1,0.0,0.0,0.7,GB,4,QB
Drew LockDEN,0.9,0.6,9.1,0.1,0.0,0.1,0.3,0.0,0.0,0.6,DEN,4,QB
Kyle AllenWAS,0.8,0.5,10.4,0.1,0.0,0.1,0.2,0.0,0.0,0.6,WAS,4,QB
Reid SinnettPHI,1.1,0.7,11.3,0.0,0.0,0.1,0.2,0.0,0.0,0.6,PHI,4,QB
C.J. BeathardJAC,0.8,0.4,9.2,0.1,0.0,0.1,0.3,0.0,0.0,0.6,JAC,4,QB
Brandon AllenCIN,0.7,0.5,9.9,0.1,0.0,0.2,0.4,0.0,0.0,0.6,CIN,4,QB
Joe FlaccoNYJ,1.1,0.6,9.1,0.0,0.0,0.2,0.6,0.0,0.0,0.6,NYJ,4,QB
Mitchell TrubiskyBUF,0.8,0.6,7.9,0.0,0.0,0.2,0.5,0.0,0.0,0.6,BUF,4,QB
Brian HoyerNE,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,NE,4,QB
Chase DanielLAC,0.9,0.6,6.3,0.1,0.0,0.2,0.6,0.0,0.0,0.5,LAC,4,QB
Tyler HuntleyBAL,0.6,0.4,8.0,0.0,0.0,0.2,1.0,0.0,0.0,0.5,BAL,4,QB
Chad HenneKC,0.8,0.5,5.9,0.1,0.0,0.1,0.6,0.0,0.0,0.5,KC,4,QB
Case KeenumCLE,0.7,0.5,5.4,0.1,0.0,0.1,0.4,0.0,0.0,0.5,CLE,4,QB
Blaine GabbertTB,0.8,0.5,6.1,0.1,0.0,0.1,0.1,0.0,0.0,0.5,TB,4,QB
Josh RosenATL,0.8,0.5,4.8,0.1,0.0,0.1,0.5,0.0,0.0,0.4,ATL,4,QB
Colt McCoyARI,0.7,0.5,4.8,0.1,0.0,0.1,0.4,0.0,0.0,0.4,CoyARI,4,QB
Mason RudolphPIT,0.8,0.5,4.8,0.1,0.0,0.1,0.4,0.0,0.0,0.4,PIT,4,QB
P.J. WalkerCAR,0.7,0.5,5.3,0.1,0.0,0.2,0.1,0.0,0.0,0.4,CAR,4,QB
John WolfordLAR,0.8,0.5,7.4,0.0,0.0,0.2,0.7,0.0,0.0,0.4,LAR,4,QB
Geno SmithSEA,0.7,0.4,4.6,0.1,0.0,0.1,0.1,0.0,0.0,0.4,SEA,4,QB
Sean MannionMIN,0.5,0.3,3.8,0.0,0.0,0.1,0.1,0.0,0.0,0.2,MIN,4,QB
Logan WoodsideTEN,0.4,0.3,2.6,0.0,0.0,0.2,0.4,0.0,0.0,0.1,TEN,4,QB
Mike GlennonNYG,0.7,0.4,4.0,0.0,0.0,0.1,0.5,0.0,0.1,0.0,NYG,4,QB
Tim BoyleDET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,4,QB
Deshaun WatsonHOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,4,QB
Andy DaltonCHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,4,QB
Jacob EasonSEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,4,QB
Gardner Minshew IIPHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IPHI,4,QB
Mike WhiteNYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,4,QB
Garrett GilbertWAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,4,QB
Kellen MondMIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,4,QB
Tua TagovailoaMIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,4,QB
Josh AllenBUF,38.1,24.7,287.5,2.2,0.7,7.0,36.0,0.4,0.3,24.9,BUF,5,QB
Kyler MurrayARI,34.5,23.4,262.6,1.9,0.9,7.0,39.3,0.5,0.1,24.2,ARI,5,QB
Lamar JacksonBAL,29.2,18.3,235.5,1.7,0.8,10.0,60.1,0.5,0.3,23.7,BAL,5,QB
Patrick Mahomes IIKC,37.3,24.6,294.1,2.4,0.7,4.1,21.1,0.2,0.1,23.7,IKC,5,QB
Dak PrescottDAL,36.4,25.6,286.6,2.2,0.8,4.1,18.2,0.2,0.2,22.3,DAL,5,QB
Jalen HurtsPHI,34.7,21.1,241.3,1.5,0.8,8.2,47.2,0.3,0.2,21.1,PHI,5,QB
Kirk CousinsMIN,32.8,22.4,288.5,2.4,0.7,1.9,7.2,0.1,0.2,21.0,MIN,5,QB
Matthew StaffordLAR,37.6,24.8,299.7,2.2,0.8,2.3,8.5,0.1,0.2,21.0,LAR,5,QB
Russell WilsonSEA,33.3,22.2,263.4,2.0,0.5,4.2,23.6,0.2,0.3,20.8,SEA,5,QB
Justin HerbertLAC,38.5,24.7,277.0,2.0,0.8,3.7,15.1,0.2,0.2,20.5,LAC,5,QB
Trey LanceSF,33.3,21.2,244.2,1.4,0.9,6.8,36.6,0.4,0.2,20.4,SF,5,QB
Aaron RodgersGB,34.9,23.6,274.1,2.1,0.5,2.3,10.6,0.1,0.1,20.2,GB,5,QB
Daniel JonesNYG,37.0,23.6,269.5,1.6,1.0,5.5,33.0,0.2,0.3,19.9,NYG,5,QB
Sam DarnoldCAR,35.5,23.1,258.6,1.7,0.8,4.3,18.2,0.3,0.2,19.7,CAR,5,QB
Ryan TannehillTEN,33.6,22.7,270.4,1.7,0.6,3.7,18.3,0.2,0.2,19.5,TEN,5,QB
Joe BurrowCIN,33.1,22.0,258.5,2.0,0.8,2.9,12.3,0.1,0.1,19.4,CIN,5,QB
Derek CarrLV,35.0,23.1,285.7,1.9,0.8,2.6,9.0,0.1,0.2,19.3,LV,5,QB
Trevor LawrenceJAC,35.1,21.9,248.0,1.7,1.1,3.7,18.0,0.1,0.1,17.9,JAC,5,QB
Mac JonesNE,34.3,23.9,261.1,1.7,0.7,2.5,10.6,0.1,0.1,17.8,NE,5,QB
Matt RyanATL,37.8,25.0,266.6,1.8,0.7,1.8,6.3,0.1,0.2,17.5,ATL,5,QB
Jared GoffDET,37.7,24.5,277.4,1.6,0.9,2.7,9.8,0.1,0.3,17.4,DET,5,QB
Taylor HeinickeWAS,34.6,22.2,247.4,1.5,1.2,4.5,19.8,0.1,0.1,17.3,WAS,5,QB
Justin FieldsCHI,34.2,21.4,218.4,1.2,1.0,5.6,27.7,0.2,0.2,16.4,CHI,5,QB
Baker MayfieldCLE,32.2,20.6,240.9,1.4,0.8,3.7,14.7,0.1,0.1,16.3,CLE,5,QB
Zach WilsonNYJ,33.7,20.9,243.8,1.4,1.1,2.5,11.1,0.1,0.1,15.8,NYJ,5,QB
Teddy BridgewaterDEN,34.4,22.4,251.5,1.1,0.7,3.5,14.6,0.1,0.1,15.7,DEN,5,QB
Carson WentzIND,35.3,22.2,239.0,1.3,0.8,3.4,14.7,0.1,0.3,15.7,IND,5,QB
Jacoby BrissettMIA,37.2,23.6,239.9,1.3,0.8,3.6,13.6,0.2,0.2,15.7,MIA,5,QB
Jameis WinstonNO,30.3,18.7,217.5,1.5,0.9,3.6,16.2,0.1,0.1,15.6,NO,5,QB
Davis MillsHOU,31.8,18.9,213.2,1.0,1.2,2.2,7.8,0.0,0.2,11.8,HOU,5,QB
Taysom HillNO,1.9,1.2,11.7,0.0,0.0,3.6,17.0,0.2,0.0,3.4,NO,5,QB
Nate SudfeldSF,0.0,0.0,22.5,0.1,0.1,0.0,0.6,0.0,0.0,1.2,SF,5,QB
Jordan LoveGB,1.3,0.9,18.5,0.1,0.1,0.2,0.1,0.0,0.0,1.1,GB,5,QB
Brian HoyerNE,1.5,1.1,17.0,0.1,0.0,0.2,0.3,0.0,0.0,1.0,NE,5,QB
Mitchell TrubiskyBUF,1.5,1.0,11.3,0.1,0.0,0.3,1.4,0.0,0.0,1.0,BUF,5,QB
David BloughDET,1.5,1.0,10.9,0.1,0.0,0.2,1.0,0.0,0.0,0.9,DET,5,QB
Chad HenneKC,1.5,0.9,10.1,0.1,0.0,0.2,1.1,0.0,0.0,0.9,KC,5,QB
Joe FlaccoNYJ,1.4,0.9,9.4,0.1,0.0,0.2,1.2,0.0,0.0,0.9,NYJ,5,QB
Blaine GabbertTB,1.7,0.9,13.6,0.1,0.0,0.2,0.2,0.0,0.0,0.9,TB,5,QB
Josh RosenATL,1.6,1.0,9.5,0.1,0.0,0.2,0.8,0.0,0.0,0.9,ATL,5,QB
Drew LockDEN,1.4,0.8,12.8,0.1,0.1,0.3,0.6,0.0,0.0,0.8,DEN,5,QB
P.J. WalkerCAR,1.4,0.9,10.5,0.1,0.0,0.3,0.2,0.0,0.0,0.8,CAR,5,QB
Chase DanielLAC,1.6,1.0,10.8,0.1,0.1,0.3,1.0,0.0,0.0,0.8,LAC,5,QB
Case KeenumCLE,1.2,0.8,8.7,0.1,0.0,0.1,0.8,0.0,0.0,0.8,CLE,5,QB
Mason RudolphPIT,1.6,1.0,8.7,0.1,0.0,0.2,0.7,0.0,0.0,0.8,PIT,5,QB
Brandon AllenCIN,1.3,0.9,11.2,0.1,0.0,0.3,0.6,0.0,0.0,0.8,CIN,5,QB
C.J. BeathardJAC,1.5,0.8,10.6,0.1,0.0,0.2,0.5,0.0,0.0,0.8,JAC,5,QB
Kyle AllenWAS,1.5,0.9,13.2,0.1,0.1,0.1,0.2,0.0,0.0,0.8,WAS,5,QB
Colt McCoyARI,1.4,0.9,10.0,0.1,0.1,0.2,0.5,0.0,0.0,0.8,CoyARI,5,QB
Andy DaltonCHI,1.8,1.2,12.3,0.1,0.1,0.1,0.4,0.0,0.0,0.7,CHI,5,QB
Mike GlennonNYG,1.4,0.9,10.2,0.1,0.0,0.2,1.2,0.0,0.1,0.7,NYG,5,QB
Cooper RushDAL,1.1,0.7,11.0,0.1,0.0,0.1,0.2,0.0,0.0,0.7,DAL,5,QB
Geno SmithSEA,1.2,0.8,10.8,0.1,0.0,0.2,0.1,0.0,0.0,0.7,SEA,5,QB
Tyler HuntleyBAL,1.2,0.8,12.3,0.0,0.0,0.3,0.9,0.0,0.0,0.7,BAL,5,QB
Trevor SiemianNO,0.0,0.0,15.4,0.0,0.1,0.0,0.0,0.0,0.0,0.7,NO,5,QB
Jeff DriskelHOU,0.0,0.0,13.7,0.0,0.1,0.0,0.1,0.0,0.0,0.6,HOU,5,QB
John WolfordLAR,1.6,0.9,11.9,0.0,0.0,0.2,0.5,0.0,0.0,0.6,LAR,5,QB
Reid SinnettPHI,1.1,0.7,11.5,0.0,0.0,0.1,0.2,0.0,0.0,0.6,PHI,5,QB
Logan WoodsideTEN,0.8,0.6,6.2,0.0,0.0,0.3,0.8,0.0,0.0,0.3,TEN,5,QB
Jacob EasonSEA,1.4,0.7,6.6,0.0,0.0,0.1,0.2,0.0,0.0,0.3,SEA,5,QB
Sean MannionMIN,0.6,0.3,4.9,0.0,0.0,0.1,0.1,0.0,0.0,0.2,MIN,5,QB
Josh AllenBUF,37.1,24.3,294.9,2.5,0.8,7.2,36.2,0.4,0.2,26.3,BUF,6,QB
Patrick Mahomes IIKC,38.4,25.7,314.1,2.8,0.7,5.1,26.6,0.1,0.1,26.2,IKC,6,QB
Lamar JacksonBAL,32.1,20.8,247.2,1.8,0.8,9.4,61.8,0.4,0.3,24.1,BAL,6,QB
Kyler MurrayARI,34.7,22.9,264.3,1.8,0.9,6.3,33.3,0.5,0.1,22.5,ARI,6,QB
Justin HerbertLAC,39.9,26.5,304.2,2.1,0.6,3.8,15.9,0.2,0.2,22.3,LAC,6,QB
Jalen HurtsPHI,36.8,23.3,260.4,1.6,0.9,7.7,40.8,0.4,0.2,22.3,PHI,6,QB
Dak PrescottDAL,34.8,23.6,275.6,2.1,0.8,3.8,16.8,0.1,0.2,20.6,DAL,6,QB
Matthew StaffordLAR,35.6,24.3,289.9,2.2,0.7,2.2,8.4,0.1,0.2,20.6,LAR,6,QB
Joe BurrowCIN,31.7,21.6,274.2,2.0,0.8,3.3,12.3,0.1,0.2,20.1,CIN,6,QB
Aaron RodgersGB,34.8,23.3,278.1,2.1,0.5,2.0,9.2,0.0,0.1,19.9,GB,6,QB
Taylor HeinickeWAS,34.9,22.3,256.7,1.8,1.1,5.1,25.5,0.2,0.1,19.5,WAS,6,QB
Trevor LawrenceJAC,34.5,22.0,248.7,1.6,1.1,4.6,21.8,0.2,0.2,18.4,JAC,6,QB
Carson WentzIND,33.7,21.8,251.6,1.8,0.8,3.5,15.5,0.1,0.3,18.3,IND,6,QB
Sam DarnoldCAR,36.9,23.3,258.7,1.5,0.9,4.0,17.2,0.3,0.2,18.2,CAR,6,QB
Teddy BridgewaterDEN,34.5,22.8,245.1,1.6,0.6,3.2,15.1,0.1,0.1,17.5,DEN,6,QB
Tua TagovailoaMIA,35.5,23.3,254.8,1.5,0.8,3.8,14.0,0.2,0.1,17.4,MIA,6,QB
Kirk CousinsMIN,33.3,22.5,256.5,1.8,0.7,1.5,6.1,0.0,0.1,17.2,MIN,6,QB
Ryan TannehillTEN,34.5,22.0,245.5,1.5,0.9,3.4,16.9,0.1,0.2,16.8,TEN,6,QB
Baker MayfieldCLE,33.1,20.9,246.1,1.5,0.8,3.6,14.8,0.1,0.1,16.8,CLE,6,QB
Daniel JonesNYG,34.6,21.6,236.8,1.1,1.0,5.1,29.6,0.2,0.3,16.8,NYG,6,QB
Jared GoffDET,37.8,24.6,270.9,1.5,0.9,2.5,9.0,0.1,0.3,16.7,DET,6,QB
Mac JonesNE,36.7,25.2,270.5,1.5,1.0,1.9,8.0,0.1,0.1,16.7,NE,6,QB
Derek CarrLV,35.3,22.6,266.2,1.4,0.8,2.6,8.5,0.1,0.2,16.4,LV,6,QB
Geno SmithSEA,33.4,21.7,247.5,1.2,1.1,3.0,15.6,0.1,0.2,15.4,SEA,6,QB
Justin FieldsCHI,29.7,18.6,193.5,1.2,0.9,4.7,22.5,0.2,0.2,14.7,CHI,6,QB
Davis MillsHOU,30.7,19.7,234.6,1.2,1.3,1.8,5.6,0.0,0.1,13.6,HOU,6,QB
Mike GlennonNYG,8.9,5.4,36.5,0.2,0.2,0.5,0.6,0.0,0.1,2.1,NYG,6,QB
Jacoby BrissettMIA,1.5,1.0,20.9,0.1,0.0,0.2,0.6,0.0,0.0,1.4,MIA,6,QB
Jeff DriskelHOU,0.0,0.0,28.3,0.1,0.1,0.0,0.2,0.0,0.0,1.3,HOU,6,QB
Blaine GabbertTB,1.6,1.0,15.9,0.1,0.0,0.2,0.5,0.0,0.0,1.1,TB,6,QB
Chase DanielLAC,1.6,1.0,11.9,0.1,0.0,0.3,1.0,0.0,0.0,1.0,LAC,6,QB
Chad HenneKC,1.5,0.9,11.3,0.1,0.0,0.2,1.2,0.0,0.0,1.0,KC,6,QB
Brandon AllenCIN,1.4,0.9,16.1,0.1,0.0,0.2,0.5,0.0,0.0,1.0,CIN,6,QB
Jake LutonJAC,0.0,0.0,24.2,0.1,0.3,0.0,0.0,0.0,0.0,0.9,JAC,6,QB
David BloughDET,1.5,0.9,10.5,0.1,0.0,0.2,1.0,0.0,0.0,0.9,DET,6,QB
Drew LockDEN,1.4,0.9,13.5,0.1,0.0,0.3,0.7,0.0,0.0,0.9,DEN,6,QB
Mason RudolphPIT,1.5,1.0,10.2,0.1,0.0,0.3,0.8,0.0,0.0,0.9,PIT,6,QB
C.J. BeathardJAC,1.3,0.8,15.3,0.1,0.1,0.3,0.7,0.0,0.1,0.8,JAC,6,QB
Tyler HuntleyBAL,1.4,0.9,14.0,0.0,0.0,0.3,1.5,0.0,0.0,0.8,BAL,6,QB
Brian HoyerNE,1.4,1.0,13.9,0.1,0.1,0.3,0.4,0.0,0.0,0.8,NE,6,QB
Jordan LoveGB,1.4,0.9,16.1,0.0,0.1,0.3,0.2,0.0,0.0,0.8,GB,6,QB
Mitchell TrubiskyBUF,1.5,1.0,10.9,0.1,0.0,0.3,0.6,0.0,0.0,0.8,BUF,6,QB
Marcus MariotaLV,1.4,0.9,10.6,0.1,0.0,0.3,0.6,0.0,0.0,0.8,LV,6,QB
P.J. WalkerCAR,1.4,0.9,10.3,0.1,0.1,0.3,0.2,0.0,0.0,0.7,CAR,6,QB
Cooper RushDAL,1.0,0.6,11.9,0.1,0.1,0.1,0.2,0.0,0.0,0.7,DAL,6,QB
Case KeenumCLE,1.2,0.8,9.9,0.1,0.0,0.2,0.4,0.0,0.0,0.7,CLE,6,QB
Colt McCoyARI,1.4,0.9,10.9,0.1,0.0,0.2,0.3,0.0,0.0,0.7,CoyARI,6,QB
Kyle AllenWAS,1.4,0.9,10.3,0.1,0.1,0.1,0.3,0.0,0.0,0.7,WAS,6,QB
Andy DaltonCHI,1.5,0.9,9.9,0.1,0.1,0.1,0.3,0.0,0.0,0.6,CHI,6,QB
John WolfordLAR,1.4,0.9,11.5,0.0,0.0,0.2,0.5,0.0,0.0,0.6,LAR,6,QB
Logan WoodsideTEN,0.7,0.5,6.3,0.0,0.0,0.3,0.5,0.0,0.0,0.4,TEN,6,QB
Sean MannionMIN,0.6,0.3,3.6,0.0,0.0,0.1,0.1,0.0,0.0,0.2,MIN,6,QB
Kyler MurrayARI,33.9,23.8,285.1,2.5,0.6,7.6,41.3,0.5,0.2,27.2,ARI,7,QB
Patrick Mahomes IIKC,38.4,26.1,321.5,2.8,0.7,4.5,25.8,0.2,0.2,26.6,IKC,7,QB
Lamar JacksonBAL,32.5,21.1,252.1,1.8,0.9,9.9,58.9,0.4,0.3,24.2,BAL,7,QB
Matthew StaffordLAR,34.2,23.1,308.6,2.7,0.7,2.5,9.1,0.1,0.2,23.6,LAR,7,QB
Jalen HurtsPHI,36.9,22.6,249.6,1.4,0.9,9.0,50.4,0.6,0.2,22.8,PHI,7,QB
Aaron RodgersGB,34.4,23.5,281.4,2.4,0.5,2.3,10.3,0.1,0.1,21.6,GB,7,QB
Ryan TannehillTEN,33.0,21.4,260.8,1.8,0.8,3.6,18.7,0.3,0.2,20.3,TEN,7,QB
Derek CarrLV,36.3,24.5,292.2,1.9,0.8,2.4,8.1,0.1,0.2,19.3,LV,7,QB
Matt RyanATL,39.5,26.7,297.2,1.9,0.8,1.5,5.6,0.1,0.2,19.3,ATL,7,QB
Joe BurrowCIN,33.8,22.5,271.1,1.7,0.9,3.1,12.1,0.1,0.1,18.4,CIN,7,QB
Tua TagovailoaMIA,36.9,24.5,251.4,1.7,0.8,3.1,13.3,0.1,0.1,18.0,MIA,7,QB
Baker MayfieldCLE,30.0,17.0,246.0,2.0,1.0,3.0,8.0,0.0,0.0,17.6,CLE,7,QB
Sam DarnoldCAR,34.1,22.0,244.6,1.4,1.0,4.3,18.4,0.3,0.2,17.5,CAR,7,QB
Daniel JonesNYG,35.2,21.5,236.9,1.3,1.0,5.1,30.0,0.2,0.3,17.1,NYG,7,QB
Mac JonesNE,35.1,24.6,254.6,1.7,0.9,2.3,9.3,0.1,0.2,17.1,NE,7,QB
Taylor HeinickeWAS,35.2,22.6,236.5,1.4,1.2,4.8,23.0,0.1,0.1,16.8,WAS,7,QB
Jameis WinstonNO,30.8,19.3,232.3,1.5,1.0,4.4,19.4,0.1,0.2,16.6,NO,7,QB
Teddy BridgewaterDEN,33.3,21.3,241.8,1.6,0.7,2.9,12.3,0.1,0.2,16.6,DEN,7,QB
Jimmy GaroppoloSF,31.2,21.1,251.9,1.5,0.9,2.5,7.8,0.1,0.2,15.9,SF,7,QB
Carson WentzIND,32.4,20.2,227.1,1.4,0.8,3.2,13.4,0.1,0.2,15.5,IND,7,QB
Geno SmithSEA,32.8,20.9,232.1,1.3,1.1,2.6,12.2,0.0,0.2,14.4,SEA,7,QB
Case KeenumCLE,31.3,19.6,220.8,1.2,0.8,2.5,9.1,0.1,0.1,14.2,CLE,7,QB
Jared GoffDET,38.2,24.7,252.1,1.1,1.0,2.2,7.0,0.1,0.2,14.1,DET,7,QB
Justin FieldsCHI,30.9,19.3,203.3,1.0,1.1,4.7,20.8,0.1,0.2,13.6,CHI,7,QB
Davis MillsHOU,34.6,21.7,237.6,1.0,1.3,1.7,6.6,0.0,0.2,12.8,HOU,7,QB
Zach WilsonNYJ,31.9,19.0,218.1,1.0,1.3,1.9,8.1,0.0,0.1,12.3,NYJ,7,QB
Taysom HillNO,1.7,1.0,12.7,0.0,0.0,3.3,16.6,0.1,0.0,3.0,NO,7,QB
Nate SudfeldSF,0.0,0.0,25.2,0.1,0.1,0.0,0.7,0.0,0.0,1.4,SF,7,QB
Trey LanceSF,0.0,0.0,0.0,0.0,0.0,2.1,8.0,0.1,0.0,1.4,SF,7,QB
Jeff DriskelHOU,0.0,0.0,21.5,0.1,0.1,0.0,0.2,0.0,0.0,1.0,HOU,7,QB
Jacoby BrissettMIA,0.8,0.5,8.3,0.0,0.0,1.3,3.0,0.0,0.0,1.0,MIA,7,QB
Jordan LoveGB,1.3,0.9,16.6,0.1,0.1,0.3,0.1,0.0,0.0,1.0,GB,7,QB
Marcus MariotaLV,1.5,1.0,13.9,0.1,0.0,0.3,0.7,0.0,0.0,1.0,LV,7,QB
Josh RosenATL,1.6,1.0,11.7,0.1,0.0,0.2,0.9,0.0,0.0,1.0,ATL,7,QB
Brian HoyerNE,1.3,0.9,14.3,0.1,0.0,0.3,0.3,0.0,0.0,0.9,NE,7,QB
John WolfordLAR,1.4,0.9,13.7,0.1,0.0,0.3,0.6,0.0,0.0,0.9,LAR,7,QB
Blaine GabbertTB,1.6,1.0,14.0,0.1,0.0,0.2,0.3,0.0,0.0,0.9,TB,7,QB
Trevor SiemianNO,0.0,0.0,20.8,0.0,0.1,0.0,0.0,0.0,0.0,0.9,NO,7,QB
David BloughDET,1.4,0.9,9.3,0.1,0.0,0.2,0.8,0.0,0.0,0.9,DET,7,QB
Colt McCoyARI,1.4,1.0,13.8,0.1,0.0,0.2,0.1,0.0,0.0,0.8,CoyARI,7,QB
P.J. WalkerCAR,1.3,0.9,13.2,0.1,0.0,0.2,0.1,0.0,0.0,0.8,CAR,7,QB
Chad HenneKC,1.6,1.0,11.7,0.1,0.0,0.2,0.6,0.0,0.0,0.8,KC,7,QB
Drew LockDEN,1.4,0.8,11.9,0.1,0.1,0.3,0.6,0.0,0.0,0.8,DEN,7,QB
Tyler HuntleyBAL,1.3,0.8,13.4,0.0,0.0,0.3,1.3,0.0,0.0,0.7,BAL,7,QB
Joe FlaccoNYJ,1.4,0.9,9.5,0.1,0.0,0.2,0.6,0.0,0.0,0.7,NYJ,7,QB
Brandon AllenCIN,1.4,0.9,11.5,0.1,0.1,0.3,0.5,0.0,0.0,0.7,CIN,7,QB
Ian BookNO,0.9,0.6,6.2,0.1,0.0,0.1,0.2,0.0,0.0,0.7,NO,7,QB
Andy DaltonCHI,1.5,0.9,10.2,0.1,0.1,0.1,0.3,0.0,0.0,0.6,CHI,7,QB
Mike GlennonNYG,1.5,0.9,7.7,0.1,0.0,0.3,0.6,0.0,0.0,0.6,NYG,7,QB
Kyle AllenWAS,1.4,0.8,8.6,0.1,0.1,0.1,0.3,0.0,0.0,0.6,WAS,7,QB
Mike WhiteNYJ,0.0,0.0,8.8,0.0,0.1,0.0,0.0,0.0,0.0,0.4,NYJ,7,QB
Logan WoodsideTEN,0.7,0.5,6.6,0.0,0.0,0.3,0.6,0.0,0.0,0.4,TEN,7,QB
Josh AllenBUF,38.9,26.1,313.8,2.7,0.6,7.7,37.0,0.4,0.2,28.4,BUF,8,QB
Patrick Mahomes IIKC,38.0,25.7,300.6,2.4,0.9,5.3,29.1,0.1,0.2,24.2,IKC,8,QB
Dak PrescottDAL,36.5,24.4,287.3,2.4,0.6,4.2,20.2,0.2,0.3,23.3,DAL,8,QB
Jalen HurtsPHI,33.1,20.1,242.3,1.5,0.8,9.2,52.4,0.5,0.2,22.8,PHI,8,QB
Kyler MurrayARI,33.9,23.3,261.4,2.1,0.7,6.2,30.5,0.3,0.2,22.6,ARI,8,QB
Matthew StaffordLAR,34.9,23.6,297.7,2.5,0.7,2.0,7.6,0.1,0.1,22.2,LAR,8,QB
Justin HerbertLAC,39.7,26.2,293.1,2.1,0.8,3.7,15.8,0.2,0.1,21.5,LAC,8,QB
Kirk CousinsMIN,37.7,25.9,301.8,2.0,0.6,2.4,7.9,0.0,0.2,20.2,MIN,8,QB
Daniel JonesNYG,36.6,22.9,264.5,1.6,1.0,5.4,31.2,0.2,0.3,19.6,NYG,8,QB
Joe BurrowCIN,31.6,20.9,266.1,2.0,0.8,3.1,11.8,0.1,0.1,19.4,CIN,8,QB
Aaron RodgersGB,35.2,23.3,265.7,1.9,0.5,2.8,12.2,0.1,0.1,19.1,GB,8,QB
Jameis WinstonNO,32.9,20.8,243.9,1.9,0.9,4.2,18.8,0.1,0.3,18.3,NO,8,QB
Carson WentzIND,33.6,21.5,242.0,1.8,0.6,3.6,15.3,0.2,0.3,18.3,IND,8,QB
Ryan TannehillTEN,33.9,22.3,262.9,1.6,0.7,3.7,17.7,0.1,0.2,18.2,TEN,8,QB
Teddy BridgewaterDEN,35.1,23.6,264.1,1.7,0.9,2.7,11.3,0.1,0.1,17.9,DEN,8,QB
Tua TagovailoaMIA,39.0,25.7,254.1,1.6,1.1,4.0,16.2,0.1,0.1,17.5,MIA,8,QB
Jared GoffDET,36.6,24.5,250.9,1.8,0.9,2.0,5.6,0.0,0.2,16.6,DET,8,QB
Matt RyanATL,38.9,25.2,262.6,1.6,0.9,1.7,6.2,0.0,0.2,16.5,ATL,8,QB
Geno SmithSEA,27.1,19.0,229.4,1.5,0.8,2.9,13.1,0.1,0.2,16.2,SEA,8,QB
Taylor HeinickeWAS,32.6,20.4,238.5,1.1,1.3,6.1,28.7,0.1,0.1,16.0,WAS,8,QB
Baker MayfieldCLE,32.0,20.5,248.2,1.3,0.8,2.3,11.6,0.1,0.2,15.9,CLE,8,QB
Tyrod TaylorHOU,33.8,21.8,241.8,1.2,1.1,3.6,17.4,0.1,0.1,15.9,HOU,8,QB
Trevor LawrenceJAC,36.7,22.5,237.8,1.2,1.1,4.2,19.4,0.1,0.2,15.8,JAC,8,QB
Mac JonesNE,33.7,23.2,245.3,1.3,0.9,2.2,9.6,0.1,0.1,15.2,NE,8,QB
Sam DarnoldCAR,32.4,19.9,225.2,1.2,1.0,3.5,14.8,0.2,0.2,15.1,CAR,8,QB
Jimmy GaroppoloSF,29.9,19.5,230.2,1.4,0.9,2.2,7.0,0.1,0.2,14.7,SF,8,QB
Justin FieldsCHI,30.1,18.9,194.5,0.9,1.1,6.4,30.0,0.2,0.3,13.8,CHI,8,QB
Mike WhiteNYJ,34.4,22.1,236.2,1.2,1.3,2.0,6.7,0.0,0.2,13.6,NYJ,8,QB
Jordan LoveGB,33.0,21.3,185.3,1.0,0.7,3.4,12.7,0.1,0.2,12.0,GB,8,QB
Taysom HillNO,19.1,11.8,129.7,1.0,0.6,3.7,18.3,0.3,0.1,12.0,NO,8,QB
Davis MillsHOU,22.5,14.1,169.3,0.8,0.8,0.6,3.2,0.0,0.1,9.5,HOU,8,QB
Cooper RushDAL,18.6,11.7,153.8,0.8,0.7,1.7,6.6,0.1,0.1,9.5,DAL,8,QB
