player,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,week,position
Dan Arnold,1.8,22.6,0.1,0.0,3.0,JAC,4,TE
Maxx Williams,2.1,24.3,0.1,0.0,2.9,ARI,4,TE
Jordan Akins,2.2,23.6,0.1,0.0,2.9,HOU,4,TE
Hayden Hurst,1.9,19.6,0.1,0.0,2.7,ATL,4,TE
Harrison Bryant,1.6,18.4,0.1,0.0,2.6,CLE,4,TE
Juwan Johnson,1.7,19.8,0.1,0.0,2.6,NO,4,TE
Tommy Tremble,1.8,19.8,0.1,0.0,2.5,CAR,4,TE
Geoff Swaim,1.7,17.1,0.1,0.0,2.5,TEN,4,TE
Kyle Rudolph,1.7,17.0,0.1,0.0,2.4,NYG,4,TE
Ian Thomas,1.7,16.1,0.1,0.0,2.2,CAR,4,TE
Mo Alie-Cox,1.3,16.4,0.1,0.0,2.2,IND,4,TE
Tyler Kroft,1.6,15.2,0.1,0.0,2.2,NYJ,4,TE
Donald Parham Jr.,1.2,14.7,0.1,0.0,2.1,LAC,4,TE
Ryan Griffin,1.5,15.2,0.1,0.0,2.1,NYJ,4,TE
Jimmy Graham,1.1,13.0,0.1,0.0,1.7,CHI,4,TE
Jacob Hollister,1.4,12.9,0.1,0.0,1.6,JAC,4,TE
Colby Parkinson,0.9,9.2,0.1,0.0,1.6,SEA,4,TE
Tre' McKitty,0.9,9.1,0.1,0.0,1.5,LAC,4,TE
Tommy Hudson,0.8,9.8,0.1,0.0,1.5,TEN,4,TE
Foster Moreau,0.9,9.6,0.1,0.0,1.4,LV,4,TE
Garrett Griffin,0.6,8.0,0.1,0.0,1.4,NO,4,TE
Ricky Seals-Jones,0.8,11.9,0.1,0.1,1.4,WAS,4,TE
Durham Smythe,1.2,10.7,0.1,0.0,1.4,MIA,4,TE
Marcedes Lewis,0.9,10.4,0.1,0.0,1.3,GB,4,TE
Giovanni Ricci,0.7,7.3,0.1,0.0,1.3,CAR,4,TE
Drew Sample,1.1,10.3,0.1,0.0,1.3,CIN,4,TE
Chris Manhertz,0.9,10.3,0.0,0.0,1.2,JAC,4,TE
Chris Herndon IV,0.8,7.3,0.1,0.1,1.2,MIN,4,TE
Tommy Sweeney,0.9,8.7,0.1,0.0,1.2,BUF,4,TE
MyCole Pruitt,0.6,7.5,0.1,0.0,1.2,TEN,4,TE
Noah Gray,0.8,8.6,0.1,0.0,1.2,KC,4,TE
Jody Fortson,0.7,6.9,0.1,0.0,1.1,KC,4,TE
Luke Farrell,0.8,7.6,0.1,0.0,1.1,JAC,4,TE
Adam Shaheen,0.8,8.4,0.1,0.1,1.0,MIA,4,TE
Reggie Gilliam,0.5,4.8,0.1,0.0,1.0,BUF,4,TE
Ross Dwelley,0.6,7.7,0.0,0.0,1.0,SF,4,TE
Blake Bell,0.8,6.8,0.0,0.0,0.9,KC,4,TE
Stephen Anderson,0.7,6.3,0.1,0.0,0.9,LAC,4,TE
Josiah Deguara,0.7,6.9,0.0,0.0,0.9,GB,4,TE
Ben Ellefson,0.5,6.1,0.1,0.0,0.9,MIN,4,TE
Colin Thompson,0.6,5.6,0.1,0.0,0.9,CAR,4,TE
Josh Oliver,0.7,7.2,0.0,0.0,0.8,BAL,4,TE
Tyler Mabry,0.7,8.0,0.0,0.0,0.8,SEA,4,TE
John Bates,0.7,6.8,0.0,0.1,0.8,WAS,4,TE
Jacob Harris,0.5,4.3,0.1,0.0,0.7,LAR,4,TE
Andrew Beck,0.4,4.0,0.1,0.0,0.7,DEN,4,TE
Kaden Smith,0.6,5.7,0.0,0.0,0.7,NYG,4,TE
Eric Saubert,0.7,6.2,0.0,0.0,0.6,DEN,4,TE
Cethan Carter,0.3,2.4,0.1,0.0,0.5,MIA,4,TE
Zach Gentry,0.7,5.2,0.0,0.0,0.5,PIT,4,TE
Johnny Mundt,0.2,5.0,0.0,0.0,0.5,LAR,4,TE
Charlie Woerner,0.4,5.0,0.0,0.0,0.5,SF,4,TE
J.P. Holtz,0.4,4.7,0.0,0.0,0.5,CHI,4,TE
Derek Carrier,0.4,4.0,0.0,0.0,0.4,LV,4,TE
Kylen Granson,0.3,4.0,0.0,0.0,0.4,IND,4,TE
Jesse James,0.5,4.0,0.0,0.0,0.4,CHI,4,TE
Trevon Wesco,0.3,3.6,0.0,0.0,0.4,NYJ,4,TE
Demetrius Harris,0.3,3.0,0.0,0.0,0.3,ARI,4,TE
Deon Yelder,0.3,3.0,0.0,0.0,0.3,ARI,4,TE
Antony Auclair,0.3,3.0,0.0,0.0,0.3,HOU,4,TE
Nick Ralston,0.2,2.0,0.0,0.0,0.2,DAL,4,TE
Eric Tomlinson,0.2,2.0,0.0,0.0,0.2,BAL,4,TE
Mitchell Wilcox,0.2,2.0,0.0,0.0,0.2,CIN,4,TE
Hunter Long,0.0,2.0,0.0,0.0,0.2,MIA,4,TE
Jordan Franks,0.2,2.0,0.0,0.0,0.2,CLE,4,TE
Jack Stoll,0.2,2.0,0.0,0.0,0.2,PHI,4,TE
Daniel Brown,0.2,2.0,0.0,0.0,0.2,NYJ,4,TE
Darrell Daniels,0.2,1.6,0.0,0.0,0.2,ARI,4,TE
Jeremy Sprinkle,0.1,1.0,0.0,0.0,0.1,DAL,4,TE
James O'Shaughnessy,0.0,0.0,0.0,0.0,0.0,JAC,4,TE
Travis Kelce,6.6,84.2,0.7,0.1,12.6,KC,5,TE
Darren Waller,6.4,77.1,0.7,0.1,11.6,LV,5,TE
T.J. Hockenson,5.1,61.5,0.5,0.1,9.0,DET,5,TE
Mark Andrews,4.6,56.7,0.5,0.0,8.6,BAL,5,TE
Mike Gesicki,4.4,50.2,0.4,0.0,7.6,MIA,5,TE
Kyle Pitts,5.0,58.8,0.3,0.0,7.5,ATL,5,TE
Dalton Schultz,4.0,41.2,0.5,0.0,7.3,DAL,5,TE
Noah Fant,4.7,49.8,0.4,0.0,7.2,DEN,5,TE
Tyler Higbee,3.9,43.6,0.4,0.0,6.9,LAR,5,TE
Dallas Goedert,3.7,40.9,0.4,0.0,6.7,PHI,5,TE
Hunter Henry,3.4,37.9,0.4,0.0,6.3,NE,5,TE
Jared Cook,3.4,42.0,0.3,0.0,6.0,LAC,5,TE
Dawson Knox,3.3,37.4,0.3,0.0,5.5,BUF,5,TE
Robert Tonyan,3.2,35.1,0.3,0.0,5.3,GB,5,TE
Tyler Conklin,3.3,37.4,0.2,0.0,5.2,MIN,5,TE
Austin Hooper,3.2,33.8,0.3,0.0,4.9,CLE,5,TE
Cameron Brate,3.0,32.2,0.3,0.0,4.8,TB,5,TE
Anthony Firkser,3.0,34.9,0.2,0.0,4.6,TEN,5,TE
Evan Engram,3.5,35.7,0.2,0.1,4.4,NYG,5,TE
George Kittle,3.0,32.4,0.2,0.0,4.2,SF,5,TE
Hayden Hurst,2.8,29.9,0.2,0.0,4.2,ATL,5,TE
Zach Ertz,3.0,31.0,0.2,0.0,4.2,ARI,5,TE
Dan Arnold,2.4,31.3,0.2,0.0,4.1,JAC,5,TE
C.J. Uzomah,2.6,27.3,0.2,0.0,4.1,CIN,5,TE
Maxx Williams,2.7,29.3,0.2,0.0,4.1,ARI,5,TE
Jonnu Smith,2.8,28.1,0.2,0.0,4.0,NE,5,TE
Cole Kmet,2.8,28.5,0.2,0.0,3.9,CHI,5,TE
Ricky Seals-Jones,2.3,27.3,0.2,0.0,3.7,WAS,5,TE
Blake Jarwin,2.3,25.5,0.2,0.0,3.7,DAL,5,TE
Mo Alie-Cox,2.1,24.7,0.2,0.0,3.4,IND,5,TE
Will Dissly,2.2,24.9,0.1,0.0,3.4,SEA,5,TE
Ross Dwelley,2.3,23.9,0.1,0.0,3.3,SF,5,TE
O.J. Howard,1.7,22.6,0.2,0.0,3.2,TB,5,TE
Albert Okwuegbunam,2.3,23.9,0.1,0.0,3.2,DEN,5,TE
David Njoku,1.9,22.9,0.1,0.0,3.0,CLE,5,TE
Jack Doyle,2.1,23.0,0.1,0.0,3.0,IND,5,TE
Juwan Johnson,1.9,20.0,0.2,0.0,3.0,NO,5,TE
Pat Freiermuth,2.2,22.9,0.1,0.0,3.0,PIT,5,TE
Ryan Griffin,1.9,19.4,0.1,0.0,2.7,NYJ,5,TE
Adam Trautman,1.6,19.0,0.1,0.0,2.6,NO,5,TE
Jordan Akins,2.0,21.3,0.1,0.0,2.6,HOU,5,TE
Colby Parkinson,1.6,17.1,0.1,0.0,2.6,SEA,5,TE
Pharaoh Brown,1.7,19.5,0.1,0.0,2.5,HOU,5,TE
Kyle Rudolph,1.7,16.8,0.1,0.0,2.4,NYG,5,TE
Ian Thomas,1.8,16.4,0.1,0.0,2.3,CAR,5,TE
Geoff Swaim,1.2,13.4,0.1,0.0,2.0,TEN,5,TE
Harrison Bryant,1.3,14.0,0.1,0.0,1.9,CLE,5,TE
Donald Parham Jr.,1.2,13.1,0.1,0.0,1.8,LAC,5,TE
Tommy Tremble,1.3,13.6,0.1,0.0,1.8,CAR,5,TE
Kylen Granson,0.9,10.0,0.1,0.0,1.6,IND,5,TE
Marcedes Lewis,1.0,11.1,0.1,0.0,1.5,GB,5,TE
Jimmy Graham,1.1,12.1,0.0,0.0,1.5,CHI,5,TE
Jacob Hollister,1.0,10.6,0.1,0.0,1.5,JAC,5,TE
Tommy Sweeney,1.2,11.5,0.1,0.0,1.5,BUF,5,TE
MyCole Pruitt,0.8,8.8,0.1,0.0,1.4,TEN,5,TE
Foster Moreau,0.7,8.0,0.1,0.0,1.4,LV,5,TE
Chris Manhertz,0.8,8.9,0.1,0.0,1.3,JAC,5,TE
Giovanni Ricci,0.7,7.2,0.1,0.0,1.3,CAR,5,TE
John Bates,1.1,11.0,0.1,0.1,1.3,WAS,5,TE
Charlie Woerner,0.9,9.4,0.1,0.0,1.3,SF,5,TE
Tommy Hudson,0.7,7.9,0.1,0.0,1.3,TEN,5,TE
Durham Smythe,1.1,10.3,0.0,0.0,1.3,MIA,5,TE
Chris Herndon IV,0.9,9.4,0.1,0.1,1.2,MIN,5,TE
Eric Saubert,1.1,10.1,0.0,0.0,1.2,DEN,5,TE
Daniel Brown,0.8,8.9,0.1,0.0,1.2,NYJ,5,TE
Luke Farrell,0.8,8.2,0.1,0.0,1.1,JAC,5,TE
Jody Fortson,0.7,7.0,0.1,0.0,1.1,KC,5,TE
Adam Shaheen,0.7,7.5,0.1,0.0,1.1,MIA,5,TE
Josh Oliver,0.7,6.9,0.0,0.0,1.0,BAL,5,TE
Ben Ellefson,0.6,6.7,0.1,0.0,1.0,MIN,5,TE
Blake Bell,0.8,7.2,0.0,0.0,0.9,KC,5,TE
Stephen Anderson,0.7,7.4,0.0,0.0,0.8,LAC,5,TE
Jacob Harris,0.5,5.4,0.1,0.0,0.8,LAR,5,TE
Josiah Deguara,0.7,6.1,0.0,0.0,0.8,GB,5,TE
Colin Thompson,0.5,4.6,0.1,0.0,0.8,CAR,5,TE
Shane Zylstra,0.7,7.5,0.0,0.0,0.8,DET,5,TE
Andrew Beck,0.4,4.1,0.1,0.0,0.7,DEN,5,TE
Trevon Wesco,0.5,5.5,0.0,0.0,0.7,NYJ,5,TE
Tanner Hudson,0.6,6.5,0.0,0.0,0.7,SF,5,TE
Drew Sample,0.4,4.3,0.0,0.0,0.6,CIN,5,TE
Reggie Gilliam,0.5,4.8,0.0,0.0,0.6,BUF,5,TE
Johnny Mundt,0.5,6.0,0.0,0.0,0.6,LAR,5,TE
Garrett Griffin,0.5,5.0,0.0,0.0,0.5,NO,5,TE
Kaden Smith,0.5,4.3,0.0,0.0,0.4,NYG,5,TE
Antony Auclair,0.3,4.0,0.0,0.0,0.4,HOU,5,TE
Noah Gray,0.3,4.0,0.0,0.0,0.4,KC,5,TE
Zach Gentry,0.5,4.0,0.0,0.0,0.4,PIT,5,TE
Jesper Horsted,0.2,3.0,0.0,0.0,0.3,CHI,5,TE
Codey McElroy,0.3,3.0,0.0,0.0,0.3,TB,5,TE
Eric Tomlinson,0.3,3.0,0.0,0.0,0.3,BAL,5,TE
Mitchell Wilcox,0.1,2.0,0.0,0.0,0.2,CIN,5,TE
Jack Stoll,0.2,2.0,0.0,0.0,0.2,PHI,5,TE
Nick Bowers,0.2,2.0,0.0,0.0,0.2,LV,5,TE
Demetrius Harris,0.1,2.0,0.0,0.0,0.2,ARI,5,TE
Nick Ralston,0.2,2.0,0.0,0.0,0.2,DAL,5,TE
Darrell Daniels,0.2,2.0,0.0,0.0,0.2,ARI,5,TE
Tyler Mabry,0.2,2.0,0.0,0.0,0.2,SEA,5,TE
Cethan Carter,0.2,2.0,0.0,0.0,0.2,MIA,5,TE
Jeremy Sprinkle,0.0,1.0,0.0,0.0,0.1,DAL,5,TE
Travis Kelce,7.0,87.1,0.8,0.1,13.3,KC,6,TE
Mark Andrews,5.5,68.0,0.7,0.1,10.6,BAL,6,TE
Darren Waller,6.2,72.3,0.5,0.1,10.3,LV,6,TE
Mike Gesicki,4.6,57.8,0.5,0.0,8.7,MIA,6,TE
T.J. Hockenson,4.8,55.4,0.4,0.0,8.1,DET,6,TE
Dawson Knox,3.5,43.6,0.5,0.0,7.5,BUF,6,TE
Zach Ertz,4.7,46.9,0.5,0.0,7.4,ARI,6,TE
Dalton Schultz,4.1,46.5,0.4,0.0,7.2,DAL,6,TE
Hunter Henry,4.0,43.8,0.4,0.0,6.9,NE,6,TE
Noah Fant,4.7,48.9,0.3,0.0,6.8,DEN,6,TE
Jared Cook,3.5,44.3,0.3,0.0,6.3,LAC,6,TE
Ricky Seals-Jones,3.3,40.3,0.4,0.0,6.3,WAS,6,TE
Tyler Higbee,3.5,37.8,0.3,0.0,5.5,LAR,6,TE
Dan Arnold,3.2,40.3,0.2,0.1,5.2,JAC,6,TE
Robert Tonyan,2.8,31.4,0.3,0.0,4.7,GB,6,TE
Evan Engram,3.4,36.2,0.2,0.1,4.6,NYG,6,TE
David Njoku,2.6,32.7,0.2,0.0,4.3,CLE,6,TE
Mo Alie-Cox,2.3,27.1,0.2,0.0,4.1,IND,6,TE
Tyler Conklin,3.1,31.3,0.2,0.0,4.1,MIN,6,TE
Cameron Brate,2.7,26.9,0.2,0.0,4.0,TB,6,TE
Austin Hooper,2.9,29.1,0.2,0.0,4.0,CLE,6,TE
C.J. Uzomah,2.4,28.3,0.2,0.0,4.0,CIN,6,TE
Jonnu Smith,2.5,25.7,0.2,0.0,3.7,NE,6,TE
O.J. Howard,1.9,24.2,0.2,0.0,3.6,TB,6,TE
Cole Kmet,2.5,24.8,0.2,0.0,3.6,CHI,6,TE
Anthony Firkser,2.6,27.5,0.1,0.0,3.6,TEN,6,TE
Pat Freiermuth,2.3,24.7,0.2,0.0,3.5,PIT,6,TE
Jack Doyle,1.9,21.4,0.1,0.0,3.0,IND,6,TE
Pharaoh Brown,1.8,20.8,0.1,0.0,2.8,HOU,6,TE
Blake Jarwin,1.7,19.1,0.1,0.0,2.7,DAL,6,TE
Ian Thomas,2.1,20.8,0.1,0.0,2.7,CAR,6,TE
Jordan Akins,1.8,20.3,0.1,0.0,2.5,HOU,6,TE
Donald Parham Jr.,1.4,16.7,0.1,0.0,2.5,LAC,6,TE
Tommy Tremble,1.6,17.1,0.1,0.0,2.3,CAR,6,TE
Albert Okwuegbunam,1.6,15.1,0.1,0.0,2.2,DEN,6,TE
Will Dissly,1.4,15.3,0.1,0.0,2.1,SEA,6,TE
Durham Smythe,1.4,14.0,0.1,0.0,1.9,MIA,6,TE
Jason Croom,1.1,12.0,0.1,0.0,1.9,PHI,6,TE
MyCole Pruitt,0.9,9.4,0.2,0.0,1.8,TEN,6,TE
Demetrius Harris,1.1,11.0,0.1,0.0,1.8,ARI,6,TE
Harrison Bryant,1.1,13.2,0.1,0.0,1.8,CLE,6,TE
Kyle Rudolph,1.4,13.7,0.1,0.0,1.7,NYG,6,TE
John Bates,1.1,11.1,0.1,0.1,1.6,WAS,6,TE
Blake Bell,1.0,10.0,0.1,0.0,1.6,KC,6,TE
Marcedes Lewis,1.0,11.2,0.1,0.0,1.6,GB,6,TE
Darrell Daniels,1.2,12.5,0.1,0.0,1.6,ARI,6,TE
Geoff Swaim,1.2,11.5,0.1,0.0,1.6,TEN,6,TE
Jacob Hollister,1.0,10.1,0.1,0.0,1.5,JAC,6,TE
Colby Parkinson,1.2,11.8,0.1,0.0,1.5,SEA,6,TE
Tommy Sweeney,1.1,10.6,0.1,0.0,1.5,BUF,6,TE
Kylen Granson,0.8,8.2,0.1,0.0,1.3,IND,6,TE
Jimmy Graham,0.9,9.5,0.1,0.0,1.3,CHI,6,TE
Noah Gray,0.9,9.6,0.1,0.0,1.3,KC,6,TE
Antony Auclair,0.6,6.4,0.1,0.0,1.2,HOU,6,TE
Chris Herndon IV,0.7,7.1,0.1,0.1,1.2,MIN,6,TE
Chris Manhertz,0.6,8.0,0.1,0.0,1.2,JAC,6,TE
Adam Shaheen,0.7,8.4,0.1,0.0,1.1,MIA,6,TE
Jack Stoll,0.8,8.4,0.0,0.0,1.1,PHI,6,TE
Luke Farrell,0.8,7.8,0.1,0.0,1.1,JAC,6,TE
Jody Fortson,0.7,7.0,0.1,0.0,1.1,KC,6,TE
Jesper Horsted,0.7,7.0,0.1,0.0,1.1,CHI,6,TE
Reggie Gilliam,0.5,4.3,0.1,0.0,1.0,BUF,6,TE
Josh Oliver,0.8,7.9,0.0,0.0,1.0,BAL,6,TE
Stephen Anderson,0.7,7.9,0.0,0.0,1.0,LAC,6,TE
Hunter Long,0.5,5.7,0.1,0.0,0.9,MIA,6,TE
Eric Saubert,0.8,7.2,0.0,0.0,0.8,DEN,6,TE
Drew Sample,0.6,6.4,0.0,0.0,0.8,CIN,6,TE
Jacob Harris,0.5,4.7,0.1,0.0,0.8,LAR,6,TE
Colin Thompson,0.5,4.5,0.1,0.0,0.7,CAR,6,TE
Giovanni Ricci,0.7,7.1,0.0,0.0,0.7,CAR,6,TE
Foster Moreau,0.4,4.0,0.1,0.0,0.7,LV,6,TE
Andrew Beck,0.4,3.6,0.1,0.0,0.7,DEN,6,TE
Zach Gentry,0.6,5.4,0.0,0.0,0.5,PIT,6,TE
Josiah Deguara,0.5,5.2,0.0,0.0,0.5,GB,6,TE
Johnny Mundt,0.4,5.0,0.0,0.0,0.5,LAR,6,TE
Luke Stocker,0.5,4.4,0.0,0.0,0.4,MIN,6,TE
Kaden Smith,0.5,4.1,0.0,0.0,0.4,NYG,6,TE
Codey McElroy,0.4,4.0,0.0,0.0,0.4,TB,6,TE
Deon Yelder,0.2,3.0,0.0,0.0,0.3,ARI,6,TE
Sammis Reyes,0.3,3.0,0.0,0.0,0.3,WAS,6,TE
Shane Zylstra,0.3,3.0,0.0,0.0,0.3,DET,6,TE
Jesse James,0.4,2.6,0.0,0.0,0.3,CHI,6,TE
Cethan Carter,0.2,2.3,0.0,0.0,0.2,MIA,6,TE
Eric Tomlinson,0.2,2.0,0.0,0.0,0.2,BAL,6,TE
Nick Bowers,0.2,2.0,0.0,0.0,0.2,LV,6,TE
Nick Ralston,0.2,1.3,0.0,0.0,0.1,DAL,6,TE
Jeremy Sprinkle,0.0,1.0,0.0,0.0,0.1,DAL,6,TE
Tyler Mabry,0.1,1.0,0.0,0.0,0.1,SEA,6,TE
Mitchell Wilcox,0.1,1.0,0.0,0.0,0.1,CIN,6,TE
Travis Kelce,7.0,86.8,0.8,0.1,13.1,KC,7,TE
Darren Waller,7.8,86.3,0.8,0.1,13.0,LV,7,TE
Mark Andrews,5.5,70.3,0.6,0.1,10.4,BAL,7,TE
Kyle Pitts,4.8,59.4,0.4,0.0,8.5,ATL,7,TE
Mike Gesicki,4.9,56.3,0.5,0.0,8.5,MIA,7,TE
Dallas Goedert,4.3,49.4,0.5,0.0,7.9,PHI,7,TE
T.J. Hockenson,4.9,52.3,0.4,0.0,7.5,DET,7,TE
Tyler Higbee,3.7,44.0,0.5,0.0,7.4,LAR,7,TE
Hunter Henry,3.7,40.8,0.5,0.0,7.0,NE,7,TE
Noah Fant,4.5,47.6,0.3,0.0,6.6,DEN,7,TE
Ricky Seals-Jones,3.4,39.3,0.4,0.0,6.4,WAS,7,TE
Zach Ertz,3.3,36.3,0.4,0.0,5.9,ARI,7,TE
O.J. Howard,2.7,33.5,0.2,0.0,4.8,TB,7,TE
Robert Tonyan,2.8,30.7,0.3,0.0,4.7,GB,7,TE
Foster Moreau,2.5,26.6,0.3,0.0,4.7,LV,7,TE
Evan Engram,3.3,35.8,0.2,0.1,4.4,NYG,7,TE
C.J. Uzomah,2.6,27.2,0.2,0.0,3.9,CIN,7,TE
Cole Kmet,3.1,29.6,0.1,0.0,3.8,CHI,7,TE
Jonnu Smith,2.4,24.9,0.2,0.0,3.7,NE,7,TE
Cameron Brate,2.4,24.3,0.2,0.0,3.7,TB,7,TE
Mo Alie-Cox,2.2,25.8,0.2,0.0,3.6,IND,7,TE
Anthony Firkser,2.3,26.4,0.1,0.0,3.5,TEN,7,TE
Ross Dwelley,2.2,24.1,0.2,0.0,3.4,SF,7,TE
Austin Hooper,2.6,25.1,0.1,0.0,3.4,CLE,7,TE
David Njoku,2.0,23.7,0.1,0.0,3.0,CLE,7,TE
Adam Trautman,1.8,21.8,0.1,0.0,3.0,NO,7,TE
Hayden Hurst,2.2,23.2,0.1,0.0,3.0,ATL,7,TE
Ian Thomas,1.8,19.2,0.1,0.0,2.7,CAR,7,TE
Durham Smythe,1.9,19.3,0.1,0.0,2.6,MIA,7,TE
Tommy Tremble,1.7,17.5,0.1,0.0,2.6,CAR,7,TE
Jordan Akins,2.1,21.2,0.1,0.0,2.5,HOU,7,TE
Juwan Johnson,1.6,17.8,0.1,0.0,2.5,NO,7,TE
Geoff Swaim,1.5,17.1,0.1,0.0,2.2,TEN,7,TE
Nick Boyle,1.4,15.3,0.1,0.0,2.1,BAL,7,TE
Pharaoh Brown,1.6,17.1,0.1,0.0,2.1,HOU,7,TE
Will Dissly,1.5,15.4,0.1,0.0,2.1,SEA,7,TE
Ryan Griffin,1.7,16.4,0.1,0.0,2.0,NYJ,7,TE
Jack Doyle,1.5,14.4,0.1,0.0,1.9,IND,7,TE
Marcedes Lewis,1.1,12.8,0.1,0.0,1.9,GB,7,TE
Kyle Rudolph,1.4,14.1,0.1,0.0,1.8,NYG,7,TE
Richard Rodgers,1.0,11.3,0.1,0.0,1.7,PHI,7,TE
MyCole Pruitt,0.8,9.4,0.1,0.0,1.6,TEN,7,TE
Jason Croom,0.9,10.2,0.1,0.0,1.5,PHI,7,TE
Noah Gray,0.9,10.1,0.1,0.0,1.3,KC,7,TE
John Bates,1.1,9.9,0.1,0.0,1.3,WAS,7,TE
Albert Okwuegbunam,1.0,9.4,0.1,0.0,1.3,DEN,7,TE
Harrison Bryant,0.8,9.2,0.1,0.0,1.2,CLE,7,TE
Charlie Woerner,0.8,8.7,0.1,0.0,1.2,SF,7,TE
Matt Bushman,0.8,8.1,0.1,0.0,1.2,KC,7,TE
Jody Fortson,0.7,6.9,0.1,0.0,1.2,KC,7,TE
Jimmy Graham,0.9,8.5,0.1,0.0,1.2,CHI,7,TE
Jack Stoll,0.9,9.8,0.0,0.0,1.1,PHI,7,TE
Adam Shaheen,0.7,7.0,0.0,0.0,1.0,MIA,7,TE
Josh Oliver,0.8,8.1,0.0,0.0,1.0,BAL,7,TE
Tyler Kroft,1.0,9.0,0.0,0.0,0.9,NYJ,7,TE
Blake Bell,0.8,6.7,0.0,0.0,0.9,KC,7,TE
Eric Saubert,0.8,6.8,0.0,0.0,0.9,DEN,7,TE
Jacob Harris,0.4,5.3,0.1,0.0,0.8,LAR,7,TE
Drew Sample,0.8,6.4,0.0,0.0,0.8,CIN,7,TE
Antony Auclair,0.5,4.9,0.1,0.0,0.8,HOU,7,TE
Garrett Griffin,0.5,7.0,0.0,0.0,0.7,NO,7,TE
Colin Thompson,0.4,3.9,0.1,0.0,0.7,CAR,7,TE
Colby Parkinson,0.8,6.6,0.0,0.0,0.7,SEA,7,TE
Andrew Beck,0.3,3.1,0.1,0.0,0.6,DEN,7,TE
Jesper Horsted,0.4,3.1,0.1,0.0,0.6,CHI,7,TE
Demetrius Harris,0.5,6.0,0.0,0.0,0.6,ARI,7,TE
Kylen Granson,0.6,5.7,0.0,0.0,0.6,IND,7,TE
Josiah Deguara,0.5,5.5,0.0,0.0,0.6,GB,7,TE
Tanner Hudson,0.4,5.0,0.0,0.0,0.5,SF,7,TE
Noah Togiai,0.5,5.0,0.0,0.0,0.5,PHI,7,TE
J.P. Holtz,0.4,4.2,0.0,0.0,0.4,CHI,7,TE
Trevon Wesco,0.4,4.2,0.0,0.0,0.4,NYJ,7,TE
Darrell Daniels,0.3,4.0,0.0,0.0,0.4,ARI,7,TE
Kaden Smith,0.4,3.5,0.0,0.0,0.4,NYG,7,TE
Kenny Yeboah,0.3,3.0,0.0,0.0,0.3,NYJ,7,TE
Nick Bowers,0.2,3.0,0.0,0.0,0.3,LV,7,TE
Sammis Reyes,0.3,3.0,0.0,0.0,0.3,WAS,7,TE
Hunter Long,0.3,3.0,0.0,0.0,0.3,MIA,7,TE
Eric Tomlinson,0.2,3.0,0.0,0.0,0.3,BAL,7,TE
Jesse James,0.4,2.5,0.0,0.0,0.3,CHI,7,TE
Cethan Carter,0.3,2.4,0.0,0.0,0.2,MIA,7,TE
Daniel Brown,0.2,2.0,0.0,0.0,0.2,NYJ,7,TE
Mitchell Wilcox,0.1,2.0,0.0,0.0,0.2,CIN,7,TE
Deon Yelder,0.2,2.0,0.0,0.0,0.2,ARI,7,TE
Travis Kelce,6.7,82.7,0.7,0.1,12.3,KC,8,TE
Kyle Pitts,5.1,63.9,0.5,0.0,9.1,ATL,8,TE
T.J. Hockenson,5.0,54.7,0.5,0.0,8.7,DET,8,TE
Dallas Goedert,4.3,53.4,0.5,0.0,8.1,PHI,8,TE
Mike Gesicki,4.7,53.7,0.4,0.0,7.8,MIA,8,TE
Robert Tonyan,4.1,42.9,0.5,0.0,7.5,GB,8,TE
Noah Fant,4.4,47.4,0.4,0.0,7.2,DEN,8,TE
Ricky Seals-Jones,3.9,44.0,0.5,0.0,7.2,WAS,8,TE
George Kittle,4.9,59.2,0.3,0.1,7.2,SF,8,TE
Dalton Schultz,4.1,46.2,0.4,0.0,7.0,DAL,8,TE
Tyler Higbee,3.7,41.8,0.4,0.0,6.5,LAR,8,TE
Hunter Henry,3.4,40.5,0.4,0.0,6.5,NE,8,TE
Jared Cook,3.5,42.8,0.3,0.0,5.9,LAC,8,TE
Rob Gronkowski,3.5,40.0,0.3,0.0,5.7,TB,8,TE
Zach Ertz,3.6,37.4,0.3,0.0,5.5,ARI,8,TE
Evan Engram,3.7,39.4,0.2,0.0,5.1,NYG,8,TE
Tyler Conklin,3.5,39.2,0.2,0.0,5.0,MIN,8,TE
C.J. Uzomah,2.7,31.1,0.3,0.0,4.9,CIN,8,TE
Dan Arnold,3.5,39.0,0.2,0.0,4.8,JAC,8,TE
Pat Freiermuth,3.2,32.2,0.2,0.0,4.5,PIT,8,TE
Cole Kmet,3.4,33.6,0.2,0.0,4.3,CHI,8,TE
Tommy Sweeney,2.6,28.5,0.2,0.0,4.2,BUF,8,TE
Mo Alie-Cox,2.3,26.9,0.3,0.0,4.2,IND,8,TE
Austin Hooper,2.8,30.0,0.2,0.0,4.0,CLE,8,TE
David Njoku,2.2,27.3,0.1,0.0,3.5,CLE,8,TE
Adam Trautman,2.0,23.3,0.1,0.0,3.2,NO,8,TE
Albert Okwuegbunam,2.4,22.3,0.2,0.0,3.2,DEN,8,TE
Hayden Hurst,2.2,23.0,0.1,0.0,2.8,ATL,8,TE
Jonnu Smith,1.9,20.1,0.1,0.0,2.7,NE,8,TE
Jordan Akins,2.2,23.1,0.1,0.0,2.7,HOU,8,TE
Josiah Deguara,2.0,20.3,0.1,0.0,2.6,GB,8,TE
