player,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,week,position
Demetrius Harris,0.3,3.3,0.0,0.0,0.4,ARI,1,TE
Johnny Mundt,0.3,2.8,0.0,0.0,0.4,LAR,1,TE
Eric Saubert,0.4,3.4,0.0,0.0,0.3,DEN,1,TE
Stephen Anderson,0.3,3.4,0.0,0.0,0.3,LAC,1,TE
Zach Gentry,0.4,3.1,0.0,0.0,0.3,PIT,1,TE
Trevon Wesco,0.3,3.1,0.0,0.0,0.3,NYJ,1,TE
Luke Stocker,0.3,2.7,0.0,0.0,0.3,MIN,1,TE
J.P. Holtz,0.2,2.7,0.0,0.0,0.3,CHI,1,TE
Mason Schreck,0.2,2.0,0.0,0.0,0.3,CIN,1,TE
Ben Ellefson,0.2,2.0,0.0,0.0,0.2,MIN,1,TE
Dominique Dafney,0.2,1.7,0.0,0.0,0.2,GB,1,TE
Richard Rodgers,0.1,0.8,0.0,0.0,0.1,PHI,1,TE
Jody Fortson,0.1,1.0,0.0,0.0,0.1,KC,1,TE
Nick Bowers,0.1,1.0,0.0,0.0,0.1,LV,1,TE
Sammis Reyes,0.1,1.0,0.0,0.0,0.1,WAS,1,TE
Mitchell Wilcox,0.1,1.0,0.0,0.0,0.1,CIN,1,TE
Andrew Beck,0.1,1.0,0.0,0.0,0.1,DEN,1,TE
Tommy Hudson,0.1,1.0,0.0,0.0,0.1,TEN,1,TE
Jack Stoll,0.1,1.0,0.0,0.0,0.1,PHI,1,TE
Ricky Seals-Jones,0.0,0.4,0.0,0.0,0.1,WAS,1,TE
Derek Carrier,0.1,0.6,0.0,0.0,0.1,LV,1,TE
Kevin Rader,0.1,0.5,0.0,0.0,0.1,PIT,1,TE
Jason Croom,0.1,0.5,0.0,0.0,0.1,PHI,1,TE
Jeremy Sprinkle,0.1,0.5,0.0,0.0,0.1,DAL,1,TE
Tre' McKitty,0.1,0.5,0.0,0.0,0.1,LAC,1,TE
Daniel Brown,0.1,0.5,0.0,0.0,0.0,NYJ,1,TE
Jesper Horsted,0.0,0.0,0.0,0.0,0.0,CHI,1,TE
Deon Yelder,0.0,0.0,0.0,0.0,0.0,ARI,1,TE
Travis Kelce,7.1,89.4,0.8,0.1,13.4,KC,2,TE
Darren Waller,6.8,80.3,0.6,0.1,11.4,LV,2,TE
George Kittle,5.4,69.0,0.5,0.1,10.1,SF,2,TE
Mark Andrews,4.9,59.1,0.6,0.0,9.5,BAL,2,TE
T.J. Hockenson,4.9,57.5,0.5,0.0,8.5,DET,2,TE
Rob Gronkowski,3.5,44.3,0.6,0.0,8.2,TB,2,TE
Noah Fant,4.6,54.8,0.5,0.0,8.2,DEN,2,TE
Robert Tonyan,3.3,38.4,0.6,0.0,7.1,GB,2,TE
Logan Thomas,4.3,43.7,0.4,0.0,7.0,WAS,2,TE
Tyler Higbee,4.0,44.1,0.4,0.0,6.7,LAR,2,TE
Jared Cook,3.7,45.6,0.4,0.0,6.7,LAC,2,TE
Dallas Goedert,3.7,40.5,0.4,0.0,6.7,PHI,2,TE
Jonnu Smith,3.2,34.2,0.4,0.0,5.8,NE,2,TE
Kyle Pitts,4.2,45.5,0.2,0.0,5.8,ATL,2,TE
Austin Hooper,3.3,35.7,0.3,0.0,5.2,CLE,2,TE
Cole Kmet,3.5,36.2,0.2,0.0,5.0,CHI,2,TE
Hunter Henry,3.0,34.5,0.2,0.0,4.8,NE,2,TE
Mike Gesicki,2.9,34.2,0.2,0.0,4.8,MIA,2,TE
Hayden Hurst,3.2,32.6,0.2,0.0,4.4,ATL,2,TE
Dawson Knox,2.5,29.4,0.2,0.0,4.2,BUF,2,TE
Zach Ertz,2.9,30.0,0.2,0.0,4.0,ARI,2,TE
Adam Trautman,2.5,28.2,0.2,0.0,3.9,NO,2,TE
Anthony Firkser,2.7,30.7,0.1,0.0,3.9,TEN,2,TE
Dalton Schultz,2.8,28.6,0.2,0.0,3.8,DAL,2,TE
David Njoku,1.9,25.8,0.2,0.0,3.6,CLE,2,TE
Albert Okwuegbunam,2.3,26.2,0.2,0.1,3.6,DEN,2,TE
Tyler Conklin,2.7,29.0,0.1,0.0,3.6,MIN,2,TE
Jack Doyle,2.4,24.5,0.2,0.0,3.4,IND,2,TE
C.J. Uzomah,2.5,25.7,0.1,0.0,3.4,CIN,2,TE
Blake Jarwin,2.3,24.7,0.2,0.0,3.4,DAL,2,TE
Kyle Rudolph,2.5,24.1,0.1,0.0,3.3,NYG,2,TE
Dan Arnold,1.8,22.7,0.2,0.0,3.3,JAC,2,TE
Tyler Kroft,2.3,24.3,0.1,0.0,3.2,NYJ,2,TE
Pharaoh Brown,2.0,24.4,0.1,0.0,3.1,HOU,2,TE
Juwan Johnson,1.8,22.6,0.1,0.0,3.0,NO,2,TE
James O'Shaughnessy,2.5,25.1,0.1,0.0,3.0,JAC,2,TE
Will Dissly,1.8,19.8,0.2,0.0,2.9,SEA,2,TE
Jordan Akins,2.1,22.2,0.1,0.0,2.9,HOU,2,TE
Pat Freiermuth,1.7,18.5,0.1,0.0,2.6,PIT,2,TE
Mo Alie-Cox,1.8,19.8,0.1,0.0,2.6,IND,2,TE
Harrison Bryant,1.2,13.8,0.2,0.0,2.2,CLE,2,TE
Donald Parham Jr.,1.3,15.8,0.1,0.0,2.0,LAC,2,TE
Jimmy Graham,1.2,13.8,0.1,0.0,2.0,CHI,2,TE
