player,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,position,week,year
Tony Pollard,5.4,22.4,0.1,1.8,12.8,0.1,0.0,4.4,DAL,RB,1,2021
Damien Williams,5.1,21.3,0.1,1.7,12.8,0.1,0.0,4.4,CHI,RB,1,2021
JaMycal Hasty,6.1,26.9,0.2,0.9,7.1,0.0,0.1,4.4,SF,RB,1,2021
Michael Carter,6.5,25.1,0.1,1.4,10.2,0.0,0.1,4.4,NYJ,RB,1,2021
Alexander Mattison,6.2,26.7,0.1,0.8,7.0,0.1,0.0,4.3,MIN,RB,1,2021
Mark Ingram II,6.5,26.3,0.2,0.8,6.4,0.0,0.0,4.3,NO,RB,1,2021
Latavius Murray,6.0,26.8,0.1,1.0,7.1,0.0,0.0,4.3,BAL,RB,1,2021
Giovani Bernard,3.3,13.5,0.1,2.5,18.6,0.1,0.0,4.2,TB,RB,1,2021
Devontae Booker,7.1,27.0,0.1,1.1,7.7,0.0,0.1,4.1,NYG,RB,1,2021
Rhamondre Stevenson,7.4,27.9,0.2,0.4,3.9,0.0,0.0,4.1,NE,RB,1,2021
Carlos Hyde,6.1,25.4,0.1,1.0,6.9,0.0,0.0,4.0,JAC,RB,1,2021
Tony Jones Jr.,6.6,21.0,0.1,1.1,9.7,0.0,0.0,3.9,NO,RB,1,2021
Matt Breida,5.4,22.4,0.1,0.9,7.6,0.1,0.1,3.7,BUF,RB,1,2021
Malcolm Brown,6.0,21.3,0.1,1.2,8.1,0.0,0.0,3.5,MIA,RB,1,2021
Darrel Williams,4.1,16.6,0.1,1.0,7.9,0.0,0.0,3.3,KC,RB,1,2021
Rashaad Penny,4.5,19.4,0.1,0.7,5.8,0.0,0.0,3.2,SEA,RB,1,2021
Boston Scott,4.1,15.5,0.1,1.4,11.4,0.0,0.0,3.2,PHI,RB,1,2021
Samaje Perine,4.0,17.5,0.1,0.8,5.4,0.0,0.0,3.0,CIN,RB,1,2021
Salvon Ahmed,3.6,16.2,0.1,0.7,6.0,0.0,0.0,2.9,MIA,RB,1,2021
Kyle Juszczyk,0.9,3.2,0.0,1.5,16.4,0.1,0.0,2.9,SF,RB,1,2021
Marlon Mack,3.9,16.9,0.1,0.6,4.8,0.0,0.0,2.9,IND,RB,1,2021
