player,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,week,position
Saquon BarkleyNYG,13.3,60.4,0.5,3.4,25.8,0.1,0.1,11.8,NYG,15,RB
Myles GaskinMIA,13.9,57.0,0.5,2.9,20.9,0.1,0.1,11.6,MIA,15,RB
Melvin Gordon IIIDEN,14.0,63.1,0.6,1.9,13.2,0.1,0.2,11.6,IIDEN,15,RB
Devonta FreemanBAL,14.5,62.0,0.5,2.9,19.7,0.1,0.1,11.5,BAL,15,RB
Ezekiel ElliottDAL,13.8,57.6,0.6,2.6,18.9,0.1,0.1,11.4,DAL,15,RB
Michael CarterNYJ,13.3,55.3,0.5,3.1,26.5,0.1,0.1,11.4,NYJ,15,RB
Aaron JonesGB,10.1,44.4,0.5,3.4,28.3,0.2,0.1,11.1,GB,15,RB
Clyde Edwards-HelaireKC,13.3,57.3,0.5,2.2,16.2,0.1,0.1,10.9,HelaireKC,15,RB
Javonte WilliamsDEN,12.1,54.8,0.4,2.7,21.7,0.1,0.1,10.9,DEN,15,RB
D'Onta ForemanTEN,13.2,64.2,0.5,1.3,11.1,0.0,0.2,10.4,TEN,15,RB
Jeff Wilson Jr.SF,15.3,61.0,0.6,1.0,8.6,0.1,0.1,10.3,SF,15,RB
Miles SandersPHI,13.7,62.4,0.5,1.8,12.9,0.0,0.1,10.3,PHI,15,RB
Darrell Henderson Jr.LAR,12.3,46.6,0.5,2.1,15.4,0.1,0.0,9.5,LAR,15,RB
AJ DillonGB,12.7,51.7,0.2,2.1,18.1,0.1,0.1,8.7,GB,15,RB
Rashaad PennySEA,12.9,57.6,0.3,1.0,8.0,0.0,0.1,8.6,SEA,15,RB
Craig ReynoldsDET,11.0,50.7,0.2,2.0,16.1,0.1,0.1,8.2,DET,15,RB
Sony MichelLAR,11.3,50.9,0.3,1.2,8.9,0.1,0.1,7.8,LAR,15,RB
Chuba HubbardCAR,12.8,52.3,0.2,1.4,11.0,0.0,0.1,7.8,CAR,15,RB
Devin SingletaryBUF,10.7,48.3,0.2,2.3,15.0,0.1,0.1,7.7,BUF,15,RB
David JohnsonHOU,10.0,38.9,0.2,3.0,23.3,0.1,0.1,7.6,HOU,15,RB
Chase EdmondsARI,7.8,34.4,0.2,2.3,19.3,0.1,0.1,6.9,ARI,15,RB
Darrel WilliamsKC,6.2,24.2,0.2,3.0,24.4,0.1,0.0,6.6,KC,15,RB
D'Ernest JohnsonCLE,8.2,34.1,0.2,1.5,13.3,0.0,0.1,5.9,CLE,15,RB
Tony PollardDAL,6.9,33.1,0.1,2.0,15.1,0.1,0.1,5.9,DAL,15,RB
Mike DavisATL,7.0,25.4,0.1,3.1,20.7,0.1,0.1,5.6,ATL,15,RB
Matt BreidaBUF,7.3,31.8,0.1,1.7,13.3,0.1,0.1,5.5,BUF,15,RB
Dontrell HilliardTEN,6.5,27.5,0.2,1.8,14.3,0.0,0.1,5.2,TEN,15,RB
Brandon BoldenNE,5.1,18.9,0.1,2.8,24.4,0.1,0.0,5.2,NE,15,RB
Royce FreemanHOU,9.0,31.3,0.1,1.5,10.9,0.0,0.0,5.1,HOU,15,RB
Godwin IgwebuikeDET,8.1,32.7,0.2,1.5,12.2,0.0,0.3,5.1,DET,15,RB
Devontae BookerNYG,7.2,30.4,0.1,1.6,11.3,0.0,0.0,5.0,NYG,15,RB
Rex BurkheadHOU,6.5,27.4,0.1,1.4,11.6,0.0,0.0,4.8,HOU,15,RB
Ty JohnsonNYJ,7.0,26.0,0.0,3.0,21.0,0.0,0.0,4.7,NYJ,15,RB
Ameer AbdullahCAR,5.2,20.2,0.1,2.6,19.6,0.0,0.1,4.6,CAR,15,RB
Salvon AhmedMIA,6.9,25.6,0.2,0.9,8.5,0.0,0.0,4.4,MIA,15,RB
Jordan HowardPHI,6.7,27.4,0.2,0.2,1.2,0.0,0.0,4.1,PHI,15,RB
Tevin ColemanNYJ,5.1,21.5,0.1,1.4,10.6,0.0,0.0,4.0,NYJ,15,RB
Mark Ingram IINO,5.8,22.8,0.1,1.4,11.0,0.0,0.1,4.0,INO,15,RB
Nyheim HinesIND,3.4,15.0,0.1,2.4,18.4,0.1,0.1,4.0,IND,15,RB
Justin JacksonLAC,6.0,24.4,0.1,0.9,7.5,0.0,0.0,3.8,LAC,15,RB
JaMycal HastySF,4.3,15.1,0.1,1.8,12.7,0.0,0.0,3.6,SF,15,RB
Ronald Jones IITB,5.1,22.3,0.2,0.6,4.2,0.0,0.1,3.6,ITB,15,RB
Latavius MurrayBAL,5.6,21.5,0.1,0.8,5.2,0.0,0.0,3.5,BAL,15,RB
Samaje PerineCIN,4.5,18.2,0.1,1.2,9.5,0.0,0.0,3.3,CIN,15,RB
Jaret PattersonWAS,5.4,21.6,0.1,0.8,5.3,0.0,0.0,3.2,WAS,15,RB
Peyton BarberLV,4.2,17.6,0.1,0.8,6.3,0.0,0.0,3.1,LV,15,RB
Dare OgunbowaleJAC,3.7,13.9,0.1,1.1,8.8,0.0,0.0,3.0,JAC,15,RB
Kenneth GainwellPHI,1.9,8.5,0.1,1.6,13.7,0.1,0.0,3.0,PHI,15,RB
Ty MontgomeryNO,0.0,5.1,0.1,1.4,17.6,0.1,0.0,3.0,NO,15,RB
Travis HomerSEA,2.2,11.5,0.1,1.3,10.0,0.0,0.0,2.9,SEA,15,RB
Boston ScottPHI,3.4,14.5,0.1,0.8,5.7,0.0,0.0,2.9,PHI,15,RB
Corey ClementDAL,4.9,18.2,0.1,1.0,6.2,0.0,0.1,2.7,DAL,15,RB
Jermar JeffersonDET,3.5,14.9,0.1,0.8,5.7,0.0,0.0,2.7,DET,15,RB
Brian HillSF,0.0,13.6,0.1,0.7,7.0,0.0,0.0,2.7,SF,15,RB
Jonathan WilliamsWAS,3.7,13.9,0.1,0.7,5.6,0.0,0.1,2.6,WAS,15,RB
DeeJay DallasSEA,2.2,9.4,0.1,1.1,9.3,0.0,0.0,2.6,SEA,15,RB
Damien WilliamsCHI,2.3,11.0,0.1,0.8,6.2,0.0,0.0,2.6,CHI,15,RB
Devine OzigboNE,4.8,13.6,0.1,0.6,3.8,0.0,0.0,2.5,NE,15,RB
Alex CollinsSEA,5.9,22.4,0.1,0.2,1.5,0.0,0.1,2.5,SEA,15,RB
Duke Johnson Jr.MIA,1.8,12.1,0.1,0.9,7.8,0.0,0.0,2.5,MIA,15,RB
Qadree OllisonATL,3.5,14.8,0.1,0.6,3.5,0.0,0.0,2.3,ATL,15,RB
Demetric FeltonCLE,1.7,5.4,0.0,1.3,11.8,0.1,0.0,2.3,CLE,15,RB
Chris EvansCIN,1.6,5.0,0.1,1.0,10.2,0.1,0.0,2.3,CIN,15,RB
Kyle JuszczykSF,0.4,1.0,0.0,1.5,15.2,0.1,0.0,2.2,SF,15,RB
Derrick GoreKC,1.4,11.7,0.1,0.4,2.7,0.0,0.0,2.2,KC,15,RB
Reggie BonnafonWAS,0.0,12.4,0.1,0.7,3.8,0.0,0.0,2.1,WAS,15,RB
J.J. TaylorNE,4.2,14.1,0.1,0.4,2.8,0.0,0.2,2.1,NE,15,RB
Kene NwangwuMIN,2.8,10.3,0.1,0.7,5.0,0.0,0.0,2.1,MIN,15,RB
Adrian PetersonSEA,3.0,11.6,0.1,0.5,3.5,0.0,0.0,2.0,SEA,15,RB
Khalil HerbertCHI,2.5,11.7,0.1,0.6,4.6,0.0,0.1,1.9,CHI,15,RB
Phillip LindsayMIA,2.2,9.5,0.1,0.6,3.7,0.0,0.0,1.9,MIA,15,RB
Wayne Gallman Jr.MIN,1.6,10.7,0.1,0.6,3.6,0.0,0.0,1.9,MIN,15,RB
Austin WalterNYJ,2.1,8.7,0.1,0.6,4.1,0.0,0.0,1.8,NYJ,15,RB
Mekhi SargentJAC,1.8,8.0,0.1,0.3,2.8,0.0,0.0,1.6,JAC,15,RB
Joshua KelleyLAC,2.4,9.9,0.0,0.3,2.3,0.0,0.0,1.5,LAC,15,RB
Ty'Son WilliamsBAL,2.2,7.8,0.1,0.3,2.2,0.0,0.0,1.5,BAL,15,RB
Nathan CottrellJAC,0.0,5.6,0.1,0.4,5.0,0.0,0.0,1.5,JAC,15,RB
Jake FunkLAR,1.8,6.8,0.1,0.1,1.2,0.0,0.0,1.4,LAR,15,RB
Trey RagasLV,1.3,5.1,0.0,0.7,5.1,0.0,0.0,1.4,LV,15,RB
Benny Snell Jr.PIT,2.3,8.1,0.0,0.3,2.1,0.0,0.0,1.4,PIT,15,RB
Elijhaa PennyNYG,1.9,7.3,0.1,0.2,0.9,0.0,0.0,1.4,NYG,15,RB
C.J. HamMIN,0.6,2.4,0.0,0.9,7.4,0.0,0.0,1.2,MIN,15,RB
Kalen BallagePIT,1.7,4.6,0.1,0.4,2.1,0.0,0.0,1.2,PIT,15,RB
John KellyCLE,0.0,5.1,0.0,0.3,3.3,0.0,0.0,1.1,CLE,15,RB
Patrick Taylor Jr.GB,1.6,5.6,0.1,0.2,1.6,0.0,0.0,1.1,GB,15,RB
Deon JacksonIND,0.0,4.7,0.0,0.3,3.0,0.0,0.0,1.1,IND,15,RB
La'Mical PerineNYJ,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,NYJ,15,RB
Gary BrightwellNYG,0.0,4.6,0.0,0.3,2.1,0.0,0.0,1.0,NYG,15,RB
Andy JanovichCLE,0.5,0.8,0.0,0.7,5.0,0.0,0.0,1.0,CLE,15,RB
Keith SmithATL,0.8,2.9,0.0,0.8,5.0,0.0,0.0,0.9,ATL,15,RB
Tony Jones Jr.NO,1.4,4.4,0.0,0.5,3.7,0.0,0.0,0.9,NO,15,RB
Damarea CrockettDEN,0.0,2.6,0.0,0.3,2.5,0.0,0.0,0.8,DEN,15,RB
Taiwan JonesBUF,0.3,2.4,0.0,0.3,3.1,0.0,0.0,0.7,BUF,15,RB
Khari BlasingameTEN,0.0,4.7,0.0,0.2,0.0,0.0,0.0,0.7,TEN,15,RB
Dwayne WashingtonNO,0.0,1.6,0.0,0.4,3.7,0.0,0.0,0.7,NO,15,RB
Nick BawdenNYJ,0.4,0.8,0.0,0.5,4.1,0.0,0.0,0.5,NYJ,15,RB
Gabe NabersLAC,0.0,0.7,0.0,0.3,2.2,0.0,0.0,0.5,LAC,15,RB
Jason CabindaDET,0.0,1.4,0.0,0.3,1.2,0.0,0.0,0.4,DET,15,RB
Michael BurtonKC,0.6,1.3,0.0,0.2,1.0,0.0,0.0,0.3,KC,15,RB
Jakob JohnsonNE,0.0,0.1,0.0,0.4,2.1,0.0,0.0,0.2,NE,15,RB
Derek WattPIT,0.1,0.4,0.0,0.3,1.3,0.0,0.0,0.2,PIT,15,RB
Nick BelloreSEA,0.0,0.1,0.0,0.3,1.2,0.0,0.0,0.2,SEA,15,RB
Cullen GillaspiaNYG,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.1,NYG,15,RB
Jonathan TaylorIND,20.5,101.3,0.8,2.6,21.3,0.1,0.1,17.5,IND,16,RB
James ConnerARI,16.0,62.0,1.0,3.0,24.0,0.0,0.0,14.6,ARI,16,RB
James RobinsonJAC,17.6,76.2,0.7,2.9,22.1,0.1,0.1,14.0,JAC,16,RB
Nick ChubbCLE,17.0,84.6,0.6,2.0,15.5,0.1,0.1,13.8,CLE,16,RB
Alvin KamaraNO,15.4,62.4,0.5,4.1,35.0,0.2,0.1,13.5,NO,16,RB
Alexander MattisonMIN,19.7,73.8,0.5,2.9,22.9,0.1,0.1,13.3,MIN,16,RB
Najee HarrisPIT,16.7,66.0,0.5,4.2,30.3,0.1,0.1,13.2,PIT,16,RB
Cordarrelle PattersonATL,13.9,61.3,0.5,3.0,29.2,0.2,0.1,12.9,ATL,16,RB
Joe MixonCIN,16.6,69.5,0.7,1.8,14.0,0.1,0.1,12.6,CIN,16,RB
David MontgomeryCHI,17.2,65.9,0.5,3.5,25.1,0.1,0.1,12.3,CHI,16,RB
Josh JacobsLV,15.2,60.7,0.5,3.9,28.8,0.1,0.1,12.3,LV,16,RB
Ronald Jones IITB,15.8,67.9,0.6,1.9,12.2,0.0,0.2,11.6,ITB,16,RB
Justin JacksonLAC,14.0,63.6,0.5,2.3,18.0,0.1,0.1,11.4,LAC,16,RB
Damien HarrisNE,16.0,72.2,0.6,1.1,8.3,0.0,0.1,11.4,NE,16,RB
Antonio GibsonWAS,14.3,60.1,0.5,3.1,22.6,0.1,0.1,11.4,WAS,16,RB
Javonte WilliamsDEN,12.9,58.9,0.4,2.6,21.8,0.1,0.1,11.3,DEN,16,RB
Ezekiel ElliottDAL,13.0,54.8,0.6,2.5,18.5,0.1,0.1,11.1,DAL,16,RB
Miles SandersPHI,14.4,68.4,0.4,2.0,14.8,0.1,0.1,11.1,PHI,16,RB
Aaron JonesGB,11.7,54.5,0.3,3.1,24.9,0.2,0.1,11.0,GB,16,RB
Chase EdmondsARI,12.6,58.3,0.3,3.3,24.8,0.1,0.1,10.8,ARI,16,RB
Jeff Wilson Jr.SF,15.6,62.6,0.5,1.5,12.5,0.1,0.2,10.7,SF,16,RB
Michael CarterNYJ,12.2,49.7,0.5,2.6,22.7,0.1,0.1,10.5,NYJ,16,RB
Sony MichelLAR,13.8,60.9,0.5,1.5,11.9,0.1,0.1,10.3,LAR,16,RB
Rashaad PennySEA,13.0,60.8,0.5,0.9,7.9,0.0,0.1,10.1,SEA,16,RB
Clyde Edwards-HelaireKC,12.8,56.7,0.3,2.3,18.6,0.1,0.1,9.9,HelaireKC,16,RB
Saquon BarkleyNYG,12.7,53.4,0.2,3.4,24.4,0.1,0.1,9.7,NYG,16,RB
Melvin Gordon IIIDEN,13.8,58.3,0.4,1.4,10.7,0.1,0.1,9.4,IIDEN,16,RB
D'Onta ForemanTEN,14.3,57.2,0.4,1.2,9.9,0.0,0.1,9.3,TEN,16,RB
Devonta FreemanBAL,11.6,50.1,0.4,2.3,16.9,0.1,0.1,9.2,BAL,16,RB
AJ DillonGB,12.5,49.7,0.4,1.7,14.1,0.1,0.1,9.1,GB,16,RB
Devin SingletaryBUF,12.9,56.4,0.2,2.7,17.3,0.1,0.1,8.7,BUF,16,RB
Rex BurkheadHOU,12.1,47.8,0.2,2.2,18.6,0.1,0.1,8.4,HOU,16,RB
Craig ReynoldsDET,12.2,46.5,0.3,1.7,14.6,0.1,0.1,8.2,DET,16,RB
Jamaal WilliamsDET,10.4,46.8,0.2,2.3,15.6,0.1,0.1,7.9,DET,16,RB
Tony PollardDAL,9.6,42.8,0.2,2.1,16.5,0.1,0.0,7.4,DAL,16,RB
Darrel WilliamsKC,6.7,25.7,0.4,2.5,22.1,0.1,0.1,7.3,KC,16,RB
Darrell Henderson Jr.LAR,9.0,37.8,0.2,1.8,13.7,0.1,0.1,6.9,LAR,16,RB
Myles GaskinMIA,10.0,36.2,0.2,2.4,15.8,0.1,0.1,6.6,MIA,16,RB
Chuba HubbardCAR,10.7,42.2,0.2,1.1,8.5,0.0,0.1,6.5,CAR,16,RB
Duke Johnson Jr.MIA,9.5,38.0,0.2,1.7,13.8,0.1,0.1,6.4,MIA,16,RB
Mike DavisATL,8.5,30.9,0.2,2.7,19.6,0.1,0.1,6.4,ATL,16,RB
Dontrell HilliardTEN,6.0,30.4,0.2,2.3,17.3,0.1,0.1,6.0,TEN,16,RB
Jordan HowardPHI,7.8,32.6,0.4,0.3,2.5,0.0,0.0,6.0,PHI,16,RB
Brandon BoldenNE,4.6,18.8,0.1,3.3,28.4,0.1,0.1,5.7,NE,16,RB
Tevin ColemanNYJ,8.1,33.4,0.2,1.1,9.2,0.0,0.1,5.5,NYJ,16,RB
Devontae BookerNYG,7.9,32.1,0.1,1.7,12.1,0.0,0.1,5.1,NYG,16,RB
Mark Ingram IINO,7.8,29.8,0.1,1.5,11.7,0.0,0.0,5.1,INO,16,RB
Latavius MurrayBAL,8.9,33.0,0.2,1.0,7.3,0.0,0.1,5.1,BAL,16,RB
Ameer AbdullahCAR,4.9,18.1,0.1,2.8,22.1,0.1,0.1,5.1,CAR,16,RB
Joshua KelleyLAC,7.9,29.6,0.2,1.1,9.2,0.1,0.2,4.9,LAC,16,RB
Alex CollinsSEA,6.3,25.8,0.3,0.4,3.3,0.0,0.0,4.6,SEA,16,RB
DeeJay DallasSEA,5.1,20.9,0.2,1.7,11.8,0.0,0.0,4.4,SEA,16,RB
Royce FreemanHOU,7.3,27.4,0.1,1.1,8.3,0.0,0.0,4.3,HOU,16,RB
D'Ernest JohnsonCLE,5.0,22.1,0.1,1.5,12.1,0.0,0.0,4.3,CLE,16,RB
Nyheim HinesIND,3.4,14.3,0.1,2.3,17.9,0.1,0.1,4.1,IND,16,RB
Samaje PerineCIN,5.1,19.9,0.1,1.3,10.5,0.1,0.0,3.9,CIN,16,RB
Ty JohnsonNYJ,2.9,12.5,0.1,1.7,15.5,0.1,0.0,3.8,NYJ,16,RB
Zack MossBUF,4.9,20.9,0.1,1.0,8.4,0.0,0.0,3.8,BUF,16,RB
Eno BenjaminARI,4.7,17.9,0.2,0.7,6.1,0.0,0.0,3.5,ARI,16,RB
Kenneth GainwellPHI,1.9,9.1,0.1,1.6,15.1,0.1,0.0,3.4,PHI,16,RB
Peyton BarberLV,5.0,19.5,0.1,0.8,7.0,0.0,0.0,3.4,LV,16,RB
Jaret PattersonWAS,5.3,21.3,0.1,0.8,5.9,0.0,0.0,3.3,WAS,16,RB
Ke'Shawn VaughnTB,3.6,14.4,0.1,1.3,9.6,0.1,0.0,3.2,TB,16,RB
J.J. TaylorNE,4.6,18.9,0.1,0.5,4.3,0.0,0.1,3.1,NE,16,RB
Kene NwangwuMIN,4.6,17.0,0.1,0.7,5.1,0.0,0.0,3.0,MIN,16,RB
Travis HomerSEA,2.4,12.1,0.1,1.0,8.3,0.1,0.0,2.8,SEA,16,RB
JaMycal HastySF,3.3,12.4,0.1,1.2,9.8,0.0,0.1,2.6,SF,16,RB
Khalil HerbertCHI,3.7,14.1,0.1,1.1,8.0,0.0,0.0,2.5,CHI,16,RB
Derrick GoreKC,2.4,13.9,0.1,0.3,2.6,0.0,0.0,2.4,KC,16,RB
Larry Rountree IIILAC,3.1,11.3,0.1,0.4,3.6,0.0,0.0,2.4,IILAC,16,RB
Boston ScottPHI,2.9,12.2,0.1,0.5,4.1,0.0,0.0,2.3,PHI,16,RB
Wayne Gallman Jr.MIN,3.3,13.6,0.1,0.5,3.2,0.0,0.0,2.3,MIN,16,RB
Ty MontgomeryNO,0.9,4.4,0.0,1.2,13.0,0.1,0.0,2.3,NO,16,RB
Qadree OllisonATL,3.4,13.2,0.1,0.6,4.1,0.0,0.0,2.3,ATL,16,RB
Kyle JuszczykSF,0.6,1.9,0.0,1.4,13.8,0.1,0.0,2.2,SF,16,RB
Dare OgunbowaleJAC,2.6,9.8,0.1,0.9,7.6,0.0,0.0,2.2,JAC,16,RB
Jonathan WilliamsWAS,3.4,12.1,0.1,0.4,3.6,0.0,0.0,2.1,WAS,16,RB
Godwin IgwebuikeDET,1.6,8.8,0.1,0.9,7.6,0.0,0.0,2.1,DET,16,RB
Brian HillSF,3.1,11.8,0.1,0.4,3.4,0.0,0.0,2.0,SF,16,RB
Jaylen SamuelsARI,2.0,7.9,0.0,1.1,7.6,0.0,0.0,1.9,ARI,16,RB
Chris EvansCIN,1.2,3.9,0.0,0.8,8.6,0.0,0.0,1.8,CIN,16,RB
Phillip LindsayMIA,2.4,9.1,0.1,0.4,2.3,0.0,0.0,1.7,MIA,16,RB
Darius BradwellCAR,0.0,9.2,0.1,0.5,2.0,0.0,0.0,1.6,CAR,16,RB
Trevon WescoNYJ,0.0,0.0,0.0,1.1,11.8,0.1,0.0,1.6,NYJ,16,RB
Demetric FeltonCLE,1.1,3.1,0.0,0.8,8.9,0.1,0.0,1.6,CLE,16,RB
Malcolm BrownMIA,2.2,7.7,0.1,0.3,2.3,0.0,0.0,1.6,MIA,16,RB
Jake FunkLAR,1.2,8.3,0.1,0.4,2.5,0.0,0.0,1.5,LAR,16,RB
Damien WilliamsCHI,1.5,7.5,0.1,0.5,3.8,0.0,0.0,1.5,CHI,16,RB
Trey SermonSF,2.1,8.2,0.1,0.1,0.8,0.0,0.0,1.5,SF,16,RB
Patrick Taylor Jr.GB,1.4,7.5,0.1,0.3,2.5,0.0,0.0,1.4,GB,16,RB
Reggie BonnafonWAS,1.2,7.6,0.0,0.4,3.5,0.0,0.0,1.3,WAS,16,RB
Adam PrenticeNO,0.1,0.4,0.0,1.0,9.9,0.0,0.0,1.3,NO,16,RB
Salvon AhmedMIA,1.7,8.0,0.0,0.4,2.5,0.0,0.0,1.3,MIA,16,RB
Benny Snell Jr.PIT,2.0,7.8,0.0,0.3,2.3,0.0,0.0,1.2,PIT,16,RB
Corey ClementDAL,1.7,7.6,0.0,0.3,2.3,0.0,0.0,1.2,DAL,16,RB
Mike BooneDEN,1.4,7.7,0.1,0.2,1.1,0.0,0.0,1.2,DEN,16,RB
Tony Jones Jr.NO,1.9,6.8,0.0,0.4,3.7,0.0,0.0,1.2,NO,16,RB
Ty'Son WilliamsBAL,1.2,4.9,0.0,0.2,1.7,0.0,0.0,0.9,BAL,16,RB
C.J. HamMIN,0.5,1.4,0.0,0.6,4.8,0.0,0.0,0.8,MIN,16,RB
Michael BurtonKC,0.5,2.1,0.0,0.3,2.4,0.0,0.0,0.7,KC,16,RB
Deon JacksonIND,1.1,4.3,0.0,0.3,1.9,0.0,0.0,0.7,IND,16,RB
Elijhaa PennyNYG,1.1,3.7,0.0,0.2,0.6,0.0,0.0,0.7,NYG,16,RB
Kalen BallagePIT,1.2,3.9,0.0,0.3,1.5,0.0,0.0,0.6,PIT,16,RB
Nick BawdenNYJ,0.4,0.7,0.0,0.6,4.9,0.0,0.0,0.6,NYJ,16,RB
Trey EdmundsPIT,0.0,3.5,0.0,0.2,0.1,0.0,0.0,0.5,PIT,16,RB
Keith SmithATL,0.6,1.3,0.0,0.3,3.0,0.0,0.0,0.5,ATL,16,RB
JaQuan HardyDAL,0.6,3.0,0.0,0.2,2.0,0.0,0.0,0.5,DAL,16,RB
Dwayne WashingtonNO,1.0,4.1,0.0,0.1,0.5,0.0,0.0,0.5,NO,16,RB
Andy JanovichCLE,0.3,0.1,0.1,0.3,1.5,0.0,0.0,0.5,CLE,16,RB
Jason CabindaDET,0.2,1.2,0.0,0.3,2.1,0.0,0.0,0.4,DET,16,RB
Derek WattPIT,0.2,1.2,0.0,0.2,1.5,0.0,0.0,0.4,PIT,16,RB
Gabe NabersLAC,0.2,1.0,0.0,0.2,1.7,0.0,0.0,0.3,LAC,16,RB
Khari BlasingameTEN,0.0,1.4,0.0,0.1,0.7,0.0,0.0,0.3,TEN,16,RB
Jakob JohnsonNE,0.0,0.1,0.0,0.3,2.6,0.0,0.0,0.3,NE,16,RB
Alex Armah Jr.WAS,0.3,1.0,0.0,0.2,2.0,0.0,0.0,0.3,WAS,16,RB
Nathan CottrellJAC,0.0,0.0,0.0,0.3,3.0,0.0,0.0,0.3,JAC,16,RB
Taiwan JonesBUF,0.2,0.7,0.0,0.2,1.4,0.0,0.0,0.3,BUF,16,RB
Giovanni RicciCAR,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.2,CAR,16,RB
Nick BelloreSEA,0.0,0.1,0.0,0.2,1.0,0.0,0.0,0.2,SEA,16,RB
Reggie GilliamBUF,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.1,BUF,16,RB
Cullen GillaspiaNYG,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.1,NYG,16,RB
Jonathan TaylorIND,24.2,110.7,1.0,2.1,17.0,0.1,0.1,19.0,IND,17,RB
Alvin KamaraNO,16.4,68.2,0.6,4.3,38.9,0.2,0.1,15.1,NO,17,RB
Najee HarrisPIT,18.3,73.9,0.6,3.7,27.3,0.1,0.1,14.3,PIT,17,RB
David MontgomeryCHI,18.8,73.9,0.6,3.5,25.6,0.1,0.1,14.1,CHI,17,RB
Nick ChubbCLE,16.8,83.9,0.6,2.3,17.4,0.1,0.1,14.0,CLE,17,RB
Dalvin CookMIN,17.3,79.2,0.4,3.2,24.4,0.3,0.1,13.9,MIN,17,RB
Chase EdmondsARI,14.3,62.7,0.5,4.2,32.3,0.1,0.1,13.4,ARI,17,RB
Joe MixonCIN,16.8,71.6,0.6,2.4,18.9,0.1,0.1,13.3,CIN,17,RB
Austin EkelerLAC,12.6,56.9,0.5,3.7,31.9,0.2,0.1,13.3,LAC,17,RB
Aaron JonesGB,13.2,62.3,0.6,3.2,23.5,0.2,0.1,12.8,GB,17,RB
Sony MichelLAR,16.5,69.8,0.6,2.3,19.4,0.1,0.1,12.7,LAR,17,RB
Ronald Jones IITB,16.8,72.1,0.7,1.9,12.9,0.1,0.1,12.7,ITB,17,RB
Josh JacobsLV,15.0,60.8,0.5,3.8,27.7,0.1,0.1,12.2,LV,17,RB
Damien HarrisNE,16.0,71.7,0.7,1.0,7.6,0.0,0.1,12.1,NE,17,RB
Rashaad PennySEA,15.7,72.2,0.6,0.9,7.9,0.1,0.1,11.9,SEA,17,RB
Elijah MitchellSF,14.3,64.3,0.6,1.7,12.6,0.1,0.0,11.7,SF,17,RB
Ezekiel ElliottDAL,12.7,54.9,0.5,2.5,18.3,0.1,0.1,11.0,DAL,17,RB
Darrel WilliamsKC,11.9,46.2,0.5,3.2,27.6,0.1,0.0,10.9,KC,17,RB
Javonte WilliamsDEN,12.0,53.8,0.4,2.7,22.2,0.1,0.1,10.6,DEN,17,RB
Devin SingletaryBUF,14.6,59.6,0.3,3.1,20.6,0.1,0.1,10.2,BUF,17,RB
Cordarrelle PattersonATL,10.5,48.6,0.3,3.0,26.6,0.1,0.1,9.9,ATL,17,RB
D'Andre SwiftDET,13.1,52.5,0.2,3.7,28.0,0.1,0.1,9.9,DET,17,RB
Michael CarterNYJ,11.3,49.9,0.3,3.3,27.3,0.1,0.1,9.8,NYJ,17,RB
Saquon BarkleyNYG,13.1,56.8,0.2,2.6,20.3,0.1,0.1,9.4,NYG,17,RB
D'Onta ForemanTEN,13.6,58.8,0.3,1.1,10.8,0.1,0.1,8.8,TEN,17,RB
Rex BurkheadHOU,13.1,52.2,0.2,2.0,15.9,0.1,0.0,8.6,HOU,17,RB
Melvin Gordon IIIDEN,12.6,52.6,0.3,1.6,11.5,0.1,0.1,8.5,IIDEN,17,RB
Jordan HowardPHI,12.0,46.8,0.5,0.8,6.3,0.0,0.0,8.4,PHI,17,RB
AJ DillonGB,12.8,51.3,0.2,1.6,12.7,0.1,0.1,8.1,GB,17,RB
Devonta FreemanBAL,11.7,46.5,0.2,2.4,17.0,0.1,0.0,8.0,BAL,17,RB
Jaret PattersonWAS,12.5,51.7,0.3,1.0,8.1,0.0,0.1,7.6,WAS,17,RB
Dare OgunbowaleJAC,10.0,43.0,0.2,2.0,15.3,0.0,0.1,7.2,JAC,17,RB
Boston ScottPHI,9.4,42.6,0.3,1.4,11.4,0.0,0.1,7.1,PHI,17,RB
Tony PollardDAL,8.4,38.0,0.2,2.0,16.1,0.1,0.1,6.9,DAL,17,RB
Rhamondre StevensonNE,8.5,39.8,0.3,1.1,10.3,0.0,0.1,6.7,NE,17,RB
Duke Johnson Jr.MIA,10.5,42.3,0.2,1.4,11.1,0.0,0.1,6.5,MIA,17,RB
Chuba HubbardCAR,11.5,43.2,0.2,0.9,7.0,0.0,0.1,6.3,CAR,17,RB
Devontae BookerNYG,8.5,34.7,0.1,1.9,13.6,0.0,0.0,5.7,NYG,17,RB
Justin JacksonLAC,6.8,29.7,0.2,1.4,11.6,0.1,0.0,5.4,LAC,17,RB
DeeJay DallasSEA,6.7,25.0,0.2,1.8,15.1,0.1,0.1,5.3,SEA,17,RB
Mike DavisATL,7.4,28.7,0.1,2.3,16.1,0.1,0.1,5.3,ATL,17,RB
