rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Miami Dolphins,2,2,2,2,1,0,1,1,23.0,23.0,60.2,MIA,DST,8,2020
2,Philadelphia Eagles,4,0,2,2,1,1,0,1,20.0,20.0,52.5,PHI,DST,8,2020
3,Pittsburgh Steelers,4,2,2,3,1,0,0,1,18.0,18.0,44.6,PIT,DST,8,2020
4,Indianapolis Colts,5,1,1,1,1,0,0,1,15.0,15.0,66.4,IND,DST,8,2020
5,Dallas Cowboys,4,2,2,3,0,0,0,1,13.0,13.0,82.9,DAL,DST,8,2020
6,Las Vegas Raiders,0,0,1,1,0,0,0,1,9.0,9.0,7.6,LV,DST,8,2020
7,Kansas City Chiefs,1,0,1,1,0,0,0,1,7.0,7.0,45.7,KC,DST,8,2020
8,Tampa Bay Buccaneers,3,2,0,0,0,0,0,1,7.0,7.0,98.0,TB,DST,8,2020
9,Seattle Seahawks,3,1,1,1,0,0,0,1,7.0,7.0,39.4,SEA,DST,8,2020
10,New Orleans Saints,5,1,0,0,0,0,0,1,7.0,7.0,79.3,NO,DST,8,2020
11,Atlanta Falcons,3,1,0,0,0,0,0,1,6.0,6.0,5.8,ATL,DST,8,2020
12,Los Angeles Rams,1,0,2,2,0,0,0,1,5.0,5.0,74.5,LAR,DST,8,2020
13,Denver Broncos,2,2,0,0,0,0,0,1,5.0,5.0,48.5,DEN,DST,8,2020
14,Baltimore Ravens,2,0,1,2,0,0,0,1,4.0,4.0,51.9,BAL,DST,8,2020
15,New York Giants,2,0,1,1,0,0,0,1,4.0,4.0,4.5,NYG,DST,8,2020
16,Cincinnati Bengals,1,1,0,0,0,0,0,1,4.0,4.0,14.7,CIN,DST,8,2020
17,Buffalo Bills,2,0,1,1,0,0,0,1,4.0,4.0,95.9,BUF,DST,8,2020
18,Carolina Panthers,2,1,0,0,0,0,0,1,4.0,4.0,27.8,CAR,DST,8,2020
19,Cleveland Browns,2,0,0,1,0,0,0,1,3.0,3.0,40.8,CLE,DST,8,2020
20,Minnesota Vikings,1,0,1,1,0,0,0,1,3.0,3.0,28.0,MIN,DST,8,2020
21,New England Patriots,1,1,0,0,0,0,0,1,3.0,3.0,93.2,NE,DST,8,2020
22,Los Angeles Chargers,2,1,0,0,0,0,0,1,3.0,3.0,44.3,LAC,DST,8,2020
23,Chicago Bears,1,0,0,3,0,0,0,1,1.0,1.0,35.9,CHI,DST,8,2020
24,Arizona Cardinals,0,0,0,0,0,0,0,0,0.0,0.0,60.9,ARI,DST,8,2020
25,Jacksonville Jaguars,0,0,0,0,0,0,0,0,0.0,0.0,6.9,JAC,DST,8,2020
26,Houston Texans,0,0,0,0,0,0,0,0,0.0,0.0,6.4,HOU,DST,8,2020
27,Green Bay Packers,1,0,0,0,0,0,0,1,0.0,0.0,60.6,GB,DST,8,2020
28,Washington Commanders,0,0,0,0,0,0,0,0,0.0,0.0,27.5,WAS,DST,8,2020
29,Tennessee Titans,0,0,0,0,0,0,0,1,-1.0,-1.0,48.4,TEN,DST,8,2020
30,San Francisco 49ers,2,0,0,0,0,0,0,1,-2.0,-2.0,79.5,SF,DST,8,2020
31,Detroit Lions,2,0,0,1,0,0,0,1,-2.0,-2.0,1.1,DET,DST,8,2020
32,New York Jets,0,0,0,1,0,0,0,1,-4.0,-4.0,3.3,NYJ,DST,8,2020
