rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Kansas City Chiefs,2,3,1,1,1,0,0,1,20.0,20.0,45.7,KC,4,DST
2,Philadelphia Eagles,5,2,1,1,1,0,0,1,18.0,18.0,52.5,PHI,4,DST
3,Los Angeles Rams,5,1,0,1,0,0,0,1,11.0,11.0,74.5,LAR,4,DST
4,New York Jets,0,3,0,0,1,0,0,1,8.0,8.0,3.3,NYJ,4,DST
5,Indianapolis Colts,1,1,0,0,0,0,0,1,7.0,7.0,66.4,IND,4,DST
6,Denver Broncos,6,0,0,0,0,0,0,1,6.0,6.0,48.5,DEN,4,DST
7,San Francisco 49ers,3,1,0,0,0,0,0,1,6.0,6.0,79.5,SF,4,DST
8,Tampa Bay Buccaneers,2,1,1,1,0,0,0,1,6.0,6.0,98.0,TB,4,DST
9,Buffalo Bills,2,0,2,2,0,0,0,1,6.0,6.0,95.9,BUF,4,DST
10,Baltimore Ravens,3,0,1,1,0,0,0,1,6.0,6.0,51.9,BAL,4,DST
11,Cleveland Browns,3,1,2,2,0,0,0,1,5.0,5.0,40.8,CLE,4,DST
12,Minnesota Vikings,3,0,1,0,0,0,0,1,5.0,5.0,28.0,MIN,4,DST
13,Cincinnati Bengals,3,1,0,0,0,0,0,1,5.0,5.0,14.7,CIN,4,DST
14,New York Giants,2,0,1,2,0,0,0,1,5.0,5.0,4.5,NYG,4,DST
15,Green Bay Packers,4,0,0,0,0,0,0,1,5.0,5.0,60.6,GB,4,DST
16,Seattle Seahawks,1,2,0,1,0,0,0,1,5.0,5.0,39.4,SEA,4,DST
17,New England Patriots,1,0,1,1,0,0,0,1,4.0,4.0,93.2,NE,4,DST
18,Washington Commanders,1,2,0,0,0,0,0,1,4.0,4.0,27.5,WAS,4,DST
19,Los Angeles Chargers,0,1,0,0,1,0,0,1,4.0,4.0,44.3,LAC,4,DST
20,New Orleans Saints,3,1,0,0,0,0,0,1,4.0,4.0,79.3,NO,4,DST
21,Miami Dolphins,2,1,0,1,0,0,0,1,3.0,3.0,60.2,MIA,4,DST
22,Carolina Panthers,1,0,1,1,0,0,0,1,3.0,3.0,27.8,CAR,4,DST
23,Jacksonville Jaguars,1,1,0,0,0,0,0,1,2.0,2.0,6.9,JAC,4,DST
24,Houston Texans,3,0,0,0,0,0,0,1,2.0,2.0,6.4,HOU,4,DST
25,Chicago Bears,1,0,0,0,0,0,0,1,2.0,2.0,35.9,CHI,4,DST
26,Arizona Cardinals,0,1,0,0,0,0,0,1,1.0,1.0,60.9,ARI,4,DST
27,Atlanta Falcons,1,0,0,0,0,0,0,1,0.0,0.0,5.8,ATL,4,DST
28,Las Vegas Raiders,1,0,0,0,0,0,0,1,0.0,0.0,7.6,LV,4,DST
29,Pittsburgh Steelers,0,0,0,0,0,0,0,1,0.0,0.0,44.6,PIT,4,DST
30,Detroit Lions,2,1,0,1,0,0,0,1,0.0,0.0,1.1,DET,4,DST
31,Tennessee Titans,0,0,0,0,0,0,0,1,0.0,0.0,48.4,TEN,4,DST
32,Dallas Cowboys,2,0,0,0,0,0,0,1,-2.0,-2.0,82.9,DAL,4,DST
