Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Adrian Peterson(SEA),348,"2,097",6.0,82,27,12,40,51,217,5.4,1,2,16,307.4,19.2,4.9%
2,Alfred Morris(NYG),335,"1,613",4.8,39,9,13,11,16,77,7.0,0,3,16,241.0,15.1,0.0%
3,Frank Gore(FA),258,"1,214",4.7,37,7,8,28,36,234,8.4,1,1,16,196.8,12.3,12.2%
4,LeSean McCoy(FA),200,840,4.2,34,7,2,54,67,373,6.9,3,3,12,145.3,12.1,2.0%
5,Mark Ingram II(NO),156,602,3.9,31,4,5,6,10,29,4.8,0,0,16,93.1,5.8,39.1%
6,Brandon Bolden(NE),56,274,4.9,27,4,2,2,2,11,5.5,0,0,10,40.5,4.1,10.7%
7,Lamar Miller(FA),51,250,4.9,28,2,1,6,9,45,7.5,0,0,13,35.5,2.7,0.0%
8,Dion Lewis(FA),13,69,5.3,17,0,1,2,2,24,12.0,0,0,9,15.3,1.7,2.0%
9,Anthony Sherman(FA),0,0,0,0,0,0,5,8,39,7.8,0,0,13,3.9,0.3,0.0%
10,Demetric Felton(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
11,Reggie Gilliam(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
12,Antonio Williams(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
13,Chuba Hubbard(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1%
14,Giovanni Ricci(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
15,Pete Guerriero(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
16,Jonathan Ward(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
17,Nathan Cottrell(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
18,Deon Jackson(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
