rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,Chicago Bears,41.0,24.0,20.0,23.0,9.0,0.0,1.0,16.0,224.0,14.0,35.9,CHI,DST,2012
2.0,Seattle Seahawks,36.0,18.0,13.0,16.0,3.0,0.0,3.0,16.0,178.0,11.1,39.4,SEA,DST,2012
3.0,Denver Broncos,52.0,16.0,8.0,18.0,6.0,2.0,2.0,16.0,169.0,10.6,48.5,DEN,DST,2012
4.0,New England Patriots,37.0,20.0,21.0,28.0,5.0,1.0,2.0,16.0,167.0,10.4,93.2,NE,DST,2012
5.0,Cincinnati Bengals,51.0,14.0,16.0,16.0,3.0,0.0,1.0,16.0,158.0,9.9,14.7,CIN,DST,2012
6.0,Houston Texans,44.0,15.0,14.0,16.0,3.0,1.0,1.0,16.0,152.0,9.5,6.4,HOU,DST,2012
7.0,San Francisco 49ers,38.0,14.0,11.0,12.0,3.0,1.0,0.0,16.0,150.0,9.4,79.5,SF,DST,2012
8.0,Arizona Cardinals,38.0,22.0,11.0,12.0,3.0,0.0,1.0,16.0,147.0,9.2,60.9,ARI,DST,2012
9.0,Atlanta Falcons,29.0,20.0,11.0,15.0,2.0,0.0,0.0,16.0,133.0,8.3,5.8,ATL,DST,2012
10.0,New York Giants,33.0,21.0,14.0,11.0,2.0,0.0,1.0,16.0,132.0,8.3,4.5,NYG,DST,2012
11.0,Minnesota Vikings,44.0,10.0,12.0,13.0,3.0,0.0,2.0,16.0,123.0,7.7,28.0,MIN,DST,2012
12.0,Green Bay Packers,47.0,18.0,5.0,8.0,2.0,0.0,1.0,16.0,122.0,7.6,60.6,GB,DST,2012
13.0,Washington Commanders,32.0,21.0,9.0,12.0,4.0,0.0,0.0,16.0,120.0,7.5,27.5,WAS,DST,2012
14.0,Carolina Panthers,39.0,11.0,12.0,15.0,3.0,1.0,0.0,16.0,118.0,7.4,27.8,CAR,DST,2012
15.0,Cleveland Browns,38.0,17.0,12.0,16.0,2.0,0.0,1.0,16.0,117.0,7.3,40.8,CLE,DST,2012
16.0,Tennessee Titans,39.0,19.0,5.0,13.0,5.0,1.0,4.0,16.0,115.0,7.2,48.4,TEN,DST,2012
17.0,Baltimore Ravens,37.0,13.0,12.0,6.0,2.0,0.0,3.0,16.0,115.0,7.2,51.9,BAL,DST,2012
18.0,New Orleans Saints,30.0,15.0,11.0,10.0,4.0,0.0,1.0,16.0,113.0,7.1,79.3,NO,DST,2012
19.0,Pittsburgh Steelers,37.0,10.0,10.0,15.0,1.0,0.0,0.0,16.0,111.0,6.9,44.6,PIT,DST,2012
20.0,New York Jets,30.0,11.0,12.0,13.0,3.0,1.0,2.0,16.0,110.0,6.9,3.3,NYJ,DST,2012
21.0,Tampa Bay Buccaneers,27.0,18.0,8.0,10.0,3.0,0.0,1.0,16.0,107.0,6.7,98.0,TB,DST,2012
22.0,Miami Dolphins,42.0,10.0,6.0,11.0,0.0,0.0,2.0,16.0,106.0,6.6,60.2,MIA,DST,2012
23.0,Indianapolis Colts,32.0,12.0,3.0,6.0,4.0,0.0,2.0,16.0,97.0,6.1,66.4,IND,DST,2012
24.0,Dallas Cowboys,34.0,7.0,9.0,13.0,3.0,0.0,1.0,16.0,85.0,5.3,82.9,DAL,DST,2012
25.0,Buffalo Bills,36.0,12.0,9.0,18.0,1.0,1.0,3.0,16.0,78.0,4.9,95.9,BUF,DST,2012
26.0,Jacksonville Jaguars,20.0,12.0,11.0,12.0,0.0,0.0,1.0,16.0,70.0,4.4,6.9,JAC,DST,2012
27.0,Detroit Lions,34.0,11.0,6.0,9.0,0.0,1.0,0.0,16.0,67.0,4.2,1.1,DET,DST,2012
28.0,Philadelphia Eagles,30.0,8.0,5.0,9.0,0.0,0.0,1.0,16.0,54.0,3.4,52.5,PHI,DST,2012
29.0,Kansas City Chiefs,27.0,7.0,6.0,11.0,1.0,1.0,0.0,16.0,50.0,3.1,45.7,KC,DST,2012
30.0,Los Angeles Chargers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,LAC,DST,2012
31.0,Los Angeles Rams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,LAR,DST,2012
32.0,Las Vegas Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,LV,DST,2012
