player,position,team,fantasy_points,great_game,poor_game,quality_game,games
Peyton Barber,RB,LV,20.2,1.0,0.0,0.0,1.0
Pharaoh Brown,TE,HOU,15.100000000000001,1.0,11.0,1.0,13.0
Pharoh Cooper,WR,NYG,3.0,0.0,4.0,0.0,4.0
Phillip Dorsett II,WR,HOU,6.4,0.0,1.0,1.0,2.0
Preston Williams,WR,MIA,7.6000000000000005,0.0,3.0,1.0,4.0
Qadree Ollison,RB,ATL,11.3,0.0,1.0,1.0,2.0
Quez Watkins,WR,PHI,73.0,2.0,10.0,5.0,17.0
Quintez Cephus,WR,DET,34.4,2.0,2.0,1.0,5.0
Randall Cobb,WR,GB,46.199999999999996,2.0,5.0,1.0,8.0
Rashaad Penny,RB,SEA,112.30000000000001,4.0,3.0,0.0,7.0
Rashard Higgins,WR,CLE,33.5,0.0,9.0,3.0,12.0
Rashod Bateman,WR,BAL,57.5,1.0,6.0,5.0,12.0
Ray-Ray McCloud,WR,PIT,24.3,0.0,10.0,1.0,11.0
Reggie Gilliam,RB,BUF,0.0,0.0,1.0,0.0,1.0
Rex Burkhead,RB,HOU,77.4,1.0,6.0,2.0,9.0
Rhamondre Stevenson,RB,NE,84.5,2.0,3.0,3.0,8.0
Richard Rodgers,TE,PHI,1.1,0.0,1.0,0.0,1.0
Ricky Seals-Jones,TE,WAS,30.400000000000002,1.0,3.0,5.0,9.0
Rob Gronkowski,TE,TB,116.2,8.0,0.0,3.0,11.0
Robby Anderson,WR,CAR,85.5,4.0,9.0,4.0,17.0
Robert Tonyan,TE,GB,32.4,2.0,5.0,1.0,8.0
Robert Woods,WR,LAR,92.2,5.0,1.0,3.0,9.0
Rodney Smith,RB,CAR,4.8,0.0,1.0,0.0,1.0
Ronald Jones II,RB,TB,17.7,1.0,1.0,0.0,2.0
Rondale Moore,WR,ARI,47.3,2.0,9.0,1.0,12.0
Ross Dwelley,TE,SF,3.0,0.0,1.0,1.0,2.0
Royce Freeman,RB,HOU,14.3,0.0,5.0,0.0,5.0
Russell Gage,WR,ATL,97.0,5.0,4.0,4.0,13.0
Russell Wilson,QB,SEA,248.7,6.0,4.0,4.0,14.0
Ryan Griffin,TE,NYJ,38.1,2.0,6.0,6.0,14.0
Ryan Tannehill,QB,TEN,282.3,4.0,5.0,8.0,17.0
Salvon Ahmed,RB,MIA,4.0,0.0,2.0,0.0,2.0
Sam Darnold,QB,CAR,170.5,3.0,6.0,3.0,12.0
Samaje Perine,RB,CIN,38.9,2.0,3.0,0.0,5.0
Sammy Watkins,WR,BAL,39.9,2.0,3.0,4.0,9.0
Saquon Barkley,RB,NYG,106.7,3.0,7.0,2.0,12.0
Scotty Miller,WR,TB,2.9000000000000004,0.0,2.0,0.0,2.0
Sean Mannion,QB,MIN,13.0,0.0,1.0,0.0,1.0
Sean McKeon,TE,DAL,1.5,0.0,1.0,0.0,1.0
Seth Williams,WR,DEN,3.4,0.0,1.0,0.0,1.0
Shane Zylstra,TE,DET,3.4000000000000004,0.0,1.0,1.0,2.0
Shi Smith,WR,CAR,-0.5,0.0,2.0,0.0,2.0
Sony Michel,RB,LAR,105.6,3.0,1.0,5.0,9.0
Stanley Morgan Jr.,WR,CIN,1.1,0.0,2.0,0.0,2.0
Stefon Diggs,WR,BUF,182.5,10.0,0.0,7.0,17.0
Stephen Anderson,TE,LAC,18.7,1.0,3.0,2.0,6.0
Sterling Shepard,WR,NYG,41.7,1.0,4.0,2.0,7.0
T.J. Hockenson,TE,DET,84.3,6.0,2.0,4.0,12.0
T.Y. Hilton,WR,IND,49.2,2.0,5.0,2.0,9.0
Tajae Sharpe,WR,ATL,18.3,0.0,8.0,2.0,10.0
Tarik Black,WR,NYJ,1.0,0.0,1.0,0.0,1.0
Tavon Austin,WR,JAC,17.5,0.0,4.0,2.0,6.0
Taylor Heinicke,QB,WAS,236.7,5.0,9.0,2.0,16.0
Taysom Hill,QB,NO,118.39999999999999,2.0,5.0,2.0,9.0
Teddy Bridgewater,QB,DEN,209.8,4.0,5.0,5.0,14.0
Tee Higgins,WR,CIN,145.1,7.0,2.0,5.0,14.0
Terrace Marshall Jr.,WR,CAR,13.799999999999999,0.0,8.0,1.0,9.0
Terry McLaurin,WR,WAS,136.5,5.0,5.0,7.0,17.0
Tevin Coleman,RB,NYJ,27.6,0.0,4.0,1.0,5.0
Tim Boyle,QB,DET,30.5,0.0,2.0,1.0,3.0
Tim Patrick,WR,DEN,103.4,7.0,7.0,2.0,16.0
Tom Brady,QB,TB,386.7,11.0,3.0,3.0,17.0
Tom Kennedy,WR,DET,1.6,0.0,2.0,0.0,2.0
Tommy Hudson,TE,TEN,0.3,0.0,1.0,0.0,1.0
Tommy Sweeney,TE,BUF,4.0,0.0,2.0,1.0,3.0
Tommy Tremble,TE,CAR,23.4,1.0,7.0,5.0,13.0
Tony Jones Jr.,RB,NO,8.0,0.0,2.0,0.0,2.0
Tony Pollard,RB,DAL,97.8,3.0,4.0,3.0,10.0
Tory Carter,RB,TEN,0.0,0.0,1.0,0.0,1.0
Travis Homer,RB,SEA,5.2,0.0,2.0,0.0,2.0
Travis Kelce,TE,KC,170.8,12.0,1.0,3.0,16.0
Trayveon Williams,RB,CIN,4.2,0.0,1.0,0.0,1.0
Tre' McKitty,TE,LAC,2.6,0.0,1.0,1.0,2.0
Tre'Quan Smith,WR,NO,55.7,3.0,5.0,2.0,10.0
Trent Sherfield,WR,SF,10.8,0.0,2.0,1.0,3.0
Trent Taylor,WR,CIN,4.1,0.0,1.0,0.0,1.0
Trenton Irwin,WR,CIN,0.9,0.0,1.0,0.0,1.0
Trevon Wesco,TE,NYJ,0.0,0.0,3.0,0.0,3.0
Trevor Lawrence,QB,JAC,216.0,2.0,11.0,4.0,17.0
Trevor Siemian,QB,NO,93.2,2.0,3.0,1.0,6.0
Trey Lance,QB,SF,56.1,2.0,0.0,1.0,3.0
Trey Sermon,RB,SF,23.8,0.0,1.0,2.0,3.0
Trinity Benson,WR,DET,9.1,0.0,6.0,0.0,6.0
Tua Tagovailoa,QB,MIA,190.4,2.0,5.0,5.0,12.0
Ty Johnson,RB,NYJ,68.39999999999999,1.0,11.0,2.0,14.0
Ty Montgomery,RB,NO,13.200000000000001,0.0,9.0,0.0,9.0
Ty'Son Williams,RB,BAL,26.900000000000002,1.0,1.0,1.0,3.0
Tylan Wallace,WR,BAL,1.8,0.0,1.0,0.0,1.0
Tyler Boyd,WR,CIN,116.8,6.0,6.0,4.0,16.0
Tyler Conklin,TE,MIN,77.3,3.0,3.0,11.0,17.0
Tyler Davis,TE,GB,3.1,0.0,2.0,1.0,3.0
Tyler Higbee,TE,LAR,86.0,6.0,2.0,7.0,15.0
Tyler Huntley,QB,BAL,84.1,1.0,3.0,1.0,5.0
Tyler Johnson,WR,TB,35.0,0.0,8.0,4.0,12.0
Tyler Kroft,TE,NYJ,19.5,1.0,4.0,3.0,8.0
Tyler Lockett,WR,SEA,168.4,8.0,6.0,2.0,16.0
Tyree Jackson,TE,PHI,8.2,1.0,0.0,0.0,1.0
Tyreek Hill,WR,KC,185.3,7.0,4.0,5.0,16.0
Tyrell Williams,WR,DET,1.4,0.0,1.0,0.0,1.0
Tyrod Taylor,QB,HOU,86.7,1.0,2.0,3.0,6.0
Van Jefferson,WR,LAR,118.2,6.0,7.0,4.0,17.0
Wayne Gallman Jr.,RB,MIN,7.6,0.0,0.0,1.0,1.0
Will Dissly,TE,SEA,29.1,1.0,6.0,6.0,13.0
William Fuller V,WR,MIA,4.0,0.0,1.0,0.0,1.0
Zach Ertz,TE,ARI,106.7,6.0,3.0,8.0,17.0
Zach Gentry,TE,PIT,15.9,0.0,5.0,3.0,8.0
Zach Pascal,WR,IND,56.5,2.0,10.0,4.0,16.0
Zach Wilson,QB,NYJ,160.9,2.0,8.0,2.0,12.0
Zack Moss,RB,BUF,60.599999999999994,1.0,4.0,3.0,8.0
Zay Jones,WR,LV,41.4,1.0,6.0,3.0,10.0
