player,position,team,fantasy_points,great_game,poor_game,quality_game,games
Cody Hollister,WR,TEN,3.3000000000000003,0.0,3.0,0.0,3.0
Cody White,WR,PIT,1.6,0.0,1.0,0.0,1.0
Colby Parkinson,TE,SEA,1.5,0.0,3.0,0.0,3.0
Cole Beasley,WR,BUF,75.8,3.0,8.0,4.0,15.0
Cole Kmet,TE,CHI,61.2,3.0,5.0,9.0,17.0
Collin Johnson,WR,NYG,8.2,0.0,3.0,1.0,4.0
Colt McCoy,QB,ARI,40.4,1.0,1.0,1.0,3.0
Cooper Kupp,WR,LAR,294.5,16.0,0.0,1.0,17.0
Cooper Rush,QB,DAL,18.2,0.0,0.0,1.0,1.0
Cordarrelle Patterson,RB,ATL,149.1,4.0,4.0,6.0,14.0
Corey Clement,RB,DAL,4.6,0.0,1.0,0.0,1.0
Corey Davis,WR,NYJ,71.2,3.0,4.0,2.0,9.0
Courtland Sutton,WR,DEN,92.2,3.0,11.0,3.0,17.0
Craig Reynolds,RB,DET,26.7,0.0,1.0,2.0,3.0
Curtis Samuel,WR,WAS,1.9,0.0,1.0,0.0,1.0
Cyril Grayson Jr.,WR,TB,23.6,2.0,0.0,0.0,2.0
D'Andre Swift,RB,DET,146.0,6.0,3.0,3.0,12.0
D'Ernest Johnson,RB,CLE,80.4,3.0,5.0,1.0,9.0
D'Onta Foreman,RB,TEN,78.0,2.0,0.0,5.0,7.0
D'Wayne Eskridge,WR,SEA,14.9,1.0,4.0,0.0,5.0
D.J. Chark Jr.,WR,JAC,27.4,2.0,1.0,0.0,3.0
D.J. Montgomery,WR,NYJ,3.6,0.0,1.0,0.0,1.0
D.K. Metcalf,WR,SEA,169.3,8.0,3.0,6.0,17.0
DJ Moore,WR,CAR,144.5,7.0,3.0,7.0,17.0
Dak Prescott,QB,DAL,330.4,11.0,5.0,0.0,16.0
Dallas Goedert,TE,PHI,106.2,9.0,1.0,4.0,14.0
Dalton Schultz,TE,DAL,130.8,8.0,3.0,6.0,17.0
Dalvin Cook,RB,MIN,172.3,6.0,2.0,5.0,13.0
Damien Harris,RB,NE,158.3,5.0,3.0,5.0,13.0
Damien Williams,RB,CHI,31.4,2.0,1.0,0.0,3.0
Damiere Byrd,WR,CHI,37.9,1.0,5.0,3.0,9.0
Dan Arnold,TE,JAC,34.4,2.0,2.0,5.0,9.0
Daniel Jones,QB,NYG,173.6,3.0,4.0,4.0,11.0
Danny Amendola,WR,HOU,34.5,1.0,3.0,1.0,5.0
Dante Pettis,WR,NYG,15.3,1.0,0.0,1.0,2.0
Dare Ogunbowale,RB,JAC,31.5,2.0,1.0,0.0,3.0
Darius Slayton,WR,NYG,41.8,1.0,8.0,3.0,12.0
Darnell Mooney,WR,CHI,138.7,7.0,6.0,4.0,17.0
Darrel Williams,RB,KC,141.6,3.0,5.0,6.0,14.0
Darrell Daniels,TE,ARI,0.0,0.0,8.0,0.0,8.0
Darrell Henderson Jr.,RB,LAR,130.0,6.0,3.0,1.0,10.0
Darren Fells,TE,DET,4.1,0.0,1.0,1.0,2.0
Darren Waller,TE,LV,75.2,5.0,0.0,5.0,10.0
Davante Adams,WR,GB,221.3,10.0,0.0,6.0,16.0
David Johnson,RB,HOU,33.9,0.0,9.0,0.0,9.0
David Montgomery,RB,CHI,154.0,5.0,3.0,5.0,13.0
David Njoku,TE,CLE,71.60000000000001,5.0,5.0,5.0,15.0
David Sills V,WR,NYG,1.2,0.0,2.0,0.0,2.0
Davion Davis,WR,HOU,0.0,0.0,1.0,0.0,1.0
Davis Mills,QB,HOU,167.0,3.0,7.0,3.0,13.0
Dawson Knox,TE,BUF,115.1,8.0,3.0,4.0,15.0
Dax Milne,WR,WAS,2.2,0.0,2.0,0.0,2.0
Dazz Newsome,WR,CHI,1.0,0.0,2.0,0.0,2.0
DeAndre Carter,WR,WAS,50.8,2.0,5.0,3.0,10.0
DeAndre Hopkins,WR,ARI,98.60000000000001,6.0,1.0,2.0,9.0
DeSean Jackson,WR,LV,42.9,2.0,4.0,1.0,7.0
DeVante Parker,WR,MIA,63.5,2.0,2.0,6.0,10.0
DeVonta Smith,WR,PHI,117.5,5.0,7.0,4.0,16.0
Dede Westbrook,WR,MIN,0.2,0.0,4.0,0.0,4.0
DeeJay Dallas,RB,SEA,31.799999999999997,0.0,3.0,2.0,5.0
Deebo Samuel,WR,SF,262.0,14.0,0.0,2.0,16.0
Demarcus Robinson,WR,KC,44.2,3.0,11.0,0.0,14.0
Demetric Felton,RB,CLE,5.0,0.0,2.0,0.0,2.0
Demetrius Harris,TE,ARI,1.0,0.0,3.0,0.0,3.0
Denzel Mims,WR,NYJ,6.0,0.0,8.0,0.0,8.0
Deonte Harty,WR,NO,55.4,2.0,5.0,3.0,10.0
Derek Carr,QB,LV,270.6,6.0,8.0,3.0,17.0
Derrick Gore,RB,KC,3.0,0.0,1.0,0.0,1.0
Derrick Henry,RB,TEN,175.3,6.0,1.0,1.0,8.0
Devin Duvernay,WR,BAL,44.0,0.0,11.0,4.0,15.0
Devin Singletary,RB,BUF,155.5,5.0,7.0,4.0,16.0
Devonta Freeman,RB,BAL,93.7,3.0,5.0,3.0,11.0
Devontae Booker,RB,NYG,99.1,1.0,7.0,5.0,13.0
Dez Fitzpatrick,WR,TEN,9.5,1.0,0.0,0.0,1.0
Dezmon Patmon,WR,IND,0.7,0.0,1.0,0.0,1.0
Diontae Johnson,WR,PIT,167.4,10.0,0.0,6.0,16.0
Diontae Spencer,WR,DEN,-0.3,0.0,1.0,0.0,1.0
Dominique Dafney,TE,GB,0.0,0.0,2.0,0.0,2.0
Donald Parham Jr.,TE,LAC,38.7,3.0,7.0,2.0,12.0
Donovan Peoples-Jones,WR,CLE,75.7,2.0,8.0,4.0,14.0
Dontrell Hilliard,RB,TEN,38.5,1.0,3.0,1.0,5.0
Drew Lock,QB,DEN,52.8,1.0,4.0,1.0,6.0
Drew Sample,TE,CIN,6.5,0.0,7.0,1.0,8.0
Duke Johnson Jr.,RB,MIA,53.3,2.0,2.0,0.0,4.0
Durham Smythe,TE,MIA,36.0,0.0,5.0,10.0,15.0
Dyami Brown,WR,WAS,7.699999999999999,0.0,6.0,0.0,6.0
Elijah Mitchell,RB,SF,146.0,6.0,2.0,3.0,11.0
Elijah Moore,WR,NYJ,95.19999999999999,5.0,3.0,3.0,11.0
Elijhaa Penny,RB,NYG,2.4,0.0,1.0,0.0,1.0
Emmanuel Sanders,WR,BUF,89.7,2.0,6.0,6.0,14.0
Eno Benjamin,RB,ARI,5.6,0.0,1.0,0.0,1.0
Equanimeous St. Brown,WR,GB,8.5,0.0,4.0,1.0,5.0
Eric Ebron,TE,PIT,20.5,2.0,5.0,1.0,8.0
Eric Saubert,TE,DEN,10.7,0.0,6.0,2.0,8.0
Eric Tomlinson,TE,BAL,0.7,0.0,4.0,0.0,4.0
Evan Engram,TE,NYG,56.5,3.0,5.0,7.0,15.0
Ezekiel Elliott,RB,DAL,205.1,7.0,4.0,6.0,17.0
Foster Moreau,TE,LV,55.300000000000004,5.0,7.0,2.0,14.0
Freddie Swain,WR,SEA,61.5,2.0,11.0,4.0,17.0
Gabriel Davis,WR,BUF,78.0,4.0,5.0,2.0,11.0
Gardner Minshew II,QB,PHI,34.2,0.0,0.0,2.0,2.0
Garrett Gilbert,QB,WAS,7.8,0.0,1.0,0.0,1.0
Garrett Griffin,TE,NO,3.9,0.0,1.0,1.0,2.0
Geno Smith,QB,SEA,55.300000000000004,1.0,3.0,0.0,4.0
Geoff Swaim,TE,TEN,39.0,3.0,10.0,3.0,16.0
George Kittle,TE,SF,127.0,8.0,3.0,3.0,14.0
Gerald Everett,TE,SEA,69.8,5.0,3.0,7.0,15.0
Geronimo Allison,WR,DET,0.0,0.0,1.0,0.0,1.0
Giovani Bernard,RB,TB,11.1,0.0,0.0,1.0,1.0
Giovanni Ricci,TE,CAR,0.0,0.0,1.0,0.0,1.0
Godwin Igwebuike,RB,DET,2.6,0.0,2.0,0.0,2.0
Greg Ward,WR,PHI,9.100000000000001,0.0,3.0,1.0,4.0
Harrison Bryant,TE,CLE,24.1,1.0,7.0,4.0,12.0
Hayden Hurst,TE,ATL,34.8,3.0,5.0,3.0,11.0
Henry Ruggs III,WR,LV,60.5,2.0,1.0,4.0,7.0
Hunter Henry,TE,NE,114.3,8.0,2.0,6.0,16.0
Hunter Long,TE,MIA,0.0,0.0,1.0,0.0,1.0
Hunter Renfrow,WR,LV,156.1,10.0,3.0,4.0,17.0
Ian Book,QB,NO,4.0,0.0,1.0,0.0,1.0
