player,team,fantasy_points,great_game,poor_game,quality_game,games
Reggie Gilliam,BUF,0.0,0.0,1.0,0.0,1.0
Rex Burkhead,HOU,77.4,1.0,3.0,5.0,9.0
Rhamondre Stevenson,NE,84.5,2.0,3.0,3.0,8.0
Ronald Jones II,TB,17.7,0.0,1.0,1.0,2.0
Royce Freeman,HOU,12.1,0.0,2.0,1.0,3.0
Salvon Ahmed,MIA,4.0,0.0,2.0,0.0,2.0
Samaje Perine,CIN,38.9,0.0,3.0,2.0,5.0
Saquon Barkley,NYG,106.7,1.0,3.0,8.0,12.0
Sony Michel,LAR,105.6,2.0,1.0,6.0,9.0
Tevin Coleman,NYJ,27.6,0.0,2.0,3.0,5.0
Tony Jones Jr.,NO,8.0,0.0,1.0,1.0,2.0
Tony Pollard,DAL,97.8,1.0,2.0,7.0,10.0
Tory Carter,TEN,0.0,0.0,1.0,0.0,1.0
Travis Homer,SEA,5.2,0.0,2.0,0.0,2.0
Trayveon Williams,CIN,4.2,0.0,1.0,0.0,1.0
Trey Sermon,SF,23.8,0.0,0.0,3.0,3.0
Ty Johnson,NYJ,68.39999999999999,0.0,9.0,5.0,14.0
Ty Montgomery,NO,13.200000000000001,0.0,9.0,0.0,9.0
Ty'Son Williams,BAL,26.900000000000002,0.0,1.0,2.0,3.0
Zack Moss,BUF,60.599999999999994,0.0,3.0,5.0,8.0
