Team,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,RTG
Pittsburgh Steelers,16,299,523,57.2,"2,963",6.0,185.2,71,19,10,37,196,79.0
New York Jets,16,266,494,53.8,"3,036",6.5,189.8,83,20,11,30,170,78.2
Denver Broncos,16,321,559,57.4,"3,194",6.4,199.6,61,25,16,52,364,79.4
San Francisco 49ers,16,337,567,59.4,"3,203",6.1,200.2,53,19,14,38,270,78.0
Arizona Cardinals,16,270,497,54.3,"3,213",6.9,200.8,80,20,22,38,228,71.2
Seattle Seahawks,16,327,564,58.0,"3,250",6.2,203.1,56,15,18,36,247,71.8
Cincinnati Bengals,16,346,560,61.8,"3,400",6.7,212.5,71,16,14,51,361,80.7
Chicago Bears,16,350,592,59.1,"3,423",6.3,213.9,62,19,24,41,289,71.3
Philadelphia Eagles,16,292,485,60.2,"3,470",7.6,216.9,63,33,8,30,198,99.6
Buffalo Bills,16,306,536,57.1,"3,473",6.8,217.1,53,25,12,36,196,84.4
Green Bay Packers,16,313,568,55.1,"3,492",6.7,218.3,80,24,18,47,309,76.8
Kansas City Chiefs,16,279,464,60.1,"3,533",8.0,220.8,62,29,7,27,161,99.9
Carolina Panthers,16,371,555,66.8,"3,568",6.9,223.0,60,22,11,39,284,91.7
Detroit Lions,16,346,544,63.6,"3,569",7.0,223.1,71,26,11,34,237,91.7
St. Louis Rams,16,362,547,66.2,"3,602",7.2,225.1,68,16,17,52,325,83.9
Houston Texans,16,308,581,53.0,"3,612",6.7,225.8,81,29,15,44,269,80.0
Baltimore Ravens,16,335,557,60.1,"3,650",7.0,228.1,59,15,13,37,250,80.6
San Diego Chargers,16,347,568,61.1,"3,681",6.9,230.1,55,28,14,38,244,87.9
Dallas Cowboys,16,320,511,62.6,"3,684",7.6,230.3,68,22,7,34,211,94.7
Oakland Raiders,16,347,526,66.0,"3,775",7.5,235.9,64,28,11,25,185,97.5
Indianapolis Colts,16,334,535,62.4,"3,788",7.4,236.8,80,23,12,32,189,90.1
Jacksonville Jaguars,16,341,535,63.7,"3,832",7.4,239.5,59,21,12,20,128,89.8
Atlanta Falcons,16,337,551,61.2,"3,878",7.4,242.4,77,14,20,29,182,77.1
Minnesota Vikings,16,391,612,63.9,"3,908",6.9,244.3,73,28,10,44,284,92.3
Cleveland Browns,16,378,600,63.0,"3,923",6.9,245.2,64,27,17,38,233,86.6
Tennessee Titans,16,374,564,66.3,"3,964",7.5,247.8,82,31,19,39,241,92.7
Miami Dolphins,16,353,600,58.8,"3,974",7.0,248.4,66,18,10,42,242,83.4
New York Giants,16,341,534,63.9,"4,068",8.1,254.3,62,26,21,33,231,88.7
New England Patriots,16,369,594,62.1,"4,342",7.7,271.4,68,27,20,37,213,86.9
Washington Redskins,16,393,636,61.8,"4,511",7.4,281.9,85,31,21,32,209,87.0
New Orleans Saints,16,370,602,61.5,"4,681",8.1,292.6,95,31,15,30,194,93.8
Tampa Bay Buccaneers,16,410,627,65.4,"4,758",7.9,297.4,80,30,18,27,193,93.5
