team,games,passing_cmp,passing_att,passing_cmp_percent,passing_yds,passing_ya,passing_yds_per_game,passing_longest_pass,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year
NO,16,423,671,63.0,4997,7.7,312.3,80,43,19,26,190,96.4,2012
DET,16,445,740,60.1,4927,6.9,307.9,57,22,17,29,212,81.5,2012
DAL,16,434,658,66.0,4729,7.6,295.6,85,29,19,36,263,91.3,2012
NE,16,402,641,62.7,4662,7.6,291.4,83,34,9,27,182,97.7,2012
DEN,16,402,588,68.4,4534,7.9,283.4,71,37,11,21,137,105.3,2012
ATL,16,422,615,68.6,4509,7.7,281.8,80,32,14,28,210,99.1,2012
IND,16,339,628,54.0,4128,7.0,258.0,70,23,18,41,246,76.4,2012
LV,16,376,629,59.8,4084,6.8,255.3,64,24,16,27,208,82.5,2012
GB,16,374,558,67.0,4049,7.8,253.1,73,40,8,51,293,108.3,2012
TB,16,311,566,54.9,3983,7.3,248.9,95,27,17,26,161,81.8,2012
HOU,16,354,554,63.9,3830,7.3,239.4,60,22,13,28,216,89.2,2012
NYG,16,323,539,59.9,3825,7.4,239.1,80,26,15,20,142,87.2,2012
PHI,16,367,618,59.4,3791,6.6,236.9,77,18,15,48,284,78.6,2012
PIT,16,354,574,61.7,3787,7.0,236.7,82,27,14,37,225,88.1,2012
BAL,16,334,560,59.6,3739,7.1,233.7,61,22,11,38,257,86.4,2012
CAR,16,284,490,58.0,3683,8.0,230.2,82,19,12,36,244,86.5,2012
CIN,16,335,540,62.0,3578,7.1,223.6,73,28,16,46,229,88.1,2012
LAR,16,332,557,59.6,3550,6.8,221.9,80,22,14,35,233,82.7,2012
CLE,16,328,566,58.0,3435,6.5,214.7,71,16,18,36,233,73.6,2012
WAS,16,291,442,65.8,3422,8.3,213.9,88,24,8,33,244,102.1,2012
JAC,16,328,586,56.0,3419,6.4,213.7,81,20,17,50,327,74.7,2012
TEN,16,318,540,58.9,3323,6.6,207.7,71,17,16,39,254,76.9,2012
SF,16,289,436,66.3,3298,8.1,206.1,57,23,8,41,253,101.2,2012
LAC,16,338,528,64.0,3295,6.8,205.9,80,26,15,49,311,88.5,2012
BUF,16,309,511,60.5,3269,6.7,204.3,68,24,17,30,161,82.2,2012
MIA,16,293,504,58.1,3182,6.8,198.9,80,13,13,37,243,76.7,2012
SEA,16,259,405,64.0,3031,8.0,189.4,67,27,10,33,203,100.6,2012
ARI,16,337,608,55.4,3005,5.6,187.8,53,11,21,58,378,63.1,2012
CHI,16,287,485,59.2,2999,6.8,187.4,60,21,16,44,299,80.4,2012
NYJ,16,272,493,55.2,2891,6.4,180.7,66,14,19,47,287,68.3,2012
MIN,16,300,483,62.1,2751,6.1,171.9,65,18,12,32,184,81.2,2012
KC,16,273,475,57.5,2713,6.2,169.6,57,8,20,40,224,63.8,2012
