Team,GP,TOTAL,RUSH,PASS,PEN,MADE,ATT,PCT,MADE,ATT,PCT,TOTAL,YDS
Pittsburgh Steelers,16,273,78,169,26,73,206,35.4,8,11,72.7,100,882
San Francisco 49ers,16,284,72,178,34,71,215,33.0,14,25,56.0,93,758
Chicago Bears,16,286,75,186,25,78,220,35.5,10,16,62.5,78,704
Denver Broncos,16,287,73,183,31,66,216,30.6,7,18,38.9,123,951
Arizona Cardinals,16,288,107,160,21,73,222,32.9,4,9,44.4,100,810
Houston Texans,16,292,94,167,31,71,215,33.0,5,16,31.3,90,863
New York Jets,16,293,96,161,36,84,226,37.2,12,15,80.0,109,805
Seattle Seahawks,16,295,80,186,29,76,198,38.4,3,10,30.0,102,902
Atlanta Falcons,16,298,99,189,10,81,200,40.5,6,13,46.2,83,641
Kansas City Chiefs,16,301,106,176,19,79,202,39.1,3,4,75.0,81,670
Oakland Raiders,16,304,95,180,29,83,212,39.2,8,14,57.1,101,925
Detroit Lions,16,305,107,167,31,76,208,36.5,5,6,83.3,93,789
Cincinnati Bengals,16,307,99,183,25,79,219,36.1,5,12,41.7,90,779
Green Bay Packers,16,308,83,191,34,83,218,38.1,9,23,39.1,123,"1,055"
San Diego Chargers,16,316,85,201,30,90,214,42.1,4,10,40.0,102,798
Dallas Cowboys,16,317,92,195,30,81,202,40.1,6,11,54.6,89,726
New York Giants,16,317,104,196,17,84,198,42.4,10,21,47.6,102,900
Philadelphia Eagles,16,317,108,178,31,83,203,40.9,2,10,20.0,118,996
Miami Dolphins,16,320,79,215,26,87,238,36.6,12,17,70.6,121,"1,045"
Indianapolis Colts,16,325,102,190,33,75,197,38.1,3,7,42.9,128,"1,208"
Carolina Panthers,16,325,98,195,32,73,202,36.1,10,19,52.6,86,711
Baltimore Ravens,16,326,105,187,34,83,232,35.8,6,12,50.0,107,929
St. Louis Rams,16,327,107,197,23,80,213,37.6,6,16,37.5,90,758
Tampa Bay Buccaneers,16,329,75,226,28,88,219,40.2,6,14,42.9,103,851
New England Patriots,16,340,100,207,33,82,205,40.0,9,23,39.1,101,932
Washington Redskins,16,340,89,223,28,95,215,44.2,8,14,57.1,100,811
Cleveland Browns,16,345,104,203,38,85,223,38.1,7,11,63.6,120,"1,008"
Minnesota Vikings,16,345,82,229,34,95,230,41.3,11,20,55.0,111,949
Buffalo Bills,16,349,136,182,31,92,209,44.0,6,12,50.0,80,693
Tennessee Titans,16,358,122,210,26,85,214,39.7,6,14,42.9,86,717
Jacksonville Jaguars,16,364,133,194,37,89,215,41.4,4,9,44.4,101,820
New Orleans Saints,16,380,116,236,28,80,208,38.5,10,19,52.6,102,835
