Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Pittsburgh Steelers,16,299,"3,159",10.6,197.4,71,19,5,3
New York Jets,16,266,"3,206",12.1,200.4,83,20,3,2
Arizona Cardinals,16,270,"3,441",12.7,215.1,80,20,4,3
San Francisco 49ers,16,337,"3,473",10.3,217.1,53,19,7,5
Seattle Seahawks,16,327,"3,497",10.7,218.6,56,15,5,1
Denver Broncos,16,321,"3,558",11.1,222.4,61,25,1,0
Philadelphia Eagles,16,292,"3,668",12.6,229.3,63,33,0,0
Buffalo Bills,16,306,"3,669",12.0,229.3,53,25,6,3
Kansas City Chiefs,16,279,"3,694",13.2,230.9,62,29,6,1
Chicago Bears,16,350,"3,712",10.6,232.0,62,19,10,4
Cincinnati Bengals,16,346,"3,761",10.9,235.1,71,16,4,4
Green Bay Packers,16,313,"3,801",12.1,237.6,80,24,4,1
Detroit Lions,16,346,"3,806",11.0,237.9,71,26,3,2
Carolina Panthers,16,371,"3,852",10.4,240.8,60,22,1,1
Houston Texans,16,308,"3,881",12.6,242.6,81,29,4,3
Dallas Cowboys,16,320,"3,895",12.2,243.4,68,22,3,1
Baltimore Ravens,16,335,"3,900",11.6,243.8,59,15,3,3
San Diego Chargers,16,347,"3,925",11.3,245.3,55,28,6,4
St. Louis Rams,16,362,"3,927",10.8,245.4,68,16,2,0
Oakland Raiders,16,347,"3,960",11.4,247.5,64,28,6,3
Jacksonville Jaguars,16,341,"3,960",11.6,247.5,59,21,2,1
Indianapolis Colts,16,334,"3,977",11.9,248.6,80,23,3,1
Atlanta Falcons,16,337,"4,060",12.0,253.8,77,14,4,2
Cleveland Browns,16,378,"4,156",11.0,259.8,64,27,5,2
Minnesota Vikings,16,391,"4,192",10.7,262.0,73,28,3,1
Tennessee Titans,16,374,"4,205",11.2,262.8,82,31,4,1
Miami Dolphins,16,353,"4,216",11.9,263.5,66,18,6,3
New York Giants,16,341,"4,299",12.6,268.7,62,26,5,3
New England Patriots,16,369,"4,555",12.3,284.7,68,27,9,4
Washington Redskins,16,393,"4,720",12.0,295.0,85,31,3,3
New Orleans Saints,16,370,"4,875",13.2,304.7,95,31,2,2
Tampa Bay Buccaneers,16,410,"4,951",12.1,309.4,80,30,4,2
