Team,GP,TOTAL,RUSH,PASS,PEN,MADE,ATT,PCT,MADE,ATT,PCT,TOTAL,YDS
New England Patriots,16,444,151,256,37,110,226,48.7,8,12,66.7,97,840
Detroit Lions,16,382,84,272,26,97,228,42.5,6,15,40.0,103,944
Denver Broncos,16,380,112,232,36,96,213,45.1,3,5,60.0,100,805
Indianapolis Colts,16,360,110,208,42,98,229,42.8,7,8,87.5,94,801
New Orleans Saints,16,352,64,267,21,91,207,44.0,8,14,57.1,104,911
Atlanta Falcons,16,342,70,246,26,92,204,45.1,2,8,25.0,55,415
Green Bay Packers,16,341,85,213,43,90,213,42.3,7,13,53.9,103,923
Washington Redskins,16,341,144,171,26,68,190,35.8,12,17,70.6,116,985
Houston Texans,16,341,114,205,22,83,221,37.6,4,7,57.1,108,873
Dallas Cowboys,16,338,76,237,25,93,212,43.9,8,11,72.7,117,853
Philadelphia Eagles,16,332,111,190,31,83,222,37.4,14,24,58.3,98,813
Carolina Panthers,16,328,123,171,34,88,204,43.1,3,9,33.3,98,835
New York Giants,16,327,103,187,37,78,192,40.6,5,10,50.0,72,578
San Francisco 49ers,16,322,128,172,22,68,194,35.1,8,12,66.7,109,960
Baltimore Ravens,16,314,98,182,34,80,217,36.9,6,14,42.9,121,"1,127"
Seattle Seahawks,16,311,129,153,29,80,199,40.2,11,18,61.1,110,890
Pittsburgh Steelers,16,307,80,202,25,94,224,42.0,6,13,46.2,92,938
Minnesota Vikings,16,306,113,163,30,78,210,37.1,7,11,63.6,90,830
Buffalo Bills,16,301,103,176,22,77,198,38.9,5,8,62.5,104,871
Tampa Bay Buccaneers,16,301,89,188,24,76,212,35.9,7,17,41.2,101,819
Oakland Raiders,16,300,72,200,28,77,220,35.0,4,16,25.0,108,939
New York Jets,16,299,102,162,35,80,217,36.9,7,14,50.0,83,708
San Diego Chargers,16,293,81,184,28,82,217,37.8,6,11,54.6,103,796
Chicago Bears,16,292,99,163,30,80,219,36.5,5,13,38.5,102,811
Cincinnati Bengals,16,292,95,173,24,74,217,34.1,11,16,68.8,99,857
Miami Dolphins,16,288,93,158,37,78,207,37.7,5,15,33.3,82,724
St. Louis Rams,16,287,79,189,19,67,209,32.1,13,24,54.2,130,978
Kansas City Chiefs,16,286,118,144,24,70,212,33.0,7,15,46.7,92,733
Cleveland Browns,16,279,71,185,23,67,218,30.7,7,16,43.8,113,"1,005"
Jacksonville Jaguars,16,269,76,157,36,64,216,29.6,8,26,30.8,101,955
Tennessee Titans,16,260,70,166,24,83,217,38.3,5,15,33.3,106,847
Arizona Cardinals,16,246,58,168,20,58,230,25.2,10,24,41.7,102,857
