Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Washington Redskins,16,519,"2,709",5.2,169.3,76,22,13,5
Minnesota Vikings,16,486,"2,634",5.4,164.6,82,16,9,6
Seattle Seahawks,16,536,"2,579",4.8,161.2,77,16,7,3
San Francisco 49ers,16,492,"2,491",5.1,155.7,50,17,11,3
Kansas City Chiefs,16,500,"2,395",4.8,149.7,91,9,11,9
Buffalo Bills,16,442,"2,217",5.0,138.6,62,12,7,6
New England Patriots,16,523,"2,184",4.2,136.5,47,25,6,3
Houston Texans,16,508,"2,123",4.2,132.7,81,19,5,3
Carolina Panthers,16,462,"2,088",4.5,130.5,72,21,8,4
Chicago Bears,16,470,"1,970",4.2,123.1,46,11,4,2
Baltimore Ravens,16,444,"1,901",4.3,118.8,78,17,4,1
New York Jets,16,494,"1,896",3.8,118.5,61,12,9,3
Philadelphia Eagles,16,413,"1,874",4.5,117.1,65,10,18,10
New York Giants,16,409,"1,862",4.6,116.4,52,18,6,5
Tampa Bay Buccaneers,16,416,"1,837",4.4,114.8,70,13,3,2
Denver Broncos,16,481,"1,832",3.8,114.5,31,12,8,6
Miami Dolphins,16,440,"1,802",4.1,112.6,65,15,13,6
Cincinnati Bengals,16,430,"1,745",4.1,109.1,48,11,4,2
St. Louis Rams,16,410,"1,714",4.2,107.1,53,5,5,2
Green Bay Packers,16,433,"1,702",3.9,106.4,41,9,4,2
Tennessee Titans,16,378,"1,687",4.5,105.4,94,10,6,5
Indianapolis Colts,16,440,"1,671",3.8,104.4,26,11,5,1
Detroit Lions,16,391,"1,613",4.1,100.8,67,17,7,5
Cleveland Browns,16,396,"1,593",4.0,99.6,35,12,8,0
New Orleans Saints,16,370,"1,577",4.3,98.6,56,10,0,0
Pittsburgh Steelers,16,412,"1,537",3.7,96.1,34,8,8,6
San Diego Chargers,16,411,"1,461",3.6,91.3,52,4,5,2
Oakland Raiders,16,376,"1,420",3.8,88.8,64,4,4,2
Atlanta Falcons,16,378,"1,397",3.7,87.3,43,12,4,2
Jacksonville Jaguars,16,358,"1,369",3.8,85.6,59,5,8,3
Dallas Cowboys,16,355,"1,265",3.6,79.1,48,8,6,3
Arizona Cardinals,16,352,"1,204",3.4,75.3,52,10,6,3
