Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
New Orleans Saints,16,423,"5,187",12.3,324.2,80,43,7,3
Detroit Lions,16,445,"5,139",11.5,321.2,57,22,7,5
Dallas Cowboys,16,434,"4,992",11.5,312.0,85,29,4,2
New England Patriots,16,402,"4,844",12.1,302.8,83,34,5,3
Atlanta Falcons,16,422,"4,719",11.2,294.9,80,32,3,1
Denver Broncos,16,402,"4,671",11.6,291.9,71,37,4,4
Indianapolis Colts,16,339,"4,374",12.9,273.4,70,23,4,1
Green Bay Packers,16,374,"4,342",11.6,271.4,73,40,2,1
Oakland Raiders,16,376,"4,292",11.4,268.3,64,24,6,2
Tampa Bay Buccaneers,16,311,"4,144",13.3,259.0,95,27,0,0
Philadelphia Eagles,16,367,"4,075",11.1,254.7,77,18,5,3
Houston Texans,16,354,"4,046",11.4,252.9,60,22,0,0
Pittsburgh Steelers,16,354,"4,012",11.3,250.8,82,27,12,7
Baltimore Ravens,16,334,"3,996",12.0,249.8,61,22,0,0
New York Giants,16,323,"3,967",12.3,247.9,80,26,0,0
Carolina Panthers,16,284,"3,927",13.8,245.4,82,19,4,1
Cincinnati Bengals,16,335,"3,807",11.4,237.9,73,28,6,3
St. Louis Rams,16,332,"3,783",11.4,236.4,80,22,5,2
Jacksonville Jaguars,16,328,"3,746",11.4,234.1,81,20,3,2
Cleveland Browns,16,328,"3,668",11.2,229.3,71,16,5,3
Washington Redskins,16,291,"3,666",12.6,229.1,88,24,4,1
San Diego Chargers,16,338,"3,606",10.7,225.4,80,26,2,1
Tennessee Titans,16,318,"3,577",11.2,223.6,71,17,9,4
San Francisco 49ers,16,289,"3,551",12.3,221.9,57,23,5,2
Buffalo Bills,16,309,"3,430",11.1,214.4,68,24,7,4
Miami Dolphins,16,293,"3,425",11.7,214.1,80,13,4,2
Arizona Cardinals,16,337,"3,383",10.0,211.4,53,11,2,1
Chicago Bears,16,287,"3,298",11.5,206.1,60,21,3,1
Seattle Seahawks,16,259,"3,234",12.5,202.1,67,27,3,2
New York Jets,16,272,"3,178",11.7,198.6,66,14,7,5
Kansas City Chiefs,16,273,"2,937",10.8,183.6,57,8,2,2
Minnesota Vikings,16,300,"2,935",9.8,183.4,65,18,3,1
