rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
1.0,Greg Olsen,8.0,11.0,83.0,10.4,22.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.3,14.3,7.0,TE,1,2014,CAR
2.0,Zach Ertz,3.0,5.0,77.0,25.7,26.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,13.7,13.7,85.8,TE,1,2014,PHI
3.0,Rob Gronkowski,4.0,11.0,40.0,10.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,97.7,TE,1,2014,NE
4.0,Jimmy Graham,8.0,10.0,82.0,10.3,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.2,8.2,0.8,TE,1,2014,NO
5.0,Levine Toilolo,3.0,6.0,19.0,6.3,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.9,7.9,0.0,TE,1,2014,ATL
6.0,Kyle Rudolph,2.0,4.0,16.0,8.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.6,7.6,0.3,TE,1,2014,MIN
7.0,Travis Kelce,3.0,5.0,49.0,16.3,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.9,4.9,100.0,TE,1,2014,KC
8.0,Tyler Eifert,3.0,3.0,37.0,12.3,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7,3.7,0.0,TE,1,2014,CIN
9.0,Marcedes Lewis,6.0,9.0,35.0,5.8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,3.5,0.2,TE,1,2014,JAC
10.0,Jason Witten,2.0,6.0,14.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.4,0.1,TE,1,2014,DAL
11.0,Virgil Green,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.0,TE,1,2014,DEN
12.0,Luke Stocker,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.0,TE,1,2014,TB
13.0,Ryan Griffin,1.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.6,TE,1,2014,HOU
14.0,Jordan Reed,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,19.0,TE,1,2014,WAS
15.0,Luke Willson,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.0,TE,1,2014,SEA
161.0,Charles Clay,2.0,6.0,27.0,13.5,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,1,2014,MIA
166.0,Niles Paul,4.0,4.0,86.0,21.5,48.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,TE,1,2014,WAS
167.0,Jeff Cumberland,4.0,5.0,50.0,12.5,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,1,2014,NYJ
170.0,Coby Fleener,3.0,8.0,21.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,1,2014,IND
174.0,Jim Dray,2.0,2.0,30.0,15.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,1,2014,CLE
177.0,Julius Thomas,7.0,8.0,104.0,14.9,35.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,1,2014,DEN
178.0,Andrew Quarless,3.0,4.0,26.0,8.7,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE,1,2014,GB
