index,player,team,Actual touchdowns,Expected touchdowns,Expected touchdowns rank,Actual touchdowns rank,Regression candidate,Regression rank candidate,Positive regression candidate
110,D.Milne,WAS,0.0,0.3505238583062849,377.0,174.5,0.3505238583062849,-202.5,True
133,D.Westbrook,MIN,0.0,0.3427845679694534,380.0,174.5,0.3427845679694534,-205.5,True
356,T.Kennedy,DET,0.0,0.33002720777078626,383.0,174.5,0.33002720777078626,-208.5,True
267,M.Pittman,IND,6.0,6.328630747740368,16.0,22.0,0.3286307477403678,6.0,True
36,B.Edwards,LV,3.0,3.308193351622917,88.0,61.5,0.30819335162291717,-26.5,True
256,M.Goodwin,CHI,1.0,1.3016996657669506,214.0,116.0,0.3016996657669506,-98.0,True
330,S.Smith,CAR,0.0,0.27994718667874574,396.0,174.5,0.27994718667874574,-221.5,True
51,C.Board,NYG,0.0,0.27306370121842405,398.0,174.5,0.27306370121842405,-223.5,True
274,M.Taylor,GB,0.0,0.27276746166837296,399.0,174.5,0.27276746166837296,-224.5,True
333,S.Watkins,BAL,1.0,1.272662585265216,218.0,116.0,0.27266258526521603,-102.0,True
325,S.Miller,TB,0.0,0.2710409896376632,401.0,174.5,0.2710409896376632,-226.5,True
197,J.Proche,BAL,0.0,0.2684645234914573,402.0,174.5,0.2684645234914573,-227.5,True
295,P.Hart,SEA,0.0,0.26581214581376,403.0,174.5,0.26581214581376,-228.5,True
202,J.Smith,NYJ,0.0,0.26420560909132795,404.0,174.5,0.26420560909132795,-229.5,True
124,D.Sills,NYG,0.0,0.24006424926407777,408.0,174.5,0.24006424926407777,-233.5,True
73,C.Samuel,WAS,0.0,0.2321249950390191,413.0,174.5,0.2321249950390191,-238.5,True
317,R.McMath,TEN,0.0,0.23123370319241204,414.0,174.5,0.23123370319241204,-239.5,True
373,T.Wallace,BAL,0.0,0.22640586498773768,417.0,174.5,0.22640586498773768,-242.5,True
293,P.Dorsett,HOU,0.0,0.22044105668857816,421.0,174.5,0.22044105668857816,-246.5,True
168,J.Gordon,KC,1.0,1.2041607918279613,226.0,116.0,0.20416079182796132,-110.0,True
209,J.Washington,PIT,2.0,2.2018864779507528,143.0,84.5,0.20188647795075276,-58.5,True
347,T.Hill,KC,9.0,9.19953051838071,4.0,9.0,0.19953051838071012,5.0,True
275,M.Thomas,CIN,0.0,0.19728140008310988,426.0,174.5,0.19728140008310988,-251.5,True
166,J.Darden,TB,0.0,0.18711471391397705,429.0,174.5,0.18711471391397705,-254.5,True
225,K.Hinton,DEN,1.0,1.1860240338316164,229.0,116.0,0.18602403383161636,-113.0,True
349,T.Irwin,CIN,0.0,0.1828120406341492,431.0,174.5,0.1828120406341492,-256.5,True
