index,player,team,Actual touchdowns,Expected touchdowns,Expected touchdowns rank,Actual touchdowns rank,Regression candidate,Regression rank candidate,Positive regression candidate
36,D.Prescott,DAL,1.0,3.5999272683618924,47.0,31.0,2.5999272683618924,-16.0,True
109,T.Heinicke,WAS,1.0,3.240106436795503,53.0,31.0,2.240106436795503,-22.0,True
80,L.Jackson,BAL,2.0,4.149750605862521,36.0,18.5,2.149750605862521,-17.5,True
86,M.Ryan,ATL,1.0,2.9949496279108105,61.0,31.0,1.9949496279108105,-30.0,True
29,D.Carr,LV,0.0,1.52048523345812,97.0,55.5,1.52048523345812,-41.5,True
27,C.Wentz,IND,1.0,2.468633906488007,70.0,31.0,1.468633906488007,-39.0,True
0,A.Dalton,CHI,0.0,1.376043114627642,102.0,55.5,1.376043114627642,-46.5,True
60,J.Goff,DET,0.0,0.8774007922655875,124.0,55.5,0.8774007922655875,-68.5,True
51,J.Burrow,CIN,2.0,2.6558817176670226,65.0,18.5,0.6558817176670226,-46.5,True
33,D.Jones,NYG,2.0,2.6425262323055483,67.0,18.5,0.6425262323055483,-48.5,True
5,B.Allen,CIN,0.0,0.6309562292010615,144.0,55.5,0.6309562292010615,-88.5,True
10,B.Gabbert,TB,0.0,0.6048722198397474,148.0,55.5,0.6048722198397474,-92.5,True
49,J.Brissett,MIA,1.0,1.5927812263414207,94.0,31.0,0.5927812263414207,-63.0,True
61,J.Herbert,LAC,3.0,3.5886585981181462,48.0,11.0,0.5886585981181462,-37.0,True
35,D.Mills,HOU,0.0,0.5619539764814779,154.0,55.5,0.5619539764814779,-98.5,True
72,K.Allen,WAS,0.0,0.5550924034912884,159.5,55.5,0.5550924034912884,-104.0,True
83,M.Jones,NE,0.0,0.5455816978286235,163.0,55.5,0.5455816978286235,-107.5,True
22,C.Keenum,CLE,0.0,0.506754078718598,167.0,55.5,0.506754078718598,-111.5,True
64,J.Love,GB,0.0,0.439595823210201,171.0,55.5,0.439595823210201,-115.5,True
112,T.Lance,SF,1.0,1.4262091047055363,101.0,31.0,0.4262091047055363,-70.0,True
103,S.Ehlinger,IND,0.0,0.4167620320558386,172.0,55.5,0.4167620320558386,-116.5,True
23,C.McCoy,ARI,0.0,0.3748777240926896,182.0,55.5,0.3748777240926896,-126.5,True
94,P.Mahomes,KC,2.0,2.3679236484095685,73.0,18.5,0.3679236484095685,-54.5,True
90,N.Foles,CHI,0.0,0.3330981370568447,187.0,55.5,0.3330981370568447,-131.5,True
21,C.Henne,KC,0.0,0.287793601657171,192.0,55.5,0.287793601657171,-136.5,True
16,B.Roethlisberger,PIT,1.0,1.2781766887059263,105.0,31.0,0.27817668870592627,-74.0,True
63,J.Johnson,BAL,0.0,0.17232789055958436,208.0,55.5,0.17232789055958436,-152.5,True
96,R.Fitzpatrick,WAS,0.0,0.05263157894736842,238.0,55.5,0.05263157894736842,-182.5,True
84,M.Mariota,LV,1.0,1.0498837780233647,116.0,31.0,0.049883778023364744,-85.0,True
85,M.Rudolph,PIT,0.0,0.04954831863216747,243.0,55.5,0.04954831863216747,-187.5,True
74,K.Cousins,MIN,1.0,1.0428578566284348,117.0,31.0,0.042857856628434776,-86.0,True
106,T.Boyle,DET,0.0,0.042278151000225334,250.0,55.5,0.042278151000225334,-194.5,True
81,L.Woodside,TEN,0.0,0.041639594567619884,251.0,55.5,0.041639594567619884,-195.5,True
44,G.Minshew,PHI,0.0,0.04013698144991931,253.0,55.5,0.04013698144991931,-197.5,True
11,B.Hoyer,NE,0.0,0.031625418546893276,264.0,55.5,0.031625418546893276,-208.5,True
42,F.Franks,ATL,0.0,0.025281908261572176,275.0,55.5,0.025281908261572176,-219.5,True
92,N.Peterman,LV,0.0,0.022442427022302227,280.0,55.5,0.022442427022302227,-224.5,True
95,P.Walker,CAR,0.0,0.02083826203791546,283.0,55.5,0.02083826203791546,-227.5,True
25,C.Rush,DAL,0.0,0.02067424283073907,284.0,55.5,0.02067424283073907,-228.5,True
58,J.Fromm,NYG,0.0,0.02047637350025348,286.0,55.5,0.02047637350025348,-230.5,True
89,M.White,NYJ,0.0,0.015480678661164489,300.0,55.5,0.015480678661164489,-244.5,True
47,I.Book,NO,0.0,0.01337132265649298,302.0,55.5,0.01337132265649298,-246.5,True
26,C.Streveler,ARI,0.0,0.01268789637132349,308.0,55.5,0.01268789637132349,-252.5,True
104,S.Mannion,MIN,0.0,0.010054561617429294,314.0,55.5,0.010054561617429294,-258.5,True
57,J.Flacco,NYJ,0.0,0.0063332477965986275,329.0,55.5,0.0063332477965986275,-273.5,True
73,K.Benkert,GB,0.0,0.0061592608886933565,330.0,55.5,0.0061592608886933565,-274.5,True
20,C.Daniel,LAC,0.0,0.0027520840883925894,359.0,55.5,0.0027520840883925894,-303.5,True
28,D.Blough,DET,0.0,0.0008805400645729381,386.0,55.5,0.0008805400645729381,-330.5,True
107,T.Brady,TB,2.0,1.8720742320881834,86.0,18.5,-0.12792576791181665,-67.5,False
119,Z.Wilson,NYJ,4.0,3.823105832971946,41.0,8.0,-0.17689416702805394,-33.0,False
100,R.Wilson,SEA,2.0,1.6385194008357835,92.0,18.5,-0.3614805991642165,-73.5,False
48,J.Allen,BUF,6.0,5.6258710659786475,26.0,3.0,-0.3741289340213525,-23.0,False
45,G.Smith,SEA,1.0,0.5741307546584488,151.0,31.0,-0.42586924534155124,-120.0,False
70,J.Winston,NO,1.0,0.5614386819609667,155.0,31.0,-0.4385613180390333,-124.0,False
108,T.Bridgewater,DEN,2.0,1.5268025104771672,96.0,18.5,-0.4731974895228328,-77.5,False
