,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,59,59,100,12,0,51,51,23.7,40.2
1,Ben Roethlisberger,QB,PIT,1,75,75,100,3,0,56,56,10.9,14.5
2,DeSean Jackson,WR,LAR,1,16,16,24,0,6,6,6,0.6,3.8
3,Jared Cook,TE,LAC,1,36,36,64,0,19,11,19,8.5,23.6
4,Marcedes Lewis,TE,GB,1,40,40,68,0,5,5,5,1.7,4.3
5,Matthew Stafford,QB,LAR,1,56,56,85,4,0,54,54,26.2,46.8
6,Tom Brady,QB,TB,1,75,75,100,5,0,61,61,19.0,25.3
7,Andre Roberts,WR,HOU,1,2,2,3,0,0,0,0,0.0,0.0
8,Colt McCoy,QB,ARI,1,7,7,9,43,0,43,43,-0.3,-4.3
9,Emmanuel Sanders,WR,BUF,1,71,71,92,0,11,7,11,9.1,12.8
10,Antonio Brown,WR,TB,1,37,37,49,0,35,24,35,15.3,41.4
11,A.J. Green,WR,ARI,1,68,68,91,0,9,7,9,13.9,20.4
12,Julio Jones,WR,TEN,1,35,35,66,0,14,9,14,5.9,16.9
13,Mark Ingram II,RB,HOU,1,33,33,44,55,6,61,61,8.1,24.5
14,Kyle Rudolph,TE,NYG,1,34,34,45,0,6,3,6,2.8,8.2
15,Ryan Tannehill,QB,TEN,1,53,53,100,4,0,58,58,13.9,26.2
16,Kirk Cousins,QB,MIN,1,89,89,100,2,0,56,56,28.5,32.0
17,T.Y. Hilton,WR,IND,1,24,24,50,0,17,17,17,8.0,33.3
18,Marvin Jones Jr.,WR,JAC,1,57,57,86,0,18,12,18,16.0,28.1
19,Brandon Bolden,RB,NE,1,11,11,20,9,9,18,18,0.2,1.8
20,Case Keenum,QB,CLE,1,4,4,7,0,0,75,75,0.2,5.0
21,Cole Beasley,WR,BUF,1,67,67,87,0,13,10,13,14.8,22.1
22,Travis Kelce,TE,KC,1,67,67,82,0,16,12,16,9.9,14.8
23,Marquise Goodwin,WR,CHI,1,29,29,48,0,3,3,3,1.2,4.1
24,DeAndre Hopkins,WR,ARI,1,67,67,89,0,6,4,6,17.5,26.1
25,Robert Woods,WR,LAR,1,58,58,88,0,9,3,9,9.1,15.7
26,Keenan Allen,WR,LAC,1,51,51,91,0,10,10,10,5.0,9.8
27,Tavon Austin,WR,JAC,1,17,17,26,0,6,0,6,0.0,0.0
28,Giovani Bernard,RB,TB,1,12,12,16,0,17,17,17,0.4,3.3
29,Le'Veon Bell,RB,BAL,1,22,22,32,36,0,36,36,7.8,35.5
30,Rex Burkhead,RB,HOU,1,5,5,7,0,20,0,20,0.0,0.0
31,Geno Smith,QB,SEA,1,65,65,100,2,0,51,51,10.3,15.8
32,Zach Ertz,TE,PHI,1,46,46,88,0,13,9,13,8.9,19.3
33,Latavius Murray,RB,BAL,1,26,26,38,35,8,42,42,11.6,44.6
34,Demetrius Harris,TE,ARI,1,20,20,27,0,0,0,0,0.0,0.0
35,Jack Doyle,TE,IND,1,31,31,65,0,3,0,3,0.0,0.0
36,Teddy Bridgewater,QB,DEN,1,81,81,100,2,0,63,63,21.3,26.3
37,Derek Carr,QB,LV,1,56,56,100,4,0,52,52,21.5,38.4
38,Carlos Hyde,RB,JAC,1,9,9,14,0,11,0,11,0.0,0.0
39,Devonta Freeman,RB,BAL,1,21,21,30,43,10,43,52,11.3,53.8
40,Mike Evans,WR,TB,1,70,70,93,0,6,3,6,2.7,3.9
41,Brandin Cooks,WR,HOU,1,68,68,91,0,19,13,19,8.9,13.1
42,Davante Adams,WR,GB,1,50,50,85,0,10,8,10,8.9,17.8
43,Allen Robinson II,WR,CHI,1,56,56,92,0,13,7,13,5.3,9.5
44,Odell Beckham Jr.,WR,CLE,1,32,32,54,0,25,16,25,7.9,24.7
45,Eric Ebron,TE,PIT,1,34,34,45,3,6,9,9,7.1,20.9
46,Jerick McKinnon,RB,KC,1,23,23,28,13,17,17,30,1.5,6.5
47,Albert Wilson,WR,MIA,1,23,23,33,0,9,9,9,1.4,6.1
48,Willie Snead IV,WR,LV,1,6,6,11,0,17,0,17,0.0,0.0
49,Adam Thielen,WR,MIN,1,87,87,98,1,15,14,16,18.8,21.6
50,Cameron Brate,TE,TB,1,44,44,59,0,9,7,9,2.6,5.9
51,Diontae Spencer,WR,DEN,1,2,2,2,0,0,0,0,0.0,0.0
52,Amari Cooper,WR,DAL,1,78,78,88,0,10,6,10,5.5,7.1
53,Melvin Gordon III,RB,DEN,1,43,43,53,23,7,30,30,7.3,17.0
54,Taylor Heinicke,QB,WAS,1,59,59,100,0,0,66,66,10.3,17.5
55,David Johnson,RB,HOU,1,32,32,43,6,6,9,13,0.1,0.3
56,Malcolm Brown,RB,MIA,1,25,25,36,20,4,24,24,3.1,12.4
57,MyCole Pruitt,TE,TEN,1,16,16,30,0,6,0,6,0.0,0.0
58,Nelson Agholor,WR,NE,1,32,32,59,3,13,6,16,2.8,8.8
59,Tyler Lockett,WR,SEA,1,58,58,89,0,12,3,12,3.5,6.0
60,Phillip Dorsett II,WR,SEA,1,7,7,11,0,14,14,14,0.3,4.3
61,Stefon Diggs,WR,BUF,1,62,62,81,0,18,15,18,14.9,24.0
62,Chris Manhertz,TE,JAC,1,30,30,45,0,3,3,3,1.1,3.7
63,Jake Kumerow,WR,BUF,1,1,1,1,0,100,0,100,0.0,0.0
64,C.J. Uzomah,TE,CIN,1,50,50,69,0,6,6,6,7.5,15.0
65,DeAndre Carter,WR,WAS,1,12,12,20,0,8,0,8,0.0,0.0
66,Darren Waller,TE,LV,1,46,46,82,0,11,11,11,5.9,12.8
67,Chris Conley,WR,HOU,1,32,32,43,0,6,3,6,1.0,3.1
68,Geoff Swaim,TE,TEN,1,38,38,72,0,5,3,5,0.8,2.1
69,Michael Burton,RB,KC,1,6,6,7,0,0,0,0,0.0,0.0
70,Damiere Byrd,WR,CHI,1,15,15,25,0,7,0,7,0.0,0.0
71,Adam Humphries,WR,WAS,1,31,31,53,0,6,3,6,-0.4,-1.3
72,Laquon Treadwell,WR,JAC,1,7,7,11,0,14,0,14,0.0,0.0
73,Ezekiel Elliott,RB,DAL,1,63,63,71,27,14,38,41,11.9,18.9
74,Jared Goff,QB,DET,1,63,63,100,2,0,68,68,9.2,14.6
75,Derrick Henry,RB,TEN,1,43,43,81,47,7,51,53,33.6,78.1
76,Carson Wentz,QB,IND,1,48,48,100,4,0,46,46,17.0,35.4
77,Alex Collins,RB,SEA,1,39,39,60,51,3,54,54,15.8,40.5
78,Tyler Boyd,WR,CIN,1,45,45,63,0,7,2,7,0.7,1.6
79,Devontae Booker,RB,NYG,1,54,54,72,22,7,30,30,6.9,12.8
80,Hunter Henry,TE,NE,1,37,37,69,0,5,5,5,8.5,23.0
81,Sterling Shepard,WR,NYG,1,68,68,91,0,21,15,21,7.6,11.2
82,Austin Hooper,TE,CLE,1,44,44,75,0,7,2,7,0.4,0.9
83,Rashard Higgins,WR,CLE,1,37,37,63,0,8,0,8,0.0,0.0
84,Dak Prescott,QB,DAL,1,89,89,100,3,0,61,61,27.8,31.2
85,Tyler Higbee,TE,LAR,1,66,66,100,0,8,8,8,3.6,5.5
86,Kenyan Drake,RB,LV,1,12,12,21,33,17,50,50,19.3,160.8
87,Jacoby Brissett,QB,MIA,1,1,1,1,0,0,100,100,1.0,100.0
88,Chris Moore,WR,HOU,1,49,49,65,0,10,8,10,1.4,2.9
89,Demarcus Robinson,WR,KC,1,57,57,70,0,11,5,11,10.6,18.6
90,Jakeem Grant Sr.,WR,CHI,1,2,2,3,0,0,0,0,0.0,0.0
91,Robby Anderson,WR,CAR,1,64,64,86,0,17,5,17,7.1,11.1
92,Alex Erickson,WR,CAR,1,12,12,16,0,8,8,8,1.7,14.2
93,Brandon Allen,QB,CIN,1,13,13,18,23,0,31,31,4.0,30.8
94,Stephen Anderson,TE,LAC,1,12,12,21,0,17,8,17,-0.1,-0.8
95,Derek Watt,RB,PIT,1,6,6,8,0,0,0,0,0.0,0.0
96,Tyreek Hill,WR,KC,1,47,47,57,0,26,19,26,13.6,28.9
97,Marcus Johnson,WR,TEN,1,20,20,38,0,5,0,5,0.0,0.0
98,Chester Rogers,WR,TEN,1,15,15,28,0,7,7,7,0.7,4.7
99,Kalif Raymond,WR,DET,1,56,56,89,0,13,11,13,3.7,6.6
100,Jaydon Mickens,WR,TB,1,3,3,4,0,0,0,0,0.0,0.0
101,Jalen Richard,RB,LV,1,8,8,14,13,13,25,25,0.3,3.8
102,C.J. Ham,RB,MIN,1,21,21,24,5,0,5,5,3.0,14.3
103,J.D. McKissic,RB,WAS,1,36,36,61,22,28,44,50,11.0,30.6
104,Elijhaa Penny,RB,NYG,1,15,15,20,20,13,27,33,7.6,50.7
105,Dalvin Cook,RB,MIN,1,66,66,74,44,3,47,47,20.3,30.8
106,Mike Williams,WR,LAC,1,20,20,36,0,25,10,25,2.7,13.5
107,Leonard Fournette,RB,TB,1,47,47,63,47,13,60,60,24.7,52.6
108,O.J. Howard,TE,TB,1,49,49,65,0,14,12,14,10.9,22.2
109,John Ross,WR,NYG,1,32,32,43,0,6,0,6,0.0,0.0
110,David Njoku,TE,CLE,1,26,26,44,0,8,4,8,0.6,2.3
111,Chris Godwin,WR,TB,1,68,68,91,0,7,7,7,4.3,6.3
112,Evan Engram,TE,NYG,1,55,55,73,0,9,5,9,2.4,4.4
113,Patrick Mahomes II,QB,KC,1,82,82,100,4,0,61,61,25.0,30.5
114,Joe Mixon,RB,CIN,1,45,45,63,40,13,51,53,21.3,47.3
115,Jamaal Williams,RB,DET,1,19,19,30,21,11,26,32,0.9,4.7
116,Kareem Hunt,RB,CLE,1,41,41,69,34,7,41,41,7.8,19.0
117,Isaiah Ford,WR,MIA,1,5,5,7,0,20,0,20,0.0,0.0
118,Cooper Kupp,WR,LAR,1,55,55,83,0,22,16,22,25.0,45.5
119,Dede Westbrook,WR,MIN,1,12,12,13,0,25,17,25,1.3,10.8
120,Noah Brown,WR,DAL,1,18,18,20,0,11,11,11,4.7,26.1
121,Marlon Mack,RB,IND,1,9,9,19,56,0,56,56,1.2,13.3
122,James Conner,RB,ARI,1,41,41,55,39,2,41,41,7.1,17.3
123,Gerald Everett,TE,SEA,1,31,31,48,0,10,6,10,4.0,12.9
124,Jonnu Smith,TE,NE,1,39,39,72,0,5,3,5,0.9,2.3
125,Jeremy Sprinkle,TE,DAL,1,8,8,9,0,0,0,0,0.0,0.0
126,Austin Ekeler,RB,LAC,1,34,34,61,18,21,29,38,5.5,16.2
127,Mack Hollins,WR,MIA,1,68,68,97,0,7,6,7,6.1,9.0
128,Robert Tonyan,TE,GB,1,37,37,63,0,8,5,8,1.0,2.7
129,Jacob Hollister,TE,JAC,1,5,5,8,0,20,0,20,0.0,0.0
130,Cethan Carter,TE,MIA,1,4,4,6,0,25,25,25,0.8,20.0
131,Tim Patrick,WR,DEN,1,72,72,89,0,8,4,8,10.2,14.2
132,Mo Alie-Cox,TE,IND,1,24,24,50,0,13,4,13,8.8,36.7
133,Darrell Daniels,TE,ARI,1,25,25,33,0,4,0,4,0.0,0.0
134,Isaiah McKenzie,WR,BUF,1,4,4,5,25,25,50,50,0.8,20.0
135,Blake Jarwin,TE,DAL,1,47,47,53,0,4,2,4,6.1,13.0
136,Jamal Agnew,WR,JAC,1,39,39,59,0,15,13,15,7.8,20.0
137,Aaron Jones,RB,GB,1,35,35,59,37,11,49,49,17.0,48.6
138,Eric Saubert,TE,DEN,1,28,28,35,0,18,11,18,2.3,8.2
139,Ricky Seals-Jones,TE,WAS,1,59,59,100,0,10,7,10,11.8,20.0
140,Anthony Firkser,TE,TEN,1,15,15,28,0,7,7,7,1.1,7.3
141,C.J. Board,WR,NYG,1,6,6,8,0,0,0,0,0.0,0.0
142,Marcus Kemp,WR,KC,1,6,6,7,0,0,0,0,0.0,0.0
143,Pharaoh Brown,TE,HOU,1,40,40,53,0,8,5,8,0.8,2.0
144,Zach Pascal,WR,IND,1,41,41,85,0,2,0,2,0.0,0.0
145,Kendrick Bourne,WR,NE,1,25,25,46,0,8,4,8,13.5,54.0
146,Dan Arnold,TE,JAC,1,41,41,62,0,12,5,12,2.7,6.6
147,Brandon Zylstra,WR,CAR,1,36,36,49,0,8,8,8,3.2,8.9
148,Lamar Jackson,QB,BAL,1,65,65,94,12,0,54,54,13.8,21.2
149,Sam Darnold,QB,CAR,1,74,74,100,5,0,61,61,16.1,21.8
150,Baker Mayfield,QB,CLE,1,55,55,93,5,0,56,56,13.2,24.0
151,Ronald Jones II,RB,TB,1,14,14,19,36,7,43,43,2.9,20.7
152,Royce Freeman,RB,CAR,1,23,23,31,4,0,4,4,0.3,1.3
153,Kalen Ballage,RB,PIT,1,12,12,16,17,0,17,17,1.5,12.5
154,Myles Gaskin,RB,MIA,1,25,25,36,20,24,28,44,1.4,5.6
155,Courtland Sutton,WR,DEN,1,71,71,88,0,20,11,20,15.4,21.7
156,James Washington,WR,PIT,1,8,8,11,0,13,13,13,0.9,11.3
157,Cedrick Wilson Jr.,WR,DAL,1,44,44,49,0,16,9,16,4.2,9.5
158,Dante Pettis,WR,NYG,1,46,46,61,0,24,11,24,4.8,10.4
159,DJ Moore,WR,CAR,1,68,68,92,1,19,9,21,5.9,8.7
160,Christian Kirk,WR,ARI,1,64,64,85,0,13,8,13,13.5,21.1
161,Mark Andrews,TE,BAL,1,37,37,54,0,16,14,16,12.8,34.6
162,Mike Gesicki,TE,MIA,1,49,49,70,0,18,16,18,11.5,23.5
163,Nyheim Hines,RB,IND,1,11,11,23,36,18,45,55,2.2,20.0
164,Josh Allen,QB,BUF,1,77,77,100,12,0,73,73,29.7,38.6
165,Justin Jackson,RB,LAC,1,8,8,14,0,13,13,13,0.7,8.8
166,Allen Lazard,WR,GB,1,50,50,85,0,10,6,10,8.7,17.4
167,Auden Tate,WR,CIN,1,24,24,33,0,4,4,4,6.7,27.9
168,Equanimeous St. Brown,WR,GB,1,12,12,20,0,0,0,0,0.0,0.0
169,Sony Michel,RB,LAR,1,12,12,18,75,0,75,75,4.2,35.0
170,Dalton Schultz,TE,DAL,1,75,75,84,0,8,7,8,7.9,10.5
171,Ian Thomas,TE,CAR,1,40,40,54,0,5,3,5,4.1,10.3
172,Jordan Akins,TE,HOU,1,32,32,43,0,19,13,19,4.1,12.8
173,Chase Edmonds,RB,ARI,1,28,28,37,14,14,25,29,5.0,17.9
174,Phillip Lindsay,RB,HOU,1,11,11,15,64,18,82,82,5.4,49.1
175,Durham Smythe,TE,MIA,1,58,58,83,0,10,9,10,5.9,10.2
176,Darrel Williams,RB,KC,1,59,59,72,36,7,41,42,20.9,35.4
177,Noah Fant,TE,DEN,1,72,72,89,0,15,13,15,15.7,21.8
178,Ray-Ray McCloud,WR,PIT,1,52,52,69,0,4,4,4,1.8,3.5
179,Chris Herndon IV,TE,MIN,1,24,24,27,0,4,4,4,6.2,25.8
180,Tyler Conklin,TE,MIN,1,76,76,85,0,7,4,7,7.1,9.3
181,Byron Pringle,WR,KC,1,32,32,39,0,9,9,9,5.5,17.2
182,Mike Boone,RB,DEN,1,6,6,7,0,17,17,17,0.3,5.0
183,Will Dissly,TE,SEA,1,47,47,72,0,4,4,4,6.8,14.5
184,Johnny Stanton,RB,CLE,1,2,2,3,0,50,50,50,0.6,30.0
185,KhaDarel Hodge,WR,DET,1,52,52,83,0,8,4,8,0.9,1.7
186,Malik Turner,WR,DAL,1,1,1,1,0,100,0,100,0.0,0.0
187,John Wolford,QB,LAR,1,10,10,15,20,0,40,40,-1.1,-11.0
188,A.J. Brown,WR,TEN,1,42,42,79,0,21,17,21,9.1,21.7
189,D.K. Metcalf,WR,SEA,1,49,49,75,0,14,12,14,5.8,11.8
190,Marquise Brown,WR,BAL,1,51,51,74,0,10,8,10,3.5,6.9
191,Damien Harris,RB,NE,1,26,26,48,69,4,73,73,16.8,64.6
192,Daniel Jones,QB,NYG,1,75,75,100,4,0,72,72,7.1,9.5
193,Josh Jacobs,RB,LV,1,36,36,64,44,3,47,47,14.2,39.4
194,Devin Singletary,RB,BUF,1,35,35,45,14,14,29,29,4.3,12.3
195,Miles Sanders,RB,PHI,1,43,43,83,21,9,26,30,6.6,15.3
196,Collin Johnson,WR,NYG,1,43,43,57,0,12,5,12,2.1,4.9
197,T.J. Hockenson,TE,DET,1,52,52,83,0,21,15,21,7.4,14.2
198,Tommy Sweeney,TE,BUF,1,11,11,14,0,9,9,9,6.1,55.5
199,Hunter Renfrow,WR,LV,1,32,32,57,0,16,9,16,3.6,11.3
200,Foster Moreau,TE,LV,1,25,25,45,0,4,4,4,1.1,4.4
201,Parris Campbell,WR,IND,1,5,5,10,0,20,20,20,11.1,222.0
202,Terry McLaurin,WR,WAS,1,56,56,95,0,14,7,14,2.8,5.0
203,Josh Oliver,TE,BAL,1,19,19,28,0,5,5,5,0.2,1.1
204,Drew Sample,TE,CIN,1,39,39,54,0,3,0,3,0.0,0.0
205,Alec Ingold,RB,LV,1,15,15,27,0,7,0,7,0.0,0.0
206,Mecole Hardman,WR,KC,1,49,49,60,2,10,10,12,4.8,9.8
207,Darrell Henderson Jr.,RB,LAR,1,54,54,82,39,6,43,44,22.7,42.0
208,Jakobi Meyers,WR,NE,1,34,34,63,0,18,15,18,6.4,18.8
209,Kyler Murray,QB,ARI,1,68,68,91,10,0,54,54,25.8,37.9
210,Trayveon Williams,RB,CIN,1,12,12,17,50,0,50,50,1.3,10.8
211,Diontae Johnson,WR,PIT,1,69,69,92,1,19,14,20,9.6,13.9
212,Travis Homer,RB,SEA,1,5,5,8,40,20,60,60,5.4,108.0
213,Alexander Mattison,RB,MIN,1,12,12,13,25,0,25,25,1.0,8.3
214,Chase Claypool,WR,PIT,1,63,63,84,0,11,3,11,1.7,2.7
215,Dawson Knox,TE,BUF,1,61,61,79,0,5,5,5,4.5,7.4
216,Bryan Edwards,WR,LV,1,43,43,77,0,9,5,9,6.7,15.6
217,Justin Herbert,QB,LAC,1,56,56,100,4,0,73,73,12.0,21.4
218,Miles Boykin,WR,BAL,1,4,4,6,0,25,25,25,0.6,15.0
219,Ashton Dulin,WR,IND,1,13,13,27,0,8,8,8,0.7,5.4
220,Tony Pollard,RB,DAL,1,26,26,29,38,12,50,50,6.3,24.2
221,Trenton Irwin,WR,CIN,1,11,11,15,0,0,0,0,0.0,0.0
222,Penny Hart,WR,SEA,1,11,11,17,0,9,9,9,1.2,10.9
223,Jody Fortson,WR,KC,1,10,10,12,0,10,10,10,2.7,27.0
224,Donald Parham Jr.,TE,LAC,1,26,26,46,0,8,8,8,1.0,3.8
225,Khari Blasingame,RB,TEN,1,9,9,17,0,0,0,0,0.0,0.0
226,Jalen Guyton,WR,LAC,1,40,40,71,0,13,3,13,1.5,3.8
227,Tom Kennedy,WR,DET,1,8,8,13,0,13,13,13,1.5,18.8
228,Gunner Olszewski,WR,NE,1,1,1,2,0,0,0,0,0.0,0.0
229,D'Ernest Johnson,RB,CLE,1,12,12,20,8,8,17,17,0.9,7.5
