,Player,FG,FGA,XPT,FPTS
0,Justin TuckerBAL,2.0,2.3,2.7,8.6
1,Jason MyersSEA,1.8,2.1,3.2,8.6
2,Ryan SuccopTB,1.7,2.0,3.5,8.5
3,Tyler BassBUF,1.9,2.3,2.7,8.5
4,Chase McLaughlinCLE,1.8,2.1,3.0,8.4
5,Chris BoswellPIT,1.9,2.1,2.7,8.3
6,Harrison ButkerKC,1.9,2.2,2.6,8.3
7,Matt PraterARI,1.9,2.2,2.7,8.3
8,Mason CrosbyGB,1.5,1.7,3.5,8.1
9,Matt GayLAR,1.8,2.2,2.4,7.9
10,Cairo SantosCHI,1.8,2.2,2.4,7.9
11,Robbie GouldSF,1.7,2.1,2.5,7.7
12,Jason SandersMIA,1.9,2.2,2.1,7.7
13,Brandon McManusDEN,1.6,1.9,2.8,7.5
14,Greg ZuerleinDAL,1.6,2.3,2.5,7.4
15,Randy BullockTEN,1.6,1.9,2.5,7.4
16,Rodrigo BlankenshipIND,1.7,2.1,2.0,7.2
17,Daniel CarlsonLV,1.7,2.0,2.1,7.1
18,Nick FolkNE,1.6,1.9,2.3,7.1
19,Evan McPhersonCIN,1.7,2.0,2.0,7.1
20,Greg JosephMIN,1.5,1.7,2.5,7.0
21,Dustin HopkinsLAC,1.6,2.0,2.1,6.9
22,Graham GanoNYG,1.7,2.0,1.7,6.8
23,Younghoe KooATL,1.6,1.9,1.9,6.8
24,Jake ElliottPHI,1.5,1.8,2.1,6.7
25,Joey SlyeWAS,1.5,1.8,1.8,6.4
26,Matt AmmendolaNYJ,1.5,1.7,1.7,6.2
